transcript	miRNAs	numberMiRNAs
AALF003235-RA.1	aae-miR-2945-3p	1
AALF028394-RA.1	aae-miR-999-3p	1
AALF013058-RA.1	aae-miR-11900,aae-miR-210-5p,aae-bantam-5p	3
AALF011049-RA.1	aae-miR-11900	1
AALF000672-RA.1	aae-miR-2945-3p	1
AALF012144-RA.1	aae-miR-276-3p	1
AALF020855-RA.1	aae-miR-5119-5p	1
AALF010110-RA.1	aae-miR-1175-3p	1
AALF022352-RA.1	aae-miR-932-5p	1
AALF012171-RA.1	aae-miR-305-5p	1
AALF020574-RA.1	aae-miR-10-5p,aae-miR-4275-5p,aae-miR-308-3p,aae-miR-11900,aae-miR-1000-5p,aae-bantam-5p,aae-miR-999-3p,aae-miR-1175-3p,aae-miR-5108-5p	9
AALF024490-RA.1	aae-miR-276-3p,aae-miR-11900	2
AALF008219-RA.1	aae-miR-3368-5p	1
AALF007357-RA.1	aae-miR-11900,aae-bantam-3p,aae-miR-999-3p,aae-miR-1175-3p	4
AALF006622-RA.1	aae-miR-999-3p,aae-miR-3722-5p	2
AALF001509-RA.1	aae-miR-999-3p	1
AALF027309-RA.1	aae-miR-276-3p	1
AALF004459-RA.1	aae-miR-999-3p	1
AALF003955-RA.1	aae-miR-1175-3p	1
AALF007563-RA.1	aae-miR-1000-5p	1
AALF012708-RA.1	aae-miR-308-3p,aae-miR-5108-5p	2
AALF025916-RA.1	aae-miR-5119-5p	1
AALF006520-RA.1	aae-miR-3722-5p	1
AALF002835-RA.1	aae-bantam-5p	1
AALF005323-RA.1	aae-miR-11900	1
AALF009470-RA.1	aae-miR-2945-3p	1
AALF005400-RA.1	aae-miR-305-5p	1
AALF017411-RA.1	aae-miR-4275-5p	1
AALF003622-RA.1	aae-miR-999-3p	1
AALF015017-RA.1	aae-let-7	1
AALF006880-RA.1	aae-miR-11900,aae-miR-1000-5p,aae-miR-124-3p,aae-bantam-5p,aae-miR-3722-5p	5
AALF015146-RA.1	aae-miR-11900	1
AALF021925-RA.1	aae-miR-3368-5p,aae-bantam-5p	2
AALF020959-RA.1	aae-miR-3722-5p	1
AALF027132-RA.1	aae-miR-276-3p,aae-miR-1000-5p	2
AALF025354-RA.1	aae-bantam-5p	1
AALF015481-RA.1	aae-miR-34-5p	1
AALF028381-RA.1	aae-miR-305-5p	1
AALF022841-RA.1	aae-miR-10-5p,aae-miR-999-3p,aae-miR-932-5p	3
AALF017080-RA.1	aae-miR-5119-5p	1
AALF001034-RA.1	aae-miR-305-5p,aae-miR-10-5p,aae-miR-11900,aae-miR-5119-5p,aae-miR-1175-3p,aae-miR-3722-5p	6
AALF000120-RA.1	aae-miR-3722-5p	1
AALF010430-RA.1	aae-miR-276-3p,aae-miR-932-5p	2
AALF008966-RA.1	aae-let-7	1
AALF000070-RA.1	aae-miR-11900	1
AALF021296-RA.1	aae-miR-11900,aae-miR-2945-3p	2
AALF012081-RA.1	aae-miR-1000-5p	1
AALF018968-RA.1	aae-bantam-5p	1
AALF008787-RA.1	aae-miR-11900	1
AALF022160-RA.1	aae-miR-308-3p	1
AALF020280-RA.1	aae-bantam-3p	1
AALF007113-RA.1	aae-miR-276-3p	1
AALF005643-RA.1	aae-miR-2945-3p	1
AALF004523-RA.1	aae-miR-11900	1
AALF004754-RA.1	aae-miR-305-5p,aae-miR-10-5p,aae-miR-11900,aae-miR-210-5p,aae-miR-5119-5p,aae-miR-3722-5p,aae-miR-932-5p	7
AALF006584-RA.1	aae-miR-305-5p	1
AALF014756-RA.1	aae-miR-11900	1
AALF001317-RA.1	aae-miR-10-5p,aae-bantam-3p	2
AALF001702-RA.1	aae-miR-11900,aae-bantam-5p,aae-miR-3722-5p	3
AALF013867-RA.1	aae-miR-305-5p	1
AALF012901-RA.1	aae-miR-308-3p,aae-bantam-3p,aae-miR-3368-5p	3
AALF002258-RA.1	aae-miR-11900	1
AALF015389-RA.1	aae-miR-1000-5p,aae-miR-5108-5p,aae-miR-34-5p	3
AALF005593-RA.1	aae-miR-11900	1
AALF018185-RA.1	aae-miR-3722-5p	1
AALF016099-RA.1	aae-miR-10-5p,aae-miR-932-5p	2
AALF024579-RA.1	aae-miR-5108-5p	1
AALF002233-RA.1	aae-miR-305-5p,aae-miR-308-3p,aae-miR-11900,aae-miR-1000-5p,aae-miR-124-3p,aae-miR-5119-5p,aae-miR-999-3p	7
AALF011448-RA.1	aae-miR-5119-5p	1
AALF027144-RA.1	aae-miR-11900,aae-miR-1175-3p,aae-miR-5108-5p,aae-miR-932-5p	4
AALF013047-RA.1	aae-miR-2945-3p,aae-miR-932-5p	2
AALF021835-RA.1	aae-miR-11900	1
AALF021758-RA.1	aae-miR-308-3p,aae-bantam-3p,aae-miR-3368-5p	3
AALF021219-RA.1	aae-miR-2945-3p	1
AALF011885-RA.1	aae-miR-305-5p,aae-miR-11900	2
AALF010842-RA.1	aae-miR-11900,aae-miR-932-5p	2
AALF022006-RA.1	aae-miR-5119-5p	1
AALF022468-RA.1	aae-miR-5119-5p	1
AALF021348-RA.1	aae-miR-11900	1
AALF012980-RA.1	aae-miR-1175-3p	1
AALF020998-RA.1	aae-miR-1000-5p	1
AALF011552-RA.1	aae-bantam-5p	1
AALF011860-RA.1	aae-miR-1000-5p	1
AALF024375-RA.1	aae-miR-305-5p	1
AALF009609-RA.1	aae-miR-2945-3p,aae-miR-3722-5p	2
AALF023794-RA.1	aae-miR-305-5p,aae-miR-3368-5p	2
AALF021400-RA.1	aae-miR-11900	1
AALF021323-RA.1	aae-miR-4275-5p	1
AALF021631-RA.1	aae-bantam-5p	1
AALF023282-RA.1	aae-miR-999-3p,aae-miR-1175-3p	2
AALF008747-RA.1	aae-miR-11900	1
AALF008978-RA.1	aae-miR-2945-3p	1
AALF008516-RA.1	aae-miR-305-5p	1
AALF006507-RA.1	aae-miR-11900	1
AALF009226-RA.1	aae-bantam-5p	1
AALF008414-RA.1	aae-miR-276-5p	1
AALF017527-RA.1	aae-miR-932-5p	1
AALF017989-RA.1	aae-miR-1000-5p	1
AALF007654-RA.1	aae-miR-999-3p	1
AALF016715-RA.1	aae-miR-11900	1
AALF016407-RA.1	aae-bantam-3p,aae-miR-2945-3p	2
AALF007423-RA.1	aae-miR-305-5p	1
AALF006996-RA.1	aae-miR-210-5p	1
AALF005953-RA.1	aae-miR-276-3p	1
AALF027889-RA.1	aae-miR-3368-5p	1
AALF024914-RA.1	aae-miR-11900	1
AALF019692-RA.1	aae-miR-276-3p,aae-miR-308-3p,aae-miR-11900,aae-miR-1000-5p,aae-miR-3368-5p,aae-miR-999-3p,aae-miR-1175-3p,aae-miR-3722-5p,aae-miR-932-5p	9
AALF018264-RA.1	aae-miR-210-5p	1
AALF027633-RA.1	aae-miR-11900	1
AALF018341-RA.1	aae-miR-308-3p,aae-miR-3722-5p	2
AALF025855-RA.1	aae-miR-124-3p	1
AALF003159-RA.1	aae-miR-11900,aae-miR-210-5p,aae-miR-1000-5p,aae-miR-3368-5p,aae-miR-124-3p,aae-bantam-5p,aae-miR-999-3p,aae-miR-1175-3p,aae-miR-276-5p	9
AALF002553-RA.1	aae-miR-5108-5p	1
AALF010956-RA.1	aae-miR-4275-5p	1
AALF000852-RA.1	aae-miR-932-5p	1
AALF010469-RA.1	aae-miR-3368-5p	1
AALF014231-RA.1	aae-miR-308-3p	1
AALF022326-RA.1	aae-miR-3368-5p,aae-bantam-5p	2
AALF003084-RA.1	aae-bantam-5p	1
AALF011410-RA.1	aae-miR-11900	1
AALF020856-RA.1	aae-miR-11900	1
AALF011564-RA.1	aae-miR-11900,aae-bantam-3p,aae-miR-3368-5p,aae-miR-124-3p,aae-miR-932-5p	5
AALF021566-RA.1	aae-miR-124-3p	1
AALF012890-RA.1	aae-miR-11900,aae-miR-2945-3p	2
AALF001050-RA.1	aae-miR-3368-5p	1
AALF021541-RA.1	aae-miR-308-3p,aae-miR-3368-5p	2
AALF022020-RA.1	aae-miR-5119-5p,aae-miR-999-3p	2
AALF009367-RA.1	aae-miR-1000-5p	1
AALF005836-RA.1	aae-miR-276-3p,aae-miR-11900	2
AALF004716-RA.1	aae-miR-124-3p	1
AALF004947-RA.1	aae-miR-308-3p	1
AALF007358-RA.1	aae-miR-11900	1
AALF014949-RA.1	aae-miR-11900	1
AALF007410-RA.1	aae-miR-305-5p	1
AALF002605-RA.1	aae-miR-11900	1
AALF016677-RA.1	aae-miR-124-3p	1
AALF026525-RA.1	aae-miR-210-5p	1
AALF013856-RA.1	aae-miR-11900	1
AALF017464-RA.1	aae-miR-11900,aae-miR-932-5p	2
AALF024208-RA.1	aae-miR-999-3p	1
AALF019140-RA.1	aae-miR-276-3p	1
AALF026423-RA.1	aae-miR-11900	1
AALF012942-RA.1	aae-miR-308-3p	1
AALF025534-RA.1	aae-miR-305-5p	1
AALF024568-RA.1	aae-miR-1000-5p	1
AALF015276-RA.1	aae-miR-5119-5p,aae-miR-932-5p	2
AALF027262-RA.1	aae-miR-11900,aae-miR-3722-5p	2
AALF001035-RA.1	aae-miR-11900	1
AALF000377-RA.1	aae-miR-11900	1
AALF000583-RA.1	aae-miR-308-3p	1
AALF012055-RA.1	aae-miR-3722-5p	1
AALF020202-RA.1	aae-miR-276-3p,aae-miR-305-5p,aae-miR-999-3p	3
AALF021374-RA.1	aae-miR-276-3p,aae-miR-10-5p,aae-let-7,aae-miR-34-5p	4
AALF008942-RA.1	aae-miR-11900,aae-miR-5119-5p,aae-bantam-5p,aae-miR-932-5p,aae-miR-34-5p	5
AALF005028-RA.1	aae-miR-305-5p	1
AALF003712-RA.1	aae-miR-305-5p,aae-miR-11900	2
AALF006354-RA.1	aae-miR-11900,aae-miR-5108-5p	2
AALF001549-RA.1	aae-bantam-5p	1
AALF013868-RA.1	aae-miR-1175-3p	1
AALF016202-RA.1	aae-miR-11900	1
AALF021809-RA.1	aae-miR-2945-3p	1
AALF002028-RA.1	aae-miR-5108-5p	1
AALF008082-RA.1	aae-miR-11900,aae-bantam-3p,aae-miR-999-3p,aae-miR-1175-3p	4
AALF004782-RA.1	aae-miR-305-5p,aae-miR-11900	2
AALF024811-RA.1	aae-miR-305-5p,aae-miR-3368-5p	2
AALF014553-RA.1	aae-miR-210-5p	1
AALF001345-RA.1	aae-miR-11900,aae-miR-1175-3p	2
AALF027145-RA.1	aae-bantam-5p	1
AALF013202-RA.1	aae-bantam-5p	1
AALF018290-RA.1	aae-bantam-3p	1
AALF027043-RA.1	aae-bantam-5p	1
AALF025265-RA.1	aae-miR-932-5p	1
AALF012365-RA.1	aae-miR-3722-5p	1
AALF016050-RA.1	aae-miR-308-3p,aae-miR-11900,aae-miR-210-5p,aae-bantam-5p	4
AALF011399-RA.1	aae-miR-3368-5p	1
AALF024530-RA.1	aae-miR-305-5p,aae-bantam-5p	2
AALF013075-RA.1	aae-miR-11900	1
AALF022521-RA.1	aae-miR-276-3p,aae-miR-305-5p,aae-miR-308-3p,aae-miR-11900,aae-miR-1000-5p,aae-bantam-5p,aae-miR-1175-3p,aae-miR-932-5p	8
AALF020666-RA.1	aae-bantam-3p	1
AALF021453-RA.1	aae-miR-11900	1
AALF018904-RA.1	aae-miR-11900,aae-miR-5119-5p	2
AALF009997-RA.1	aae-miR-1000-5p	1
AALF007988-RA.1	aae-miR-11900,aae-bantam-3p,aae-miR-124-3p,aae-miR-2945-3p,aae-miR-3722-5p	5
AALF016818-RA.1	aae-miR-11900,aae-bantam-5p	2
AALF006329-RA.1	aae-miR-999-3p	1
AALF009895-RA.1	aae-miR-11900,aae-miR-2945-3p,aae-miR-999-3p	3
AALF004859-RA.1	aae-miR-305-5p	1
AALF008775-RA.1	aae-miR-4275-5p	1
AALF007886-RA.1	aae-miR-4275-5p,aae-miR-124-3p	2
AALF016408-RA.1	aae-miR-4275-5p	1
AALF027838-RA.1	aae-miR-999-3p	1
AALF009383-RA.1	aae-miR-11900,aae-miR-5119-5p,aae-miR-2945-3p	3
AALF026924-RA.1	aae-miR-932-5p	1
AALF007682-RA.1	aae-miR-276-3p	1
AALF027403-RA.1	aae-miR-11900	1
AALF002219-RA.1	aae-miR-308-3p,aae-miR-11900,aae-miR-3368-5p,aae-miR-5119-5p,aae-miR-1175-3p	5
AALF027634-RA.1	aae-miR-210-5p,aae-bantam-5p,aae-miR-999-3p	3
AALF026899-RA.1	aae-miR-308-3p,aae-miR-11900	2
AALF004255-RA.1	aae-miR-305-5p	1
AALF011744-RA.1	aae-miR-305-5p	1
AALF010778-RA.1	aae-miR-3722-5p	1
AALF010932-RA.1	aae-bantam-5p,aae-let-7,aae-miR-3722-5p	3
AALF012454-RA.1	aae-miR-34-5p	1
AALF012377-RA.1	aae-miR-4275-5p	1
AALF002273-RA.1	aae-miR-210-5p,aae-miR-3722-5p,aae-miR-932-5p	3
AALF020703-RA.1	aae-miR-5119-5p	1
AALF002350-RA.1	aae-bantam-5p	1
AALF000341-RA.1	aae-miR-11900	1
AALF011155-RA.1	aae-miR-308-3p,aae-miR-11900	2
AALF020986-RA.1	aae-miR-124-3p	1
AALF001051-RA.1	aae-miR-276-5p	1
AALF020653-RA.1	aae-miR-932-5p	1
AALF006418-RA.1	aae-miR-305-5p,aae-miR-11900	2
AALF007205-RA.1	aae-miR-11900,aae-bantam-5p,aae-miR-999-3p,aae-miR-1175-3p	4
AALF026807-RA.1	aae-miR-11900	1
AALF007334-RA.1	aae-miR-1000-5p	1
AALF006676-RA.1	aae-miR-11900	1
AALF009472-RA.1	aae-miR-11900	1
AALF009087-RA.1	aae-miR-305-5p,aae-miR-124-3p	2
AALF005248-RA.1	aae-miR-305-5p,aae-miR-11900,aae-miR-3722-5p	3
AALF005864-RA.1	aae-bantam-3p,aae-bantam-5p,aae-miR-932-5p	3
AALF008044-RA.1	aae-miR-305-5p	1
AALF017413-RA.1	aae-miR-124-3p,aae-miR-2945-3p	2
AALF007078-RA.1	aae-miR-11900	1
AALF019551-RA.1	aae-miR-10-5p	1
AALF002889-RA.1	aae-miR-305-5p	1
AALF019012-RA.1	aae-miR-308-3p	1
AALF027723-RA.1	aae-miR-11900	1
AALF018893-RA.1	aae-miR-5119-5p	1
AALF005377-RA.1	aae-miR-305-5p,aae-miR-4275-5p,aae-miR-308-3p,aae-miR-11900,aae-miR-5119-5p,aae-miR-2945-3p,aae-miR-1175-3p,aae-miR-276-5p,aae-miR-3722-5p,aae-miR-932-5p	10
AALF022918-RA.1	aae-miR-210-5p,aae-miR-932-5p	2
AALF004565-RA.1	aae-miR-210-5p	1
AALF028433-RA.1	aae-bantam-3p	1
AALF017132-RA.1	aae-bantam-3p	1
AALF026116-RA.1	aae-miR-11900	1
AALF022816-RA.1	aae-miR-11900,aae-bantam-5p,aae-miR-1175-3p	3
AALF025689-RA.1	aae-miR-1175-3p	1
AALF014850-RA.1	aae-miR-11900,aae-miR-5108-5p	2
AALF027442-RA.1	aae-miR-308-3p	1
AALF017184-RA.1	aae-miR-308-3p	1
AALF028050-RA.1	aae-miR-276-3p,aae-miR-305-5p,aae-miR-11900,aae-miR-1000-5p	4
AALF008814-RA.1	aae-miR-3722-5p	1
AALF009986-RA.1	aae-miR-11900	1
AALF003867-RA.1	aae-miR-305-5p,aae-miR-11900	2
AALF002747-RA.1	aae-bantam-5p	1
AALF006047-RA.1	aae-miR-305-5p	1
AALF005004-RA.1	aae-miR-11900	1
AALF008262-RA.1	aae-miR-124-3p	1
AALF003534-RA.1	aae-miR-276-3p,aae-miR-11900,aae-miR-1000-5p	3
AALF002722-RA.1	aae-miR-2945-3p	1
AALF015622-RA.1	aae-miR-4275-5p	1
AALF001217-RA.1	aae-miR-3368-5p	1
AALF014425-RA.1	aae-miR-3722-5p	1
AALF001602-RA.1	aae-miR-305-5p	1
AALF005441-RA.1	aae-miR-4275-5p,aae-miR-3368-5p	2
AALF008083-RA.1	aae-miR-210-5p	1
AALF000636-RA.1	aae-miR-11900	1
AALF000405-RA.1	aae-miR-308-3p	1
AALF012416-RA.1	aae-miR-305-5p	1
AALF025599-RA.1	aae-miR-210-5p,aae-miR-1175-3p,aae-miR-3722-5p	3
AALF024556-RA.1	aae-miR-999-3p	1
AALF028087-RA.1	aae-miR-5119-5p	1
AALF028010-RA.1	aae-miR-1000-5p	1
AALF014144-RA.1	aae-miR-11900	1
AALF010459-RA.1	aae-miR-1175-3p	1
AALF014760-RA.1	aae-miR-10-5p,aae-miR-11900,aae-bantam-5p,aae-miR-276-5p,aae-miR-932-5p	5
AALF014375-RA.1	aae-miR-10-5p	1
AALF021658-RA.1	aae-miR-3368-5p	1
AALF012982-RA.1	aae-miR-305-5p	1
AALF016282-RA.1	aae-miR-4275-5p,aae-miR-124-3p	2
AALF012597-RA.1	aae-miR-4275-5p	1
AALF020538-RA.1	aae-miR-276-3p	1
AALF021633-RA.1	aae-miR-5119-5p	1
AALF023540-RA.1	aae-miR-3368-5p	1
AALF013590-RA.1	aae-miR-11900	1
AALF008903-RA.1	aae-miR-11900	1
AALF007937-RA.1	aae-miR-11900,aae-miR-3722-5p	2
AALF021891-RA.1	aae-miR-10-5p,aae-miR-11900	2
AALF007527-RA.1	aae-miR-305-5p,aae-miR-10-5p,aae-miR-11900,aae-miR-1000-5p,aae-miR-3368-5p,aae-miR-124-3p,aae-miR-1175-3p,aae-miR-3722-5p,aae-miR-932-5p	9
AALF018418-RA.1	aae-miR-11900,aae-miR-3368-5p,aae-bantam-5p,aae-miR-999-3p	4
AALF005903-RA.1	aae-miR-276-3p,aae-miR-11900,aae-miR-124-3p	3
AALF008622-RA.1	aae-let-7	1
AALF015905-RA.1	aae-miR-124-3p	1
AALF018316-RA.1	aae-miR-308-3p	1
AALF008597-RA.1	aae-miR-11900	1
AALF007683-RA.1	aae-miR-11900,aae-miR-3368-5p,aae-miR-1175-3p	3
AALF018882-RA.1	aae-miR-3368-5p	1
AALF027635-RA.1	aae-miR-1175-3p,aae-miR-34-5p	2
AALF026977-RA.1	aae-miR-276-3p	1
AALF004127-RA.1	aae-miR-308-3p	1
AALF005068-RA.1	aae-miR-3368-5p	1
AALF000725-RA.1	aae-miR-999-3p	1
AALF004462-RA.1	aae-miR-210-5p,aae-miR-5119-5p,aae-miR-1175-3p	3
AALF012249-RA.1	aae-miR-1000-5p	1
AALF002145-RA.1	aae-bantam-5p	1
AALF002761-RA.1	aae-miR-1000-5p,aae-miR-999-3p	2
AALF014156-RA.1	aae-miR-11900,aae-miR-1175-3p	2
AALF000983-RA.1	aae-miR-276-3p,aae-miR-4275-5p,aae-miR-11900,aae-miR-124-3p,aae-miR-1175-3p,aae-miR-3722-5p	6
AALF002274-RA.1	aae-miR-11900	1
AALF022457-RA.1	aae-miR-10-5p	1
AALF012892-RA.1	aae-bantam-5p	1
AALF002095-RA.1	aae-miR-10-5p	1
AALF001360-RA.1	aae-miR-276-3p,aae-miR-999-3p	2
AALF013063-RA.1	aae-miR-305-5p	1
AALF020654-RA.1	aae-miR-210-5p	1
AALF020038-RA.1	aae-miR-34-5p	1
AALF010088-RA.1	aae-miR-276-3p	1
AALF010242-RA.1	aae-miR-305-5p,aae-miR-11900,aae-bantam-5p,aae-miR-2945-3p,aae-miR-1175-3p	5
AALF021441-RA.1	aae-bantam-5p	1
AALF024083-RA.1	aae-miR-2945-3p	1
AALF005838-RA.1	aae-bantam-3p,aae-bantam-5p,aae-miR-999-3p	3
AALF007206-RA.1	aae-miR-3368-5p	1
AALF015917-RA.1	aae-miR-3368-5p	1
AALF017824-RA.1	aae-miR-308-3p	1
AALF025919-RA.1	aae-miR-5119-5p,aae-miR-276-5p	2
AALF019577-RA.1	aae-miR-34-5p	1
AALF019423-RA.1	aae-bantam-5p	1
AALF018534-RA.1	aae-miR-5108-5p	1
AALF027749-RA.1	aae-miR-999-3p	1
AALF009011-RA.1	aae-miR-11900,aae-miR-124-3p	2
AALF017106-RA.1	aae-miR-11900,aae-miR-3368-5p	2
AALF008045-RA.1	aae-miR-5119-5p	1
AALF017953-RA.1	aae-bantam-5p	1
AALF007310-RA.1	aae-miR-1000-5p,aae-miR-999-3p	2
AALF015636-RA.1	aae-miR-308-3p	1
AALF027416-RA.1	aae-miR-11900	1
AALF018047-RA.1	aae-bantam-5p,aae-miR-2945-3p	2
AALF026758-RA.1	aae-miR-11900	1
AALF004643-RA.1	aae-miR-4275-5p,aae-miR-11900,aae-miR-276-5p	3
AALF007593-RA.1	aae-miR-276-3p	1
AALF011849-RA.1	aae-miR-124-3p	1
AALF015971-RA.1	aae-miR-305-5p	1
AALF014466-RA.1	aae-miR-1175-3p,aae-miR-932-5p	2
AALF026400-RA.1	aae-miR-11900,aae-bantam-3p,aae-miR-210-5p	3
AALF027187-RA.1	aae-miR-210-5p	1
AALF000354-RA.1	aae-bantam-3p,aae-miR-210-5p	2
AALF000560-RA.1	aae-miR-11900	1
AALF009704-RA.1	aae-miR-2945-3p	1
AALF008969-RA.1	aae-miR-11900	1
AALF012161-RA.1	aae-miR-11900,aae-miR-5119-5p,aae-miR-932-5p	3
AALF011195-RA.1	aae-miR-2945-3p	1
AALF009833-RA.1	aae-miR-305-5p	1
AALF022163-RA.1	aae-miR-3722-5p	1
AALF004603-RA.1	aae-miR-305-5p,aae-bantam-5p	2
AALF005775-RA.1	aae-miR-3722-5p	1
AALF013614-RA.1	aae-miR-1175-3p	1
AALF022906-RA.1	aae-miR-10-5p	1
AALF003587-RA.1	aae-miR-3368-5p	1
AALF016025-RA.1	aae-bantam-5p	1
AALF012725-RA.1	aae-miR-308-3p	1
AALF011759-RA.1	aae-miR-1175-3p	1
AALF013127-RA.1	aae-miR-11900,aae-miR-932-5p	2
AALF013974-RA.1	aae-miR-10-5p,aae-miR-3368-5p	2
AALF016770-RA.1	aae-miR-11900	1
AALF016231-RA.1	aae-miR-305-5p,aae-miR-2945-3p,aae-miR-1175-3p	3
AALF016385-RA.1	aae-miR-305-5p	1
AALF014145-RA.1	aae-miR-11900,aae-miR-3722-5p	2
AALF023668-RA.1	aae-miR-276-3p,aae-miR-11900,aae-miR-1000-5p	3
AALF005392-RA.1	aae-miR-1000-5p	1
AALF012213-RA.1	aae-miR-5119-5p	1
AALF015471-RA.1	aae-bantam-3p	1
AALF028371-RA.1	aae-miR-308-3p	1
AALF004170-RA.1	aae-miR-11900	1
AALF025781-RA.1	aae-miR-11900,aae-miR-999-3p	2
AALF027072-RA.1	aae-miR-2945-3p	1
AALF024020-RA.1	aae-miR-210-5p,aae-miR-999-3p	2
AALF009716-RA.1	aae-miR-3368-5p	1
AALF022473-RA.1	aae-miR-3368-5p	1
AALF015906-RA.1	aae-miR-11900	1
AALF007786-RA.1	aae-miR-11900	1
AALF025908-RA.1	aae-miR-2945-3p	1
AALF019489-RA.1	aae-miR-305-5p	1
AALF007761-RA.1	aae-miR-11900	1
AALF018421-RA.1	aae-miR-3722-5p	1
AALF003008-RA.1	aae-miR-2945-3p	1
AALF000726-RA.1	aae-miR-11900	1
AALF028398-RA.1	aae-miR-210-5p	1
AALF006010-RA.1	aae-miR-2945-3p	1
AALF005275-RA.1	aae-bantam-5p	1
AALF000855-RA.1	aae-miR-11900	1
AALF000008-RA.1	aae-miR-305-5p	1
AALF014157-RA.1	aae-miR-932-5p	1
AALF010549-RA.1	aae-miR-1000-5p	1
AALF004592-RA.1	aae-miR-999-3p	1
AALF014286-RA.1	aae-miR-5119-5p	1
AALF025100-RA.1	aae-miR-34-5p	1
AALF024211-RA.1	aae-miR-11900,aae-bantam-5p	2
AALF010268-RA.1	aae-miR-5108-5p	1
AALF013295-RA.1	aae-miR-4275-5p	1
AALF021467-RA.1	aae-miR-3722-5p	1
AALF012791-RA.1	aae-miR-1175-3p	1
AALF021775-RA.1	aae-miR-276-3p	1
AALF012021-RA.1	aae-miR-305-5p	1
AALF010012-RA.1	aae-miR-4275-5p	1
AALF005916-RA.1	aae-bantam-3p	1
AALF009524-RA.1	aae-miR-305-5p	1
AALF006549-RA.1	aae-miR-305-5p	1
AALF009114-RA.1	aae-miR-999-3p	1
AALF009499-RA.1	aae-miR-11900	1
AALF028408-RA.1	aae-miR-11900	1
AALF019424-RA.1	aae-miR-11900	1
AALF005712-RA.1	aae-bantam-5p	1
AALF008046-RA.1	aae-miR-11900	1
AALF007311-RA.1	aae-miR-11900	1
AALF018664-RA.1	aae-miR-11900,aae-miR-1175-3p	2
AALF005533-RA.1	aae-miR-4275-5p,aae-miR-11900	2
AALF007594-RA.1	aae-miR-305-5p	1
AALF028127-RA.1	aae-miR-11900,aae-miR-3368-5p,aae-miR-3722-5p,aae-miR-34-5p	4
AALF006320-RA.1	aae-miR-276-5p	1
AALF014954-RA.1	aae-miR-276-3p	1
AALF005970-RA.1	aae-miR-276-3p,aae-miR-308-3p,aae-miR-1000-5p	3
AALF016245-RA.1	aae-miR-11900	1
AALF014544-RA.1	aae-miR-308-3p,aae-miR-11900	2
AALF017340-RA.1	aae-miR-1000-5p	1
AALF015562-RA.1	aae-miR-3722-5p	1
AALF014673-RA.1	aae-miR-305-5p	1
AALF027188-RA.1	aae-miR-10-5p,aae-miR-308-3p,aae-miR-210-5p	3
AALF001269-RA.1	aae-miR-1175-3p	1
AALF024675-RA.1	aae-miR-2945-3p	1
AALF028052-RA.1	aae-miR-276-3p,aae-miR-305-5p,aae-miR-5119-5p,aae-miR-999-3p	4
AALF002133-RA.1	aae-miR-1000-5p	1
AALF001475-RA.1	aae-miR-4275-5p	1
AALF000432-RA.1	aae-miR-308-3p,aae-miR-34-5p	2
AALF013076-RA.1	aae-miR-308-3p	1
AALF009705-RA.1	aae-miR-1000-5p	1
AALF010178-RA.1	aae-miR-3368-5p	1
AALF000690-RA.1	aae-miR-308-3p	1
AALF020334-RA.1	aae-miR-11900	1
AALF008868-RA.1	aae-miR-11900	1
AALF019965-RA.1	aae-miR-11900	1
AALF021481-RA.1	aae-miR-1175-3p	1
AALF018999-RA.1	aae-miR-305-5p	1
AALF016307-RA.1	aae-miR-305-5p,aae-miR-11900	2
AALF002826-RA.1	aae-miR-3722-5p	1
AALF006511-RA.1	aae-miR-305-5p	1
AALF002903-RA.1	aae-bantam-5p	1
AALF005314-RA.1	aae-miR-10-5p	1
AALF013409-RA.1	aae-miR-308-3p,aae-miR-2945-3p	2
AALF003459-RA.1	aae-miR-932-5p	1
AALF007298-RA.1	aae-miR-124-3p	1
AALF024608-RA.1	aae-miR-11900	1
AALF015239-RA.1	aae-miR-11900	1
AALF006486-RA.1	aae-miR-11900	1
AALF014735-RA.1	aae-miR-1175-3p	1
AALF014325-RA.1	aae-miR-932-5p	1
AALF000998-RA.1	aae-miR-11900	1
AALF022728-RA.1	aae-miR-11900	1
AALF007171-RA.1	aae-miR-11900,aae-miR-1000-5p	2
AALF015882-RA.1	aae-miR-1175-3p	1
AALF024558-RA.1	aae-miR-124-3p	1
AALF023515-RA.1	aae-miR-932-5p	1
AALF027200-RA.1	aae-bantam-5p	1
AALF012214-RA.1	aae-miR-276-5p	1
AALF015087-RA.1	aae-miR-11900,aae-miR-999-3p,aae-let-7	3
AALF023105-RA.1	aae-miR-276-3p,aae-miR-4275-5p,aae-miR-308-3p,aae-miR-1000-5p,aae-miR-5119-5p,aae-let-7	6
AALF022524-RA.1	aae-miR-276-3p,aae-miR-276-5p,aae-miR-34-5p	3
AALF025782-RA.1	aae-miR-4275-5p,aae-miR-2945-3p	2
AALF020977-RA.1	aae-miR-308-3p,aae-miR-5119-5p	2
AALF023696-RA.1	aae-miR-124-3p	1
AALF024098-RA.1	aae-miR-5108-5p	1
AALF008905-RA.1	aae-miR-308-3p	1
AALF007708-RA.1	aae-miR-305-5p,aae-miR-210-5p	2
AALF018805-RA.1	aae-miR-1175-3p	1
AALF019823-RA.1	aae-miR-11900,aae-bantam-5p	2
AALF018934-RA.1	aae-miR-11900	1
