#node	identifier	domain_summary_url	annotation	other_names_and_aliases	kegg_id
AAEL002913	7159.Q17GS0	AAEL002913-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=659:TRANS(15|32)+Pfam_ABC_membrane_2(62|343)+AAA(465|640)+	5576486,AAEL002913,AAEL002913-PA,ATP-binding cassette sub-family D member 3,Q17GS0,Q17GS0_AEDAE,XM_001662629.1,XP_001662679,XP_001662679.1,aag:5576486	aag:5576486
AAEL002936	7159.Q17GP4	AAEL002936-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=286:Pfam_Motile_Sperm(8|113)+TRANS(263|285)+	110675833,AAEL002936,AAEL002936-PA,Q17GP4,Q17GP4_AEDAE,XM_001656119.1,XP_001656169.1,XP_021697398,aag:110675833	aag:110675833
AAEL002938	7159.Q17GP3	Skd/vacuolar sorting; Belongs to the AAA ATPase family.	https://smart.embl.de/smart/DDvec.cgi?smart=443:MIT(3|82)+AAA(165|301)+Pfam_Vps4_C(380|440)+	110673991,5576605,AAEL002938,AAEL002938-PA,AAEL002938-PB,Q17GP3,Q17GP3_AEDAE,Skd/vacuolar sorting,Vacuolar protein-sorting-associated protein 4,XM_001656120.1,XM_001656121.1,XP_001656170.1,XP_001656171.1,XP_021697350,aag:110673991	aag:110673991
AAEL002967	7159.Q17GK3	AAEL002967-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=288:Pfam_DLH(129|272)+	3.1.2.22,5576739,AAEL002967,AAEL002967-PA,Abhydrolase domain-containing protein 17,EC 3.1.2.22,Protein ABHD17B,Q17GK3,Q17GK3_AEDAE,XM_001656185.1,XP_001656235,XP_001656235.1,aag:5576739	aag:5576739
AAEL003001	7159.Q17GJ0	AAEL003001-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=349:WD40(49|88)+WD40(91|130)+WD40(133|172)+WD40(175|214)+WD40(217|257)+WD40(260|302)+WD40(305|346)+	5580266,AAEL003001,AAEL003001-PA,COMPASS component SWD3,Q17GJ0,Q17GJ0_AEDAE,WD repeat-containing protein 5,XM_001662843.1,XP_001662893,XP_001662893.1,aag:5580266	aag:5580266
AAEL003013	7159.Q17GI1	AAEL003013-PA; Belongs to the protein kinase superfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=391:Pfam_Pkinase_Tyr(83|345)+	2.7.12.2,5580276,AAEL003013,AAEL003013-PA,EC 2.7.12.2,Mitogen-activated protein kinase kinase 4,Q17GI1,Q17GI1_AEDAE,XM_001662852.1,XP_001662902,XP_001662902.1,aag:5580276	aag:5580276
AAEL003014	7159.Q17GH6	AAEL003014-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=396:SIGNAL(1|17)+ZnF_C2H2(47|72)+c-clamp(366|396)+	5580311,AAEL003014,AAEL003014-PA,Q17GH6,Q17GH6_AEDAE,XM_001662857.1,XP_001662907.1,XP_021709149,Zinc finger protein 704 isoform X1,aag:5580311	aag:5580311
AAEL003109	7159.Q17GF2	AAEL003109-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=548:Pfam_GBP(16|292)+TRANS(427|449)+TRANS(454|472)+	3.6.5.-,5577060,AAEL003109,AAEL003109-PA,Atlastin,EC 3.6.5.-,Q17GF2,Q17GF2_AEDAE,XM_001663107.1,XP_001663157,XP_001663157.1,aag:5577060	aag:5577060
AAEL003167	7159.Q17G70	AAEL003167-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=227:IG(19|122)+IGc2(139|210)+	AAEL003167,AAEL003167-PA,Echinoid,Q17G70,Q17G70_AEDAE,XM_001656443.1,XP_001656493.1	
AAEL003169	7159.Q17G69	AAEL003169-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1033:IGc2(21|78)+IGc2(105|164)+IG(194|277)+IG_like(294|379)+IGc2(405|481)+FN3(495|592)+TRANS(739|761)+	5577413,AAEL003169,AAEL003169-PA,Contactin-2,Echinoid,Q17G69,Q17G69_AEDAE,XM_001656444.1,XP_001656494.1,XP_021700511,aag:5577413	aag:5577413
AAEL003191	7159.Q17G52	AAEL003191-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=151:SAM(4|66)+	AAEL003191,AAEL003191-PA,Q17G52,Q17G52_AEDAE,XM_001656473.1,XP_001656523.1	
AAEL003194	7159.Q17G59	AAEL003194-PA; Belongs to the peptidase M24B family.	https://smart.embl.de/smart/DDvec.cgi?smart=640:Pfam_Creatinase_N(1|137)+Pfam_Creatinase_N_2(141|310)+Pfam_Peptidase_M24(312|529)+Pfam_Peptidase_M24_C(539|603)+	3.4.11.9,5577498,AAEL003194,AAEL003194-PA,EC 3.4.11.9,Q17G59,Q17G59_AEDAE,XM_001656466.1,XP_001656516,XP_001656516.1,Xaa-Pro aminopeptidase,Xaa-Pro aminopeptidase ApepP,aag:5577498	aag:5577498
AAEL003199	7159.Q17G54	AAEL003199-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=629:SH3(343|400)+SAM(418|485)+	AAEL003199,AAEL003199-PA,Q17G54,Q17G54_AEDAE,XM_001656471.1,XP_001656521.1	
AAEL003252	7159.Q17FY6	AAEL003252-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=3192:PH(400|500)+	5577636,AAEL003252,AAEL003252-PA,Q17FY6,Q17FY6_AEDAE,XM_001656584.1,XP_001656634.1,XP_021693854,aag:5577636	aag:5577636
AAEL003267	7159.Q17FX3	AAEL003267-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=694:	5577649,AAEL003267,AAEL003267-PA,AAEL003267-PB,AAEL801256,Q17FX3,Q17FX3_AEDAE,Uncharacterized protein LOC5577649 isoform X1,XM_001656597.2,XM_011494689.1,XP_001656647.2,XP_011492991.1,XP_021693827,aag:5577649	aag:5577649
AAEL003290	7159.Q17FU9	AAEL003290-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=300:SIGNAL(1|19)+	5577738,AAEL003290,AAEL003290-PA,Q17FU9,Q17FU9_AEDAE,XM_001663465.1,XP_001663515.1	
AAEL003292	7159.Q17FU6	AAEL003292-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=840:Pfam_FCH(9|91)+RhoGAP(562|736)+SH3(784|839)+	AAEL003292,AAEL003292-PA,Q17FU6,Q17FU6_AEDAE,XM_001663468.1,XP_001663518.1	
AAEL003304	7159.Q17FU7	AAEL003304-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=408:	5577744,AAEL003304,AAEL003304-PA,Q17FU7,Q17FU7_AEDAE,SLIT-ROBO Rho GTPase activating protein,XM_001663467.1,XP_001663517.1,XP_021706675,aag:5577744	aag:5577744
AAEL003355	7159.Q17FR0	AAEL003355-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=421:ZnF_C2H2(98|120)+ZnF_C2H2(220|242)+ZnF_C2H2(336|358)+ZnF_C2H2(364|386)+ZnF_C2H2(394|417)+	5577909,AAEL003355,AAEL003355-PA,Q17FR0,Q17FR0_AEDAE,XM_001656631.1,XP_001656681,XP_001656681.1,Zinc finger protein 267,aag:5577909	aag:5577909
AAEL003407	7159.Q17FE8	AAEL003407-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=142:RRM(35|107)+	5578107,AAEL003407,AAEL003407-PA,Q17FE8,Q17FE8_AEDAE,RNA-binding protein 24-A,XM_001656754.1,XP_001656804,XP_001656804.1,aag:5578107	aag:5578107
AAEL003414	7159.Q17FE9	AAEL003414-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=201:	AAEL003414,AAEL003414-PA,Q17FE9,Q17FE9_AEDAE,XM_001656753.1,XP_001656803.1	
AAEL003472	7159.Q17FC6	AAEL003472-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=898:CUB(25|149)+CUB(178|308)+CUB(333|457)+LDLa(771|807)+TRANS(867|889)+	5578183,AAEL003472,AAEL003472-PA,Q17FC6,Q17FC6_AEDAE,Uncharacterized protein LOC5578183,XM_001656776.1,XP_001656826.1,XP_021705667,aag:5578183	aag:5578183
AAEL003506	7159.Q17F71	AAEL003506-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=353:HOX(244|306)+	5578275,AAEL003506,AAEL003506-PA,Homeobox protein EMX,Homeotic protein empty spiracles,Q17F71,Q17F71_AEDAE,XM_001663753.1,XP_001663803,XP_001663803.1,aag:5578275	aag:5578275
AAEL003527	7159.Q0IG29	AAEL003527-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=650:Pfam_zf-MYND(271|312)+	5578359,AAEL003527,AAEL003527-PA,Q0IG29,Q0IG29_AEDAE,SET and MYND domain-containing protein 4,XM_001656880.1,XP_001656930,XP_001656930.1,aag:5578359	aag:5578359
AAEL003564	7159.Q17F44	AAEL003564-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=467:Pfam_PALP(75|364)+	4.3.1.19,5578555,AAEL003564,AAEL003564-PA,EC 4.3.1.19,Q17F44,Q17F44_AEDAE,Threonine dehydratase,Uncharacterized protein LOC5578555,XM_001663897.1,XP_001663947,XP_001663947.1,aag:5578555	aag:5578555
AAEL003592	7159.Q17F08	AAEL003592-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1543:TRANS(235|252)+TRANS(259|281)+Pfam_DUF1088(563|731)+Pfam_PH_BEACH(754|851)+Beach(882|1159)+WD40(1309|1352)+WD40(1366|1405)+WD40(1449|1487)+WD40(1490|1529)+	AAEL003592,AAEL003592-PA,Neurobeachin,Q17F08,Q17F08_AEDAE,XM_001657008.2,XP_001657058.1	
AAEL003609	7159.Q17F07	AAEL003609-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1103:Pfam_DUF4704(1|150)+	AAEL003609,AAEL003609-PA,Neurobeachin,Q17F07,Q17F07_AEDAE,XM_001657009.1,XP_001657059.1	
AAEL003619	7159.Q17EZ8	Transporter; Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family.	https://smart.embl.de/smart/DDvec.cgi?smart=613:Pfam_SNF(46|555)+	5578665,AAEL003619,Q17EZ8,Q17EZ8_AEDAE,Transporter,XM_001657018.1,XP_001657068.1,XP_021705991,aag:5578665	aag:5578665
AAEL003688	7159.Q17ET2	AAEL003688-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1072:DUF4210(863|921)+Pfam_Chromosome_seg(1003|1068)+	5578768,AAEL003688,AAEL003688-PA,Q17ET2,Q17ET2_AEDAE,Uncharacterized protein LOC5578768,XM_001657088.1,XP_001657138.1,XP_021701446,aag:5578768	aag:5578768
AAEL003731	7159.Q17EP7	Nuclear body associated kinase, putative.	https://smart.embl.de/smart/DDvec.cgi?smart=978:Pfam_Pkinase_Tyr(3|125)+	AAEL003731,AAEL003731-PA,Nuclear body associated kinase, putative,Q17EP7,Q17EP7_AEDAE,XM_001664002.1,XP_001664052.1	
AAEL003733	7159.Q17EP1	AAEL003733-PA; Belongs to the peptidase C19 family.	https://smart.embl.de/smart/DDvec.cgi?smart=1584:Pfam_UCH_1(1150|1495)+	AAEL003733,AAEL003733-PA,Q17EP1,Q17EP1_AEDAE,XM_001664008.1,XP_001664058.1	
AAEL003834	7159.Q17EB2	Metalloendopeptidase.	https://smart.embl.de/smart/DDvec.cgi?smart=286:SIGNAL(1|20)+ZnMc(95|238)+	3.4.24.-,5579074,AAEL003834,Metalloendopeptidase,Q17EB2,Q17EB2_AEDAE,XM_001657212.1,XP_001657262,XP_001657262.1,Zinc metalloproteinase nas-4 isoform X3,aag:5579074	aag:5579074
AAEL003861	7159.Q17EB3	AAEL003861-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=451:BTB(31|128)+ZnF_C2H2(387|410)+ZnF_C2H2(415|438)+	5578717,AAEL003861,AAEL003861-PA,Q17EB3,Q17EB3_AEDAE,XM_001657272.1,XP_001657322.1,XP_021701430,Zinc finger protein chinmo isoform X1,aag:5578717	aag:5578717
AAEL003875	7159.Q17E80	AAEL003875-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=948:ZnF_C2H2(674|698)+ZnF_C2H2(704|728)+ZnF_C2H2(734|756)+	AAEL003875,AAEL003875-PA,Q17E80,Q17E80_AEDAE,XM_001664235.1,XP_001664285.1	
AAEL003953	7159.Q17E44	Map/microtubule affinity-regulating kinase 2,4.	https://smart.embl.de/smart/DDvec.cgi?smart=1026:S_TKc(401|652)+UBA(673|710)+	AAEL003953,AAEL003953-PA,Map/microtubule affinity-regulating kinase 2,4,Q17E44,Q17E44_AEDAE,XM_001648064.1,XP_001648114.1	
AAEL003979	7159.Q17E15	Deadenylation factor EDEN-BP, putative.	https://smart.embl.de/smart/DDvec.cgi?smart=285:RRM(201|274)+	AAEL003979,AAEL003979-PA,Deadenylation factor EDEN-BP, putative,Q17E15,Q17E15_AEDAE,XM_001648130.1,XP_001648180.1	
AAEL004035	7159.Q17DX6	AAEL004035-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=999:IBN_N(25|97)+	5563974,AAEL004035,AAEL004035-PA,Importin-11,Q17DX6,Q17DX6_AEDAE,XM_001648235.1,XP_001648285,XP_001648285.1,aag:5563974	aag:5563974
AAEL004088	7159.Q17DM5	Aldo-keto reductase.	https://smart.embl.de/smart/DDvec.cgi?smart=318:Pfam_Aldo_ket_red(18|294)+	1.1.1.21,5564133,AAEL004088,AAEL004088-PA,AAEL004088-PB,AAEL004088-PE,Aldehyde reductase,Aldo-keto reductase,Aldose reductase isoform X1,EC 1.1.1.21,Q17DM5,Q17DM5_AEDAE,XM_001648411.1,XM_001648414.1,XM_001648415.1,XP_001648461,XP_001648461.1,XP_001648464.1,XP_001648465.1,aag:5564133	aag:5564133
AAEL004133	7159.Q17DL2	AAEL004133-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1285:IG(53|155)+IG(166|258)+IGc2(274|331)+IGc2(358|417)+IG(447|529)+IGc2(546|631)+IGc2(657|731)+FN3(745|842)+TRANS(991|1013)+	5564164,AAEL004133,AAEL004133-PA,Echinoid,Hemicentin-1,Q17DL2,Q17DL2_AEDAE,XM_001648439.1,XP_001648489.1,XP_021700512,aag:5564164	aag:5564164
AAEL004255	7159.Q17DB6	Zinc finger protein.	https://smart.embl.de/smart/DDvec.cgi?smart=1020:SET(60|179)+ZnF_C2H2(698|720)+ZnF_C2H2(726|748)+ZnF_C2H2(754|776)+ZnF_C2H2(782|804)+ZnF_C2H2(810|830)+	AAEL004255,AAEL004255-PA,Q17DB6,Q17DB6_AEDAE,XM_001648755.1,XP_001648805.1,Zinc finger protein	
AAEL004292	7159.Q17D93	AAEL004292-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=207:SIGNAL(1|17)+Pfam_CPCFC(27|43)+Pfam_CPCFC(154|170)+Pfam_CPCFC(191|207)+	5564514,AAEL004292,AAEL004292-PA,Circumsporozoite protein,Q17D93,Q17D93_AEDAE,XM_001648792.1,XP_001648842,XP_001648842.1,aag:5564514	aag:5564514
AAEL004351	7159.Q17D24	AAEL004351-PC; Belongs to the protein kinase superfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=458:Pfam_Pkinase_Tyr(56|290)+Pfam_CK1gamma_C(342|429)+	AAEL004351,AAEL004351-PC,Casein kinase,Q17D24,Q17D24_AEDAE,XM_001648930.1,XP_001648980.1	
AAEL004457	7159.Q1HRI9	Mitochondrial cytochrome c; Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain.	https://smart.embl.de/smart/DDvec.cgi?smart=108:Pfam_Cytochrom_C(8|107)+	5564878,AAEL004457,AAEL004457-PA,AAEL004457-PB,AAEL004457-PC,Cytochrome c,Cytochrome c-2,Mitochondrial cytochrome c,Q1HRI9,Q1HRI9_AEDAE,XM_001649186.1,XM_001649187.1,XM_001649188.1,XP_001649236,XP_001649236.1,XP_001649237.1,XP_001649238.1,aag:5564878	aag:5564878
AAEL004463	7159.Q17CP5	AAEL004463-PA; Belongs to the two pore domain potassium channel (TC 1.A.1.8) family.	https://smart.embl.de/smart/DDvec.cgi?smart=268:Pfam_Ion_trans_2(17|56)+Pfam_Ion_trans_2(163|238)+	5564889,AAEL004463,AAEL004463-PA,Potassium channel subfamily K member 10,Potassium channel subfamily K member 18,Q17CP5,Q17CP5_AEDAE,XM_001649183.1,XP_001649233.1,XP_021709287,aag:5564889	aag:5564889
AAEL004464	7159.Q17CP3	AAEL004464-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=676:TRANS(118|140)+Pfam_MFS_1(236|610)+	AAEL004464,AAEL004464-PA,Q17CP3,Q17CP3_AEDAE,XM_001649152.1,XP_001649202.1	
AAEL004478	7159.Q17CP4	AAEL004478-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=152:TRANS(55|77)+	AAEL004478,AAEL004478-PA,Q17CP4,Q17CP4_AEDAE,XM_001649184.1,XP_001649234.1	
AAEL004525	7159.Q17CM5	AAEL004525-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=263:	5578805,AAEL004525,AAEL004525-PA,Q17CM5,Q17CM5_AEDAE,XM_001649277.1,XP_001649327.1,XP_021693546,aag:5578805	aag:5578805
AAEL004549	7159.Q17CG1	AAEL004549-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=451:Pfam_Synapsin_C(233|307)+	AAEL004549,AAEL004549-PA,Q17CG1,Q17CG1_AEDAE,Synapsin,XM_001649366.1,XP_001649416.1	
AAEL004632	7159.Q17C94	AAEL004632-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=288:	AAEL004632,AAEL004632-PA,Q17C94,Q17C94_AEDAE,XM_001649473.1,XP_001649523.1	
AAEL004651	7159.Q17C93	Multiple ankyrin repeats single kh domain protein.	https://smart.embl.de/smart/DDvec.cgi?smart=850:ANK(27|56)+ANK(60|89)+ANK(94|123)+ANK(127|156)+ANK(160|189)+ANK(194|223)+ANK(227|256)+ANK(260|289)+ANK(293|322)+ANK(327|356)+ANK(357|386)+ANK(390|419)+ANK(423|452)+ANK(457|486)+ANK(490|520)+	5565160,AAEL004651,AAEL004651-PA,Ankyrin repeat domain-containing protein 17,Q17C93,Q17C93_AEDAE,XM_001649474.1,XP_001649524.1,XP_021694133,aag:5565160	aag:5565160
AAEL004715	7159.Q17C29	AAEL004715-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=268:Pfam_BTG(1|116)+	5565301,AAEL004715,AAEL004715-PA,Protein BTG1,Protein Tob/BTG,Q17C29,Q17C29_AEDAE,XM_001649617.1,XP_001649667.1,XP_021702494,aag:5565301	aag:5565301
AAEL004717	7159.Q17C39	AAEL004717-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=496:Pfam_CDK5_activator(114|481)+	5565309,AAEL004717,AAEL004717-PA,Cyclin-dependent kinase 5 activator 1,Q17C39,Q17C39_AEDAE,XM_001649607.1,XP_001649657,XP_001649657.1,aag:5565309	aag:5565309
AAEL004737	7159.Q17BY7	Lim domain binding protein.	https://smart.embl.de/smart/DDvec.cgi?smart=579:Pfam_LIM_bind(245|400)+Pfam_LIM_bind(391|449)+	AAEL004737,AAEL004737-PA,Lim domain binding protein,Q17BY7,Q17BY7_AEDAE,XM_001649681.1,XP_001649731.1	
AAEL004900	7159.Q17BN5	AAEL004900-PA; Belongs to the FPP/GGPP synthase family.	https://smart.embl.de/smart/DDvec.cgi?smart=321:Pfam_polyprenyl_synt(26|267)+	2.5.1.1,2.5.1.10,2.5.1.29,5565667,AAEL004900,AAEL004900-PA,EC 2.5.1.1,EC 2.5.1.10,EC 2.5.1.29,Geranylgeranyl diphosphate synthase, type III,Geranylgeranyl pyrophosphate synthase,Q17BN5,Q17BN5_AEDAE,XM_001649964.1,XP_001650014,XP_001650014.1,aag:5565667	aag:5565667
AAEL004934	7159.Q17BK4	AAEL004934-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=820:Pfam_SCAPER_N(67|164)+	5570926,AAEL004934,AAEL004934-PA,Q17BK4,Q17BK4_AEDAE,Uncharacterized protein LOC5570926,XM_001650006.1,XP_001650056.1,XP_021700595,aag:5570926	aag:5570926
AAEL004974	7159.Q17BE2	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase; Belongs to the glycosyltransferase 43 family.	https://smart.embl.de/smart/DDvec.cgi?smart=367:TRANS(21|43)+Pfam_Glyco_transf_43(109|307)+	2.4.1.-,2.4.1.135,5565758,AAEL004974,Beta-1,3-glucuronyltransferase S,EC 2.4.1.-,EC 2.4.1.135,Q17BE2,Q17BE2_AEDAE,XM_001650091.1,XP_001650141,XP_001650141.1,aag:5565758	aag:5565758
AAEL005076	7159.Q17B63	Alanyl aminopeptidase.	https://smart.embl.de/smart/DDvec.cgi?smart=1099:Pfam_Peptidase_M1(426|658)+Pfam_ERAP1_C(762|1077)+	5565932,AAEL005076,AAEL005076-PA,Alanyl aminopeptidase,Q17B63,Q17B63_AEDAE,XM_001650264.2,XP_001650314.1,XP_021693909,aag:5565932	aag:5565932
AAEL005089	7159.Q17B44	AAEL005089-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=546:	5565987,AAEL005089,AAEL005089-PA,Q17B44,Q17B44_AEDAE,Uncharacterized protein LOC5565987 isoform X1,XM_001650293.1,XP_001650343.1,XP_021711437,aag:5565987	aag:5565987
AAEL005099	7159.Q17B43	Rap GTPase-activating protein.	https://smart.embl.de/smart/DDvec.cgi?smart=981:Pfam_Rap_GAP(198|381)+BTB(590|818)+	AAEL005099,AAEL005099-PA,Q17B43,Q17B43_AEDAE,Rap GTPase-activating protein,XM_001650294.2,XP_001650344.1	
AAEL005100	7159.Q17B23	AAEL005100-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=257:	5566027,AAEL005100,AAEL005100-PA,Q17B23,Q17B23_AEDAE,Uncharacterized protein LOC5566027,XM_001650330.1,XP_001650380,XP_001650380.1,aag:5566027	aag:5566027
AAEL005147	7159.Q17AZ6	AAEL005147-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=576:SAM_PNT(304|388)+ETS(487|575)+	5566047,AAEL005147,AAEL005147-PA,DNA-binding protein D-ETS-4 isoform X1,Q17AZ6,Q17AZ6_AEDAE,XM_001650365.1,XP_001650415,XP_001650415.1,aag:5566047	aag:5566047
AAEL005160	7159.Q17AX2	Sulphate transporter.	https://smart.embl.de/smart/DDvec.cgi?smart=656:Pfam_Sulfate_transp(103|499)+Pfam_STAS(532|639)+	5566091,AAEL005160,AAEL005160-PA,Q17AX2,Q17AX2_AEDAE,Sulphate transporter,XM_001650403.1,XP_001650453.1,XP_021708981,aag:5566091	aag:5566091
AAEL005281	7159.Q17AJ3	AAEL005281-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=839:TRANS(10|32)+Pfam_Ima1_N(40|160)+TRANS(206|225)+	5566213,AAEL005281,AAEL005281-PA,Q17AJ3,Q17AJ3_AEDAE,Uncharacterized protein LOC5566213 isoform X1,XM_001650569.1,XP_001650619,XP_001650619.1,aag:5566213	aag:5566213
AAEL005302	7159.Q17AG5	Beta-1,4-galactosyltransferase.	https://smart.embl.de/smart/DDvec.cgi?smart=465:TRANS(7|26)+Pfam_Glyco_transf_7N(199|332)+Pfam_Glyco_transf_7C(336|413)+	AAEL005302,AAEL005302-PA,Beta-1,4-galactosyltransferase,Q17AG5,Q17AG5_AEDAE,XM_001650652.1,XP_001650702.1	
AAEL005315	7159.Q17AC7	AAEL005315-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=266:TRANS(12|34)+TRANS(77|94)+TRANS(107|129)+TRANS(144|161)+TRANS(173|195)+TRANS(210|227)+TRANS(248|265)+	5566351,AAEL005315,AAEL005315-PA,Q17AC7,Q17AC7_AEDAE,Uncharacterized protein LOC5566351,XM_001650695.1,XP_001650745,XP_001650745.1,aag:5566351	aag:5566351
AAEL005448	7159.Q179Z3	AAEL005448-PA; Belongs to the protein kinase superfamily. Tyr protein kinase family.	https://smart.embl.de/smart/DDvec.cgi?smart=343:TyrKc(40|309)+	AAEL005448,AAEL005448-PA,Q179Z3,Q179Z3_AEDAE,XM_001650866.1,XP_001650916.1	
AAEL005452	7159.Q17A00	AAEL005452-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=590:	5566516,AAEL005452,AAEL005452-PA,Q17A00,Q17A00_AEDAE,Transcription factor AP-4,XM_001650859.1,XP_001650909.1,XP_021701149,YEATS domain-containing protein 2,aag:5566516	aag:5566516
AAEL005463	7159.Q179X5	AAEL005463-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=416:EFh(35|63)+EFh(84|113)+EFh(131|159)+EFh(177|205)+EFh(224|252)+	AAEL005463,AAEL005463-PA,Calbindin-32,Q179X5,Q179X5_AEDAE,XM_001650892.1,XP_001650942.1	
AAEL005581	7159.Q179N7	Transporter; Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family.	https://smart.embl.de/smart/DDvec.cgi?smart=680:Pfam_SNF(90|648)+	5566685,AAEL005581,Q179N7,Q179N7_AEDAE,Sodium-dependent serotonin transporter,Transporter,XM_001651042.1,XP_001651092,XP_001651092.1,aag:5566685	aag:5566685
AAEL005640	7159.Q0IFE7	AAEL005640-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=373:IG(74|146)+FN3(209|300)+TRANS(333|355)+	5566774,AAEL005640,AAEL005640-PA,Q0IFE7,Q0IFE7_AEDAE,Uncharacterized protein LOC5566774 isoform X1,XM_001651133.1,XP_001651183.1,XP_021700219,aag:5566774	aag:5566774
AAEL005655	7159.Q179E9	AAEL005655-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=453:PX(62|194)+Pfam_BAR_3_WASP_bdg(216|446)+	5566808,AAEL005655,AAEL005655-PA,Q179E9,Q179E9_AEDAE,Sorting nexin,Sorting nexin-1/2,Sorting nexin-2,XM_001651168.1,XP_001651217,XP_001651218.1,aag:5566808	aag:5566808
AAEL005679	7159.Q179A9	AAEL005679-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=144:Pfam_Pkinase_Tyr(14|120)+	AAEL005679,AAEL005679-PA,Q179A9,Q179A9_AEDAE,XM_001651288.1,XP_001651338.1	
AAEL005741	7159.Q178X8	Forkhead protein/ forkhead protein domain.	https://smart.embl.de/smart/DDvec.cgi?smart=325:FH(87|177)+	5566982,AAEL005741,AAEL005741-PA,Forkhead box protein E3 isoform X3,Forkhead box protein L,Forkhead protein/ forkhead protein domain,Q178X8,Q178X8_AEDAE,XM_001651343.1,XP_001651392,XP_001651393.1,aag:5566982	aag:5566982
AAEL005766	7159.Q178U8	Fructose-bisphosphate aldolase; Belongs to the class I fructose-bisphosphate aldolase family.	https://smart.embl.de/smart/DDvec.cgi?smart=364:Pfam_Glycolytic(15|364)+	4.1.2.13,5567031,AAEL005766,EC 4.1.2.13,Fructose-bisphosphate aldolase,Fructose-bisphosphate aldolase isoform X1,Fructose-bisphosphate aldolase, class I,Q178U8,Q178U8_AEDAE,XM_001651373.1,XP_001651423,XP_001651423.1,aag:5567031	aag:5567031
AAEL005832	7159.Q178N5	AAEL005832-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=477:MA3(167|278)+MA3(330|443)+	5567109,AAEL005832,AAEL005832-PA,Programmed cell death protein 4,Q178N5,Q178N5_AEDAE,XM_001651439.1,XP_001651489,XP_001651489.1,aag:5567109	aag:5567109
AAEL005895	7159.Q0IFC5	AAEL005895-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=756:Pfam_APP_N(4|77)+Pfam_APP_Cu_bd(78|134)+Pfam_APP_E2(251|445)+Pfam_APP_amyloid(698|753)+	5567168,AAEL005895,AAEL005895-PA,Amyloid beta A4 protein,Beta-amyloid-like protein isoform X1,Q0IFC5,Q0IFC5_AEDAE,XM_001651523.1,XP_001651573.1,XP_021709738,aag:5567168	aag:5567168
