#node	identifier	domain_summary_url	annotation	other_names_and_aliases
AAEL006251	7159.Q176V0	Ubiquitin-fold modifier 1; Ubiquitin-like modifier protein which binds to a number of as yet unidentified target proteins.	https://smart.embl.de/smart/DDvec.cgi?smart=86:Pfam_Ufm1(4|78)+	5567684,AAEL006251,Q176V0,UFM1_AEDAE,Ubiquitin-fold modifier 1,XM_001657563.1,XP_001657613,XP_001657613.1,aag:5567684
AAEL006426	7159.Q0IF91	Beta-1,4-galactosyltransferase.	https://smart.embl.de/smart/DDvec.cgi?smart=318:TRANS(11|28)+Pfam_Glyco_transf_7N(65|190)+Pfam_Glyco_transf_7C(194|271)+	110677016,2.4.1.-,2.4.1.22,2.4.1.38,2.4.1.90,AAEL006426,AAEL006426-PA,Beta-1,4-galactosyltransferase,Beta-1,4-galactosyltransferase 2,Beta-1,4-galactosyltransferase 2-like,EC 2.4.1.-,EC 2.4.1.22,EC 2.4.1.38,EC 2.4.1.90,Q0IF91,Q0IF91_AEDAE,XM_001657730.1,XP_001657780.1,XP_021703090,aag:110677016
AAEL006439	7159.Q176D4	Dual specificity protein phosphatase; Dual specificity phosphatase able to dephosphorylate phosphotyrosine, phosphoserine and phosphothreonine residues, with a preference for phosphotyrosine as a substrate. Belongs to the protein-tyrosine phosphatase family. Non- receptor class dual specificity subfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=210:DSPc(55|202)+	3.1.3.16,3.1.3.48,5568002,AAEL006439,Atypical dual specificity phosphatase,Dual specificity protein phosphatase,EC 3.1.3.16,EC 3.1.3.48,Q176D4,Q176D4_AEDAE,XM_001657762.1,XP_001657812,XP_001657812.1,aag:5568002
AAEL006445	7159.Q176D1	Phosphatidylinositol-glycan biosynthesis class W protein; Probable acetyltransferase, which acetylates the inositol ring of phosphatidylinositol during biosynthesis of GPI-anchor.	https://smart.embl.de/smart/DDvec.cgi?smart=468:TRANS(21|43)+TRANS(71|93)+TRANS(121|139)+TRANS(149|168)+TRANS(185|202)+TRANS(217|239)+Pfam_GWT1(281|427)+TRANS(439|461)+	2.3.-.-,5567989,AAEL006445,EC 2.3.-.-,GPI-anchored wall transfer protein 1,Glucosaminylphosphatidylinositol acyltransferase,Q176D1,Q176D1_AEDAE,XM_001657765.1,XP_001657815,XP_001657815.1,aag:5567989
AAEL006553	7159.Q175U4	AAEL006553-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=424:Pfam_Calsequestrin(48|259)+TRANS(378|400)+	5.3.4.1,5568115,AAEL006553,AAEL006553-PA,EC 5.3.4.1,Protein disulfide-isomerase TMX3,Q175U4,Q175U4_AEDAE,Thioredoxin domain-containing protein 10,XM_001652004.1,XP_001652054.1,XP_021696650,aag:5568115
AAEL006555	7159.Q175T7	AAEL006555-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=111:SIGNAL(1|22)+	5568122,AAEL006555,AAEL006555-PA,Mucin-5AC,Q175T7,Q175T7_AEDAE,RNA binding protein fox-1,XM_001652011.1,XP_001652061.1,XP_021696657,aag:5568122
AAEL006596	7159.Q175Q0	AAEL006596-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=233:	AAEL006596,AAEL006596-PA,Q175Q0,Q175Q0_AEDAE,XM_001657850.1,XP_001657900.1
AAEL006664	7159.Q175E6	AAEL006664-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=237:RING(16|58)+RRM(112|191)+	AAEL006664,AAEL006664-PA,Q175E6,Q175E6_AEDAE,XM_001657896.1,XP_001657946.1
AAEL006783	7159.Q174S1	Histone-lysine N-methyltransferase, H3 lysine-79 specific.	https://smart.embl.de/smart/DDvec.cgi?smart=1707:Pfam_DOT1(117|319)+	2.1.1.-,AAEL006783,Histone H3-K79 methyltransferase,Q174S1,Q174S1_AEDAE,XM_001652179.1,XP_001652229.1
AAEL006855	7159.Q174K4	UDP-galactose transporter.	https://smart.embl.de/smart/DDvec.cgi?smart=339:Pfam_UAA(2|317)+	5568452,AAEL006855,AAEL006855-PA,AAEL006855-PB,Q174K4,Q174K4_AEDAE,UDP-galactose transporter,XM_001652235.1,XM_001652236.1,XP_001652285,XP_001652285.1,XP_001652286.1,aag:5568452
AAEL006911	7159.Q174F6	Microtubule-associated protein.	https://smart.embl.de/smart/DDvec.cgi?smart=847:TRANS(245|267)+Pfam_MAP7(608|772)+	AAEL006911,AAEL006911-PA,Microtubule-associated protein,Q174F6,Q174F6_AEDAE,XM_001652272.1,XP_001652322.1
AAEL007034	7159.Q173S6	AAEL007034-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=173:DnaJ(18|76)+	5568679,AAEL007034,AAEL007034-PA,DnaJ homolog subfamily C member 12,J domain-containing protein,Q173S6,Q173S6_AEDAE,XM_001658039.1,XP_001658089,XP_001658089.1,aag:5568679
AAEL007144	7159.Q173I2	AAEL007144-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=607:BTB(26|122)+BACK(127|230)+Kelch(279|327)+Kelch(328|374)+Kelch(375|421)+Kelch(422|468)+Kelch(469|515)+Kelch(516|562)+	5568797,AAEL007144,AAEL007144-PA,Kelch-like protein 10,LOW QUALITY PROTEIN: kelch-like protein 10,Q173I2,Q173I2_AEDAE,XM_001658108.1,XP_001658158.1,XP_021703170,aag:5568797
AAEL007659	7159.Q171F9	AAEL007659-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=408:CT(41|138)+	5569473,AAEL007659,AAEL007659-PA,Histidine-rich glycoprotein,Neuroblastoma suppressor of tumorigenicity 1,Q171F9,Q171F9_AEDAE,XM_001658509.1,XP_001658559,XP_001658559.1,aag:5569473
AAEL007664	7159.Q171F2	Nicotinic acetylcholine receptor subunit.	https://smart.embl.de/smart/DDvec.cgi?smart=315:Pfam_Neur_chan_LBD(3|167)+Pfam_Neur_chan_memb(174|313)+	5569480,AAEL007664,AAEL007664-PA,Neuronal acetylcholine receptor subunit alpha-7,Nicotinic acetylcholine receptor subunit,Nicotinic acetylcholine receptor, invertebrate,Q171F2,Q171F2_AEDAE,XM_001658516.1,XP_001658566.1,XP_021702656,aag:5569480
AAEL007953	7159.Q16FC5	AAEL007953-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=337:Pfam_SPRY(151|275)+	5565334,AAEL007953,AAEL007953-PA,AAEL014824,AAEL014824-PA,Q16FC5,Q16FC5_AEDAE,SPRY domain-containing SOCS box protein 3,XM_001649630.1,XM_001658708.1,XP_001649680.1,XP_001658758.1,XP_021701999,aag:5565334
AAEL008122	7159.Q16ZQ0	AAEL008122-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=275:	5575013,AAEL008122,AAEL008122-PA,Q16ZQ0,Q16ZQ0_AEDAE,XM_001658897.1,XP_001658947.1,XP_021707018,aag:5575013
AAEL008421	7159.Q16YV5	AAEL008421-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1736:SIGNAL(1|26)+CA(65|141)+CA(166|267)+CA(306|390)+CA(421|503)+CA(525|605)+CA(626|705)+CA(730|808)+CA(831|909)+CA(933|1016)+CA(1063|1147)+CA(1181|1277)+TRANS(1410|1432)+	5570607,AAEL008421,AAEL008421-PA,Cadherin,Cadherin-99C,Protocadherin-15,Q16YV5,Q16YV5_AEDAE,XM_001653219.1,XP_001653269.1,XP_021709327,aag:5570607
AAEL008480	7159.Q16YN7	AAEL008480-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=313:	5570668,AAEL008480,AAEL008480-PA,Q16YN7,Q16YN7_AEDAE,Uncharacterized protein LOC5570668,XM_001659213.1,XP_001659263,XP_001659263.1,aag:5570668
AAEL008590	7159.Q16YB0	AAEL008590-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=434:	5570830,AAEL008590,AAEL008590-PA,Q16YB0,Q16YB0_AEDAE,XM_001653287.1,XP_001653337.1,XP_021702177,aag:5570830
AAEL008765	7159.Q16XV3	AAEL008765-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=167:SIGNAL(1|21)+Pfam_Chitin_bind_4(88|139)+	AAEL008765,AAEL008765-PA,Q16XV3,Q16XV3_AEDAE,XM_001659411.1,XP_001659461.1
AAEL008816	7159.Q16XQ1	Vesicular monoamine transporter, putative.	https://smart.embl.de/smart/DDvec.cgi?smart=438:Pfam_Sugar_tr(42|230)+TRANS(379|401)+	AAEL008816,AAEL008816-PA,Q16XQ1,Q16XQ1_AEDAE,Vesicular monoamine transporter, putative,XM_001659463.2,XP_001659513.1
AAEL009171	7159.Q16WN0	AAEL009171-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=759:BRLZ(643|707)+	5571582,AAEL009171,AAEL009171-PA,CREB3 regulatory factor,Protein CREBRF homolog isoform X2,Q16WN0,Q16WN0_AEDAE,XM_001659741.1,XP_001659791,XP_001659791.1,aag:5571582
AAEL009212	7159.Q16WI5	AAEL009212-PC.	https://smart.embl.de/smart/DDvec.cgi?smart=731:BTB(32|127)+ZnF_C2H2(650|670)+ZnF_C2H2(679|702)+	5571687,AAEL009212,AAEL009212-PC,Lola,Q16WI5,Q16WI5_AEDAE,XM_001659774.1,XP_001659824.1,XP_001659825,aag:5571687
AAEL009232	7159.Q16WF9	AAEL009232-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=687:TRANS(13|35)+Pfam_AMP-binding(97|553)+Pfam_AMP-binding_C(562|621)+	5571706,6.2.1.3,AAEL009232,AAEL009232-PA,EC 6.2.1.3,Long-chain acyl-CoA synthetase,Long-chain-fatty-acid--CoA ligase 1 isoform X1,Q16WF9,Q16WF9_AEDAE,XM_001659799.1,XP_001659849.1,XP_021709357,aag:5571706
AAEL009300	7159.Q16W86	AAEL009300-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=121:Pfam_DoxX_2(7|93)+	5579241,AAEL009300,AAEL009300-PA,Q16W86,Q16W86_AEDAE,Transmembrane protein 35A,XM_001659860.1,XP_001659910.1,XP_021695737,aag:5579241
AAEL009304	7159.Q16WA7	AAEL009304-PA; Belongs to the syntaxin family.	https://smart.embl.de/smart/DDvec.cgi?smart=291:SynN(9|130)+t_SNARE(171|238)+	5576630,AAEL009304,AAEL009304-PA,Q16WA7,Q16WA7_AEDAE,Syntaxin,Syntaxin 1A,Syntaxin-1A isoform X1,XM_001659839.1,XP_001659889.1,XP_021695759,aag:5576630
AAEL009364	7159.Q16W25	AAEL009364-PA; Belongs to the protein kinase superfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=371:S_TKc(3|297)+	2.7.11.22,2.7.11.23,5571877,AAEL009364,AAEL009364-PA,Cyclin-dependent kinase 12 isoform X1,Cyclin-dependent kinase 12/13,EC 2.7.11.22,EC 2.7.11.23,Q16W25,Q16W25_AEDAE,XM_001659936.1,XP_001659986,XP_001659986.1,aag:5571877
AAEL009437	7159.Q16VT5	AAEL009437-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1190:RING(16|58)+RRM(112|192)+	2.3.2.27,5571955,AAEL009437,AAEL009437-PA,CCR4-NOT transcription complex subunit 4,EC 2.3.2.27,Q16VT5,Q16VT5_AEDAE,XM_001660010.1,XP_001660060.1,XP_021701545,aag:5571955
AAEL009588	7159.Q16VE7	Expressed protein (HR3).	https://smart.embl.de/smart/DDvec.cgi?smart=468:ZnF_C4(29|100)+HOLI(269|431)+	AAEL009588,AAEL009588-PA,Expressed protein (HR3),Q16VE7,Q16VE7_AEDAE,XM_001660223.1,XP_001660273.1
AAEL009901	7159.Q16UG6	AAEL009901-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=181:	AAEL009901,AAEL009901-PA,Q16UG6,Q16UG6_AEDAE,XM_001654049.1,XP_001654099.1
AAEL009905	7159.Q16UG8	AAEL009905-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=513:Pfam_DNA_pol_E_B(264|464)+	5572571,AAEL009905,AAEL009905-PA,DNA polymerase alpha subunit B,Q16UG8,Q16UG8_AEDAE,XM_001654048.1,XP_001654098.1,XP_021713040,aag:5572571
AAEL010015	7159.Q16U75	AAEL010015-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=269:	5572726,AAEL010015,AAEL010015-PA,Q16U75,Q16U75_AEDAE,Sex determination protein fruitless isoform X1,XM_001660495.1,XP_001660545.1,XP_021711703,aag:5572726
AAEL010095	7159.Q1HRQ5	Conserved protein.	https://smart.embl.de/smart/DDvec.cgi?smart=100:Pfam_DUF2615(1|100)+	5572890,AAEL010095,AAEL010095-PA,AAEL010095-PB,AAEL010095-PC,Conserved protein,Q1HRQ5,Q1HRQ5_AEDAE,Small integral membrane protein 14,XM_001654191.1,XM_001654192.1,XM_001654193.1,XP_001654241,XP_001654241.1,XP_001654242.1,XP_001654243.1,aag:5572890
AAEL010124	7159.Q16TV2	Phosphoinositide phospholipase C.	https://smart.embl.de/smart/DDvec.cgi?smart=774:PLCYc(59|175)+C2(196|295)+	3.1.4.11,5572902,AAEL010124,EC 3.1.4.11,Phosphatidylinositol phospholipase C, beta,Phosphoinositide phospholipase C,Q16TV2,Q16TV2_AEDAE,XM_001660587.1,XP_001660637.1,XP_021702740,aag:5572902
AAEL010222	7159.Q16TJ0	AAEL010222-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1034:ZnF_GATA(612|662)+ZnF_GATA(670|720)+	5573053,AAEL010222,AAEL010222-PA,Box A-binding factor isoform X6,Q16TJ0,Q16TJ0_AEDAE,XM_001654325.1,XP_001654374,XP_001654375.1,aag:5573053
AAEL010226	7159.Q16TH4	AAEL010226-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=523:HLH(418|471)+	110680264,AAEL010226,AAEL010226-PA,Daughterless,Q16TH4,Q16TH4_AEDAE,Transcription factor 4-like,XM_001660647.1,XP_001660697.1,XP_021711771,aag:110680264
AAEL010344	7159.Q16T89	AAEL010344-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=352:CRAL_TRIO_N(86|111)+Pfam_CRAL_TRIO(132|285)+	5573255,AAEL010344,AAEL010344-PA,Alpha-tocopherol transfer protein,Q16T89,Q16T89_AEDAE,XM_001654416.1,XP_001654466,XP_001654466.1,aag:5573255
AAEL010523	7159.Q16SQ6	AAEL010523-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=742:SIGNAL(1|18)+	5573481,AAEL010523,AAEL010523-PA,Q16SQ6,Q16SQ6_AEDAE,Uncharacterized protein LOC5573481,XM_001654578.1,XP_001654628.1,XP_021696025,aag:5573481
AAEL010664	7159.Q16S85	AAEL010664-PA; Belongs to the small heat shock protein (HSP20) family.	https://smart.embl.de/smart/DDvec.cgi?smart=191:Pfam_HSP20(66|165)+	5573683,AAEL010664,AAEL010664-PA,Crystallin, alpha A,Heat shock protein 23,Q16S85,Q16S85_AEDAE,XM_001660955.1,XP_001661005,XP_001661005.1,aag:5573683
AAEL010809	7159.Q0IEE3	AAEL010809-PA; Belongs to the nucleosome assembly protein (NAP) family.	https://smart.embl.de/smart/DDvec.cgi?smart=250:Pfam_NAP(65|213)+	5573965,AAEL010809,AAEL010809-PA,Protein SET,Q0IEE3,Q0IEE3_AEDAE,Template-activating factor I,XM_001654956.1,XP_001655006,XP_001655006.1,aag:5573965
AAEL010902	7159.Q16RM3	Cation efflux protein/ zinc transporter.	https://smart.embl.de/smart/DDvec.cgi?smart=379:Pfam_Cation_efflux(1|236)+	AAEL010902,AAEL010902-PA,Cation efflux protein/ zinc transporter,Q16RM3,Q16RM3_AEDAE,XM_001661091.1,XP_001661141.1
AAEL010906	7159.Q16RM7	AAEL010906-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=140:Pfam_Cid2(7|134)+	5574060,AAEL010906,AAEL010906-PA,Coiled-coil domain-containing protein 58,Q16RM7,Q16RM7_AEDAE,XM_001661087.1,XP_001661137,XP_001661137.1,aag:5574060
AAEL011191	7159.Q16QS4	AAEL011191-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=500:Pfam_CBM53(205|288)+	5574517,AAEL011191,AAEL011191-PA,Protein phosphatase 1 regulatory subunit 3A,Q16QS4,Q16QS4_AEDAE,XM_001661440.1,XP_001661490,XP_001661490.1,aag:5574517
AAEL011261	7159.Q16QJ6	AAEL011261-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1071:Pfam_HUN(142|193)+Pfam_UBN_AB(396|595)+	5574628,AAEL011261,AAEL011261-PA,Q16QJ6,Q16QJ6_AEDAE,Ubinuclein,XM_001661494.1,XP_001661544,XP_001661544.1,Yemanuclein isoform X2,aag:5574628
AAEL011420	7159.Q0IEC2	AAEL011420-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=894:RRM(267|339)+RRM(368|446)+RRM(498|577)+	5574775,AAEL011420,AAEL011420-PA,Epithelial splicing regulatory protein 1/2,Q0IEC2,Q0IEC2_AEDAE,RNA-binding protein fusilli isoform X1,XM_001655279.1,XP_001655329.1,XP_021707090,aag:5574775
AAEL011432	7159.Q16Q37	AAEL011432-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1048:Sema(54|481)+PSI(499|551)+PSI(648|695)+PSI(793|841)+IPT(842|930)+IPT(931|1030)+	5564742,AAEL011432,AAEL011432-PA,Plexin A,Plexin b,Plexin-B,Q16Q37,Q16Q37_AEDAE,XM_001661601.1,XP_001661651.1,XP_021699845,aag:5564742
AAEL011469	7159.Q16PZ1	AAEL011469-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=414:	5574875,AAEL011469,AAEL011469-PA,Q16PZ1,Q16PZ1_AEDAE,Titin isoform X1,XM_001655346.1,XP_001655396.1,XP_021705084,aag:5574875
AAEL011479	7159.Q16PZ2	AAEL011479-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=2525:Pfam_PWWP(7|105)+	AAEL011479,AAEL011479-PA,Q16PZ2,Q16PZ2_AEDAE,XM_001655345.1,XP_001655395.1
AAEL011480	7159.Q16PY9	AAEL011480-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1120:TPR(162|195)+TPR(197|230)+TPR(305|338)+TPR(340|373)+Pfam_TPR_16(388|439)+TPR(450|483)+TPR(496|529)+TPR(680|713)+TPR(716|749)+	5574874,AAEL011480,AAEL011480-PA,Q16PY9,Q16PY9_AEDAE,RNA polymerase-associated protein CTR9,RNA polymerase-associated protein CTR9 homolog,XM_001655348.1,XP_001655398,XP_001655398.1,aag:5574874
AAEL011576	7159.Q16PQ3	AAEL011576-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=147:Pfam_Ribosomal_L7Ae(29|124)+	AAEL011576,AAEL011576-PA,Q16PQ3,Q16PQ3_AEDAE,XM_001661690.1,XP_001661740.1
AAEL011654	7159.Q16PF2	AAEL011654-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=793:Pfam_AA_permease(49|435)+TRANS(553|572)+TRANS(576|595)+Pfam_AA_permease_C(606|656)+	5575110,AAEL011654,AAEL011654-PA,Cationic amino acid transporter 3 isoform X1,Q16PF2,Q16PF2_AEDAE,XM_001661782.1,XP_001661832,XP_001661832.1,aag:5575110
AAEL011709	7159.Q16PA7	Diacylglycerol kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=537:SIGNAL(1|24)+C1(44|93)+C1(110|163)+DAGKc(205|332)+DAGKa(359|512)+	2.7.1.107,5575244,AAEL011709,DAG kinase,Diacylglycerol kinase,Diacylglycerol kinase (ATP),Diacylglycerol kinase epsilon,EC 2.7.1.107,Q16PA7,Q16PA7_AEDAE,XM_001655599.1,XP_001655649.1,XP_021697543,aag:5575244
AAEL011867	7159.Q16NT2	AAEL011867-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=1537:	5575489,AAEL011867,AAEL011867-PA,Q16NT2,Q16NT2_AEDAE,Uncharacterized protein LOC5575489,XM_001661956.1,XP_001662006,XP_001662006.1,aag:5575489
AAEL012092	7159.Q16N45	AAEL012092-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=690:SIGNAL(1|34)+LRRCT(166|215)+TRANS(442|464)+	5575822,AAEL012092,AAEL012092-PA,Protein windpipe,Q16N45,Q16N45_AEDAE,XM_001662197.1,XP_001662247,XP_001662247.1,aag:5575822
AAEL012138	7159.Q16MZ3	AAEL012138-PB.	https://smart.embl.de/smart/DDvec.cgi?smart=504:TRANS(12|34)+Pfam_FAD_binding_4(54|187)+	1.3.1.-,1.3.1.72,5575872,AAEL012138,AAEL012138-PB,Delta(24)-sterol reductase,Delta24-sterol reductase,EC 1.3.1.-,EC 1.3.1.72,Q16MZ3,Q16MZ3_AEDAE,XM_001655824.1,XP_001655874,XP_001655874.1,aag:5575872
AAEL012262	7159.Q16ML6	Putative neural cell adhesion molecule l1.	https://smart.embl.de/smart/DDvec.cgi?smart=288:SIGNAL(1|23)+IG(39|127)+IGc2(139|209)+TRANS(228|250)+	5576029,AAEL012262,AAEL012262-PA,AAEL012262-PB,AAEL012262-PD,Putative neural cell adhesion molecule l1,Q16ML6,Q16ML6_AEDAE,Uncharacterized protein LOC5576029 isoform X1,XM_001655917.1,XM_001655918.1,XM_001655920.1,XP_001655967.1,XP_001655968.1,XP_001655970.1,XP_021702590,aag:5576029
AAEL012339	7159.Q16JH7	AAEL012339-PA; Belongs to the protein kinase superfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=306:S_TKc(7|286)+	2.7.11.22,5576141,5577696,AAEL012339,AAEL012339-PA,AAEL013329,AAEL013329-PA,Cdk1,Cyclin-dependent kinase 2,EC 2.7.11.22,Q16JH7,Q16JH7_AEDAE,XM_001662440.1,XM_001663426.1,XP_001662490,XP_001662490.1,XP_001663476.1,aag:5576141
AAEL012381	7159.Q16M89	AAEL012381-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=188:	5576190,AAEL012381,AAEL012381-PA,Q16M89,Q16M89_AEDAE,XM_001662477.1,XP_001662527.1
AAEL012388	7159.Q16M76	AAEL012388-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=476:BTB(43|138)+ZnF_C2H2(338|361)+ZnF_C2H2(366|389)+	5576197,AAEL012388,AAEL012388-PA,Protein bric-a-brac 1 isoform X1,Q16M76,Q16M76_AEDAE,XM_001662490.1,XP_001662540,XP_001662540.1,aag:5576197
AAEL012513	7159.Q16LV3	Calcium-binding protein E63-1.	https://smart.embl.de/smart/DDvec.cgi?smart=181:EFh(9|37)+EFh(45|73)+EFh(104|132)+EFh(140|168)+	5576419,AAEL012513,AAEL012513-PA,Calcium-binding protein E63-1,Calcium-binding protein E63-1 isoform X1,Calmodulin,Q16LV3,Q16LV3_AEDAE,XM_001656072.1,XP_001656122.1,XP_021696957,aag:5576419
AAEL012657	7159.Q16LF8	AAEL012657-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=193:Pfam_Syntaxin_2(1|71)+	AAEL012657,AAEL012657-PA,Q16LF8,Q16LF8_AEDAE,Syntaxin,XM_001662743.1,XP_001662793.1
AAEL012823	7159.Q16KZ4	Polypeptide N-acetylgalactosaminyltransferase.	https://smart.embl.de/smart/DDvec.cgi?smart=600:TRANS(13|31)+Pfam_Glycos_transf_2(149|346)+RICIN(469|599)+	2.4.1.-,2.4.1.41,5576843,AAEL012823,EC 2.4.1.41,Polypeptide N-acetylgalactosaminyltransferase,Polypeptide N-acetylgalactosaminyltransferase 1,Protein-UDP acetylgalactosaminyltransferase,Q16KZ4,Q16KZ4_AEDAE,XM_001662899.1,XP_001662949,XP_001662949.1,aag:5576843
AAEL012972	7159.Q16KJ5	Polypeptide N-acetylgalactosaminyltransferase.	https://smart.embl.de/smart/DDvec.cgi?smart=600:TRANS(13|31)+Pfam_Glycos_transf_2(149|346)+RICIN(469|599)+	2.4.1.-,AAEL012972,Polypeptide N-acetylgalactosaminyltransferase,Protein-UDP acetylgalactosaminyltransferase,Q16KJ5,Q16KJ5_AEDAE,XM_001663096.1,XP_001663146.1
AAEL013086	7159.Q16K82	AAEL013086-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1033:zf-AD(17|91)+ZnF_C2H2(262|285)+ZnF_C2H2(292|314)+ZnF_C2H2(320|343)+ZnF_C2H2(355|378)+ZnF_C2H2(397|419)+ZnF_C2H2(435|458)+ZnF_C2H2(463|486)+ZnF_C2H2(498|521)+ZnF_C2H2(540|563)+ZnF_C2H2(570|592)+ZnF_C2H2(598|621)+ZnF_C2H2(634|657)+ZnF_C2H2(675|697)+ZnF_C2H2(703|726)+ZnF_C2H2(738|761)+ZnF_C2H2(791|813)+ZnF_C2H2(821|843)+ZnF_C2H2(849|872)+ZnF_C2H2(882|905)+	5577196,AAEL013086,AAEL013086-PA,KRAB domain-containing zinc finger protein,Q16K82,Q16K82_AEDAE,XM_001663245.1,XP_001663295,XP_001663295.1,Zinc finger protein 14,aag:5577196
AAEL013203	7159.Q16JV4	AAEL013203-PA; Belongs to the peptidase C19 family.	https://smart.embl.de/smart/DDvec.cgi?smart=1296:Pfam_UCH_1(173|552)+	3.4.19.12,5577461,AAEL013203,AAEL013203-PA,EC 3.4.19.12,Q16JV4,Q16JV4_AEDAE,Ubiquitin carboxyl-terminal hydrolase 47,XM_001663337.1,XP_001663387,XP_001663387.1,aag:5577461
AAEL013250	7159.Q16JQ3	AAEL013250-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=1313:TBC(207|444)+	5577538,AAEL013250,AAEL013250-PA,AAEL801167,Q16JQ3,Q16JQ3_AEDAE,Uncharacterized protein LOC5577538,XM_001656501.2,XP_001656551,XP_001656551.2,aag:5577538
AAEL013359	7159.Q1HR82	DEAD box ATP-dependent RNA helicase; Belongs to the DEAD box helicase family.	https://smart.embl.de/smart/DDvec.cgi?smart=404:DEXDc(50|247)+HELICc(284|365)+	5577723,AAEL013359,AAEL013359-PB,AAEL013359-PC,DEAD box ATP-dependent RNA helicase,Eukaryotic initiation factor 4A,Initiation factor EIF-4A,Q1HR82,Q1HR82_AEDAE,Translation initiation factor 4A,XM_001656624.1,XM_001656626.1,XP_001656674.1,XP_001656676,XP_001656676.1,aag:5577723
AAEL013847	7159.Q16HZ7	Diacylglycerol kinase, zeta, iota.	https://smart.embl.de/smart/DDvec.cgi?smart=289:Pfam_DAGK_acc(1|49)+ANK(253|284)+	AAEL013847,AAEL013847-PA,Diacylglycerol kinase, zeta, iota,Q16HZ7,Q16HZ7_AEDAE,XM_001657122.1,XP_001657172.1
AAEL013849	7159.Q16HZ8	Diacylglycerol kinase, zeta, iota.	https://smart.embl.de/smart/DDvec.cgi?smart=309:DAGKa(3|93)+	2.7.1.107,5578809,AAEL013849,AAEL013849-PA,Diacylglycerol kinase (ATP),Diacylglycerol kinase, zeta, iota,EC 2.7.1.107,Q16HZ8,Q16HZ8_AEDAE,XM_001657121.1,XP_001657171.1,XP_021694724,aag:5578809
AAEL013986	7159.Q16HL0	AAEL013986-PA.	http://smart.embl.de/smart/DDvec.cgi?smart=205:	110677232,AAEL013986,AAEL013986-PA,Q16HL0,Q16HL0_AEDAE,Uncharacterized protein LOC110677232,XM_001657199.1,XP_001657249.1,XP_021703992,aag:110677232
AAEL014003	7159.Q16HJ7	AAEL014003-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=720:LRR(17|39)+LRR_TYP(40|63)+LRR(85|107)+LRR(108|131)+LRR(153|176)+CH(544|651)+	AAEL014003,AAEL014003-PA,Q16HJ7,Q16HJ7_AEDAE,XM_001664172.1,XP_001664222.1
AAEL014033	7159.Q16HG5	AAEL014033-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=351:RRM(2|77)+RRM(267|340)+	5579195,AAEL014033,AAEL014033-PA,CUG-BP- and ETR3-like factor,CUGBP Elav-like family member 4 isoform X1,Q16HG5,Q16HG5_AEDAE,XM_001664242.1,XP_001664292.1,XP_021699414,aag:5579195
