species,mirna,term_ID,term_description,observed_gene_count,background_gene_count,strength,signal,false_discovery_rate,matching_proteins_id_network,matching_proteins_labels_network,annotation,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,stringdb_id,protein_name,gene_primary,cc_function,go_p,go_f
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17EB3,AAEL003861,AAEL003861-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5578717,NA,animal organ development; developmental process involved in reproduction; neuron development; regulation of transcription by RNA polymerase II,NA
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17F07,AAEL003609,AAEL003609-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,protein localization,protein kinase binding
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17F08,AAEL003592,AAEL003592-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,protein localization,protein kinase binding
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17F71,AAEL003506,AAEL003506-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,brain development; neuron differentiation,"DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding"
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17G69,AAEL003169,AAEL003169-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,cell-cell adhesion,cell adhesion molecule binding
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17GF2,AAEL003109,AAEL003109-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,GB1/RHD3-type G domain-containing protein,5577060,NA,NA,GTP binding; GTPase activity
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17GP3,AAEL002938,Skd/vacuolar sorting; Belongs to the AAA ATPase family.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,vesicle-fusing ATPase,110673991,NA,endosomal transport; vacuole organization,ATP binding; ATP hydrolysis activity
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17GP4,AAEL002936,AAEL002936-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,endoplasmic reticulum membrane organization; endoplasmic reticulum-plasma membrane tethering,FFAT motif binding
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17H75,AAEL002761,Putative tropomyosin invertebrate; Belongs to the tropomyosin family.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5575995,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17HS6,AAEL002594,AAEL002594-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,non-specific serine/threonine protein kinase,NA,NA,NA,ATP binding; protein serine/threonine kinase activity
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17I67,AAEL002451,Zinc finger protein.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,negative regulation of transcription by RNA polymerase II,"DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; zinc ion binding"
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17IC7,AAEL002390,AAEL002390-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II transcription regulatory region sequence-specific DNA binding; zinc ion binding"
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17IK5,AAEL002321,AAEL002321-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding"
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17IL0,AAEL002287,Trans-prenyltransferase.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,isoprenoid biosynthetic process; pheromone biosynthetic process; ubiquinone biosynthetic process,prenyltransferase activity
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17J33,AAEL002171,Ubiquitin specific proteinase.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17JY3,AAEL001861,AAEL001861-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,protein import into nucleus; protein localization to nuclear inner membrane; RNA export from nucleus; transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery,structural constituent of nuclear pore
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17K58,AAEL001819,AAEL001819-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5572431,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17K67,AAEL001780,Homeobox protein distal-less dlx.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding"
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17K68,AAEL001776,AAEL001776-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17KU1,AAEL001567,Myocyte-specific enhancer factor 2d.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,cell differentiation; heart development; positive regulation of transcription by RNA polymerase II,"DNA-binding transcription factor activity, RNA polymerase II-specific; histone deacetylase binding; protein dimerization activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding"
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17L13,AAEL001482,AAEL001482-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17L66,AAEL001468,AAEL001468-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,negative regulation of translation,mRNA binding
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17L67,AAEL001454,AAEL001454-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,negative regulation of translation,mRNA binding
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17LA6,AAEL001437,AAEL001437-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,post-embryonic development; regulation of developmental process; regulation of DNA-templated transcription; regulation of multicellular organismal process,NA
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17LI9,AAEL001340,AAEL001340-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Coiled-coil domain-containing protein 39,NA,"Required for assembly of dynein regulatory complex (DRC) and inner dynein arm (IDA) complexes, which are responsible for ciliary beat regulation, thereby playing a central role in motility in cilia and flagella. Probably acts together with CCDC40 to form a molecular ruler that determines the 96 nanometer (nm) repeat length and arrangements of components in cilia and flagella. Not required for outer dynein arm complexes assembly",cilium-dependent cell motility; epithelial cilium movement involved in determination of left/right asymmetry; inner dynein arm assembly,NA
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17MT6,ARK,Apaf-1 Related Killer.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,ARK,NA,apoptotic process,ADP binding
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17MX1,AAEL000868,AAEL000868-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17MX6,AAEL000908,AAEL000908-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17MX7,AAEL000891,AAEL000891-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17N01,AAEL000860,AAEL000860-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5567249,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17NC1,AAEL000729,AAEL000729-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,regulation of translation,mRNA binding
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17NE5,AAEL000741,Ecdysone-induced protein 74EF (ETS transcription factor E74A).,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,cell differentiation,"DNA-binding transcription factor activity, RNA polymerase II-specific; sequence-specific DNA binding"
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17NJ1,TOLL8,AAEL000633-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5565427,NA,signal transduction,NA
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17NP6,AAEL000597,AAEL000597-PA; Cadherins are calcium-dependent cell adhesion proteins.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,Cadherins are calcium-dependent cell adhesion proteins,animal organ morphogenesis; cell migration; establishment of planar polarity; establishment or maintenance of cell polarity; homophilic cell adhesion via plasma membrane adhesion molecules; neuron projection development,beta-catenin binding; cadherin binding; calcium ion binding
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17PG3,AAEL000324,Tyrosine-protein kinase drl.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,receptor protein-tyrosine kinase,NA,NA,axonogenesis; cell surface receptor protein tyrosine kinase signaling pathway; positive regulation of neuron projection development; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,ATP binding; protein kinase activity
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17PN7,AAEL000276,AAEL000276-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,DDB1- and CUL4-associated factor 1,NA,NA,protein ubiquitination,NA
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17PT9,AAEL000242,AAEL000242-PA; Belongs to the potassium channel family.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,action potential; protein homooligomerization,delayed rectifier potassium channel activity
Aedes aegypti,aae-mir-34-5p,GO:0007275,Multicellular organism development,115,2519,0.31,0.87,1.97e-11,Q17PU2,AAEL000247,AAEL000247-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Dynein axonemal assembly factor 4,5572025,NA,cilium movement; inner dynein arm assembly; nervous system development; outer dynein arm assembly,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,J9EAN8,J9EAN8_AEDAE,AAEL010145-PC.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5572931,"This is the non-catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane. The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane",intracellular potassium ion homeostasis; intracellular sodium ion homeostasis; potassium ion import across plasma membrane; sodium ion export across plasma membrane,ATPase activator activity
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,J9HTV7,AAEL801114,AAEL017419-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,CCHC-type domain-containing protein,23687839,NA,NA,nucleic acid binding; zinc ion binding
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q0C7B1,AAEL000093,AAEL000093-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,intracellular signal transduction,GTPase activator activity; zinc ion binding
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q0IG29,AAEL003527,AAEL003527-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,SET and MYND domain-containing protein 4,NA,Plays a critical role in cardiac development. Acts as a key epigenetic regulator of gene expression during cardiac development via its dual activities as a methyltransferase and negative regulator of HDAC1,compound eye photoreceptor development; methylation,histone deacetylase binding; N-methyltransferase activity; protein methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; zinc ion binding
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16FK4,AAEL014730,AAEL014730-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,protein localization,protein kinase binding
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16G14,AAEL014557,AAEL014557-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5564673,NA,animal organ morphogenesis; anterior/posterior axis specification; cell differentiation,"DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II transcription regulatory region sequence-specific DNA binding"
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16GK5,AAEL014347,AAEL014347-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,animal organ development; system development,calcium ion binding
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16HK0,AAEL013997,AAEL013997-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5579061,NA,signal transduction,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16I88,AAEL013758,AAEL013758-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16IN4,AAEL013602,AAEL013602-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16KQ8,AAEL012905,AAEL012905-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,calcium ion binding
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16KQ9,AAEL012910,AAEL012910-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,calcium ion binding
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16KR0,AAEL012908,AAEL012908-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16L96,AAEL012723,AAEL012723-PA; Belongs to the protein kinase superfamily.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,mitogen-activated protein kinase kinase,5576696,NA,MAPK cascade,ATP binding; protein serine/threonine kinase activity; protein serine/threonine/tyrosine kinase activity; protein tyrosine kinase activity
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16LX7,AAEL012493,AAEL012493-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,animal organ development; system development,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16N83,AAEL012065,Cytoplasmic polyadenylation element binding protein (cpeb).,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,negative regulation of cytoplasmic translation,"mRNA 3'-UTR binding; mRNA regulatory element binding translation repressor activity; ribosome binding; translation factor activity, RNA binding"
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16N85,AAEL012057,Enhancer of polycomb-like protein.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Enhancer of polycomb-like protein,NA,NA,regulation of transcription by RNA polymerase II,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16PP6,AAEL011565,AAEL011565-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,signal transduction,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16PT5,AAEL011536,"Phosphoacetylglucosamine mutase; Catalyzes the conversion of GlcNAc-6-P into GlcNAc-1-P during the synthesis of uridine diphosphate/UDP-GlcNAc, a sugar nucleotide critical to multiple glycosylation pathways including protein N- and O- glycosylation; Belongs to the phosphohexose mutase family.",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Phosphoacetylglucosamine mutase,5574930,"Catalyzes the conversion of GlcNAc-6-P into GlcNAc-1-P during the synthesis of uridine diphosphate/UDP-GlcNAc, a sugar nucleotide critical to multiple glycosylation pathways including protein N- and O-glycosylation",carbohydrate metabolic process; UDP-N-acetylglucosamine biosynthetic process,magnesium ion binding; phosphoacetylglucosamine mutase activity
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16R23,AAEL011105,AAEL011105-PB.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,actin filament binding
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16R65,AAEL011058,Lim domain binding protein.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,LIM domain binding
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16RM1,AAEL010908,AAEL010908-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16RU6,AAEL010835,Mitogen-activated protein kinase kinase kinase.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Mitogen-activated protein kinase kinase kinase dlk-1,NA,NA,response to stress,ATP binding; protein serine/threonine kinase activity
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16S36,AAEL010716,AAEL010716-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Translocon Sec61/SecY plug domain-containing protein,5573790,NA,protein transport,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16SB0,AAEL010643,AAEL010643-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16SL7,AAEL010555,AAEL010555-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; protein dimerization activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding"
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16TM2,AAEL010198,AAEL010198-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16U10,AAEL010061,AAEL010061-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,actin binding
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16U87,AAEL009988,AAEL009988-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16W03,AAEL009377,AAEL009377-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,small monomeric GTPase,5571900,NA,Rap protein signal transduction,GTP binding; GTPase activity
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16WF1,AAEL009240,AAEL009240-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Carboxylesterase type B domain-containing protein,5571711,NA,NA,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16WM1,AAEL009175,AAEL009175-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,animal organ development; axon guidance; negative chemotaxis,calcium ion binding; heparin binding; Roundabout binding
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16XT3,AAEL008773,AAEL008773-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Laminin A chain,NA,NA,animal organ morphogenesis; cell adhesion; system development; tissue development,NA
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16YG3,AAEL008554,AAEL008554-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,protein-tyrosine-phosphatase,NA,NA,cell differentiation; intracellular signal transduction; mitotic cell cycle,non-membrane spanning protein tyrosine phosphatase activity; phosphotyrosine residue binding
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16YG8,AAEL008528,AAEL008528-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,protein-tyrosine-phosphatase,NA,NA,anatomical structure morphogenesis; intracellular signal transduction; mitotic cell cycle; neuron development,non-membrane spanning protein tyrosine phosphatase activity; phosphotyrosine residue binding
Aedes aegypti,aae-mir-34-5p,GO:0009653,Anatomical structure morphogenesis,77,1549,0.35,0.83,1.56e-08,Q16YZ8,AAEL008362,AAEL008362-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,glycosaminoglycan binding; N-acetylglucosamine-6-sulfatase activity
