"species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_id_network","matching_proteins_labels_network","annotation","protein_name","cc_function","go_p","go_f","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G4U8","RP20_CCG002974","Ubiquitinyl hydrolase 1.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G4X0","RP20_CCG003006","Mitochondrial fission 1 protein; Involved in the fragmentation of the mitochondrial network and its perinuclear clustering.","Mitochondrial fission 1 protein","Involved in the fragmentation of the mitochondrial network and its perinuclear clustering",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G573","RP20_CCG003196","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G593","RP20_CCG003235","t-SNARE coiled-coil homology domain-containing protein; Belongs to the syntaxin family.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G598","RP20_CCG003245","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G5B9","RP20_CCG003299","WD_REPEATS_REGION domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G5D5","RP20_CCG003330","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G5F4","RP20_CCG003366","ANK_REP_REGION domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G5M6","RP20_CCG003480","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G5U1","RP20_CCG003603","ANK_REP_REGION domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G5Y8","RP20_CCG003693","SER_THR_PHOSPHATASE domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G5Z9","RP20_CCG003706","SH3 domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G6A9","RP20_CCG003891","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G6D5","RP20_CCG003951","Reverse transcriptase Ty1/copia-type domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G6F8","RP20_CCG003981","Non-specific serine/threonine protein kinase.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G6M7","RP20_CCG004117","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G6N6","RP20_CCG004132","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G6N9","RP20_CCG004135","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G6P1","RP20_CCG004137","Peptidase_M3 domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G6V7","RP20_CCG004244","Transket_pyr domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G6W1","RP20_CCG004255","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G737","RP20_CCG004387","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G786","RP20_CCG004462","RING-CH-type domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G788","RP20_CCG004464","Thioredoxin domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G7D1","RP20_CCG004560","RRM domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G7F0","RP20_CCG004593","Zinc-hook domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G7F5","RP20_CCG004603","SEC7 domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G7Q9","RP20_CCG004756","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G7R3","RP20_CCG004768","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G7R5","RP20_CCG004770","BRK domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G7S1","RP20_CCG004781","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G8W7","RP20_CCG005400","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G9H4","RP20_CCG005748","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182G9V6","RP20_CCG001317","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GA07","RP20_CCG006076","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GA53","RP20_CCG006156","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GAK2","RP20_CCG006404","SAM domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GAN6","RP20_CCG006466","RRM domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GAN8","RP20_CCG006470","PNPLA domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GAX4","RP20_CCG006622","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GAZ9","RP20_CCG006673","Retrotrans_gag domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GB21","RP20_CCG006713","S5A_REDUCTASE domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GBE2","RP20_CCG006899","Uncharacterized protein; Belongs to the SNF2/RAD54 helicase family. SMARCAL1 subfamily.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GBH6","RP20_CCG006965","PlsC domain-containing protein; Belongs to the GPAT/DAPAT family.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GBK3","RP20_CCG007000","EAF domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GBS7","RP20_CCG007119","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GBV7","RP20_CCG007174","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GBY5","RP20_CCG007211","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GBY9","RP20_CCG007218","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GC25","RP20_CCG007284","Glyco_tran_10_N domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GC42","RP20_CCG007311","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GC69","RP20_CCG007352","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GCC0","RP20_CCG007423","Aldo_ket_red domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GCC4","RP20_CCG007427","Aldo_ket_red domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GCG5","RP20_CCG007490","Protein kinase domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GD47","RP20_CCG007836","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GD72","RP20_CCG007886","Protein cactus (TOLL pathway signalling).",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GDB5","RP20_CCG007967","SUN domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GDI3","RP20_CCG008046","Coronin; Belongs to the WD repeat coronin family.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GDL1","RP20_CCG008080","Reverse transcriptase Ty1/copia-type domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GDP6","RP20_CCG008130","Glycogen [starch] synthase; Transfers the glycosyl residue from UDP-Glc to the non- reducing end of alpha-1,4-glucan.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GDW5","RP20_CCG008228","Adenylosuccinate synthetase; Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first commited step in the biosynthesis of AMP from IMP.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GDY7","RP20_CCG008258","BACK domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GE25","RP20_CCG008318","USP domain-containing protein; Belongs to the peptidase C19 family.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GE26","RP20_CCG008319","Serine/threonine-protein phosphatase; Belongs to the PPP phosphatase family.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GE35","RP20_CCG008334","Cation-transporting ATPase; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type V subfamily.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GE86","RP20_CCG008406","RRM domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GE93","RP20_CCG005310","Non-specific serine/threonine protein kinase.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GEB4","RP20_CCG008439","Uncharacterized protein; Belongs to the GST superfamily.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GEC6","RP20_CCG008456","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GEG3","RP20_CCG008498","ATP-dependent DNA helicase; Belongs to the helicase family. RecQ subfamily.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GEI8","RP20_CCG008536","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GEP3","RP20_CCG008617","Acyl-coenzyme A oxidase; Belongs to the acyl-CoA oxidase family.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GEP8","RP20_CCG008622","ATP-dependent DNA helicase; Belongs to the helicase family. RecQ subfamily.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GEQ8","RP20_CCG008643","mRNA_cap_enzyme domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GER1","RP20_CCG008646","Histone H2B; Belongs to the histone H2B family.","Histone H2B","Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GER9","RP20_CCG008658","GCFC domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GEY8","RP20_CCG008758","PAP-associated domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GEZ6","RP20_CCG008767","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GFC5","RP20_CCG008946","Clathrin_bdg domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GFC6","RP20_CCG008947","Uncharacterized protein.","RRM domain-containing protein",NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GFE7","RP20_CCG008969","Ubiquitin carboxyl-terminal hydrolase.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GFG3","RP20_CCG008994","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GFK3","RP20_CCG009046","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GFQ8","RP20_CCG009132","alpha-1,2-Mannosidase; Belongs to the glycosyl hydrolase 47 family.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GFS4","RP20_CCG009151","HECT domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GFX2","RP20_CCG009226","PX domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GG23","RP20_CCG009300","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GGX6","RP20_CCG009705","Elongation factor G, mitochondrial; Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GH02","RP20_CCG009737","USP domain-containing protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"A0A182GH29","RP20_CCG009773","Uncharacterized protein.",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
