"uniprot_id","species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Q17N01","Aedes aegypti","GO:0016043","Cellular component organization",123,2977,0.21,0.6,3.6e-06,"AAEL000860","AAEL000860-PA.",NA,NA,NA,NA,NA,"uzip","DUF3421","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17NG1","Aedes aegypti","GO:0016043","Cellular component organization",123,2977,0.21,0.6,3.6e-06,"AAEL000682","AAEL000682-PA.",NA,NA,NA,"dioxygenase activity; metal ion binding","round spermatid basic protein","RSBN1",NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17NP6","Aedes aegypti","GO:0016043","Cellular component organization",123,2977,0.21,0.6,3.6e-06,"AAEL000597","AAEL000597-PA; Cadherins are calcium-dependent cell adhesion proteins.",NA,"Cadherins are calcium-dependent cell adhesion proteins","axon extension involved in axon guidance; cell migration; homophilic cell adhesion via plasma membrane adhesion molecules; ommatidial rotation; R7 cell development; R8 cell development","beta-catenin binding; cadherin binding; calcium ion binding","Cadherins are calcium-dependent cell adhesion proteins","hmr-1","Cadherin,Cadherin_C,EGF,Laminin_G_2,hEGF","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17P09","Aedes aegypti","GO:0016043","Cellular component organization",123,2977,0.21,0.6,3.6e-06,"AAEL000489","Non-specific serine/threonine protein kinase.","non-specific serine/threonine protein kinase",NA,NA,"ATP binding; protein serine/threonine kinase activity","P21-activated kinase","Pak3","PBD,Pkinase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17PG3","Aedes aegypti","GO:0016043","Cellular component organization",123,2977,0.21,0.6,3.6e-06,"AAEL000324","Tyrosine-protein kinase drl.","receptor protein-tyrosine kinase",NA,"axon guidance; cell surface receptor protein tyrosine kinase signaling pathway; positive regulation of neuron projection development; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; salivary gland morphogenesis","ATP binding; protein heterodimerization activity; protein tyrosine kinase activity","WIF domain","RYK","Pkinase_Tyr,WIF","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17PT9","Aedes aegypti","GO:0016043","Cellular component organization",123,2977,0.21,0.6,3.6e-06,"AAEL000242","AAEL000242-PA; Belongs to the potassium channel family.",NA,NA,"action potential; protein homooligomerization; sleep","delayed rectifier potassium channel activity","Belongs to the potassium channel family","KCNA2","BTB_2,Ion_trans,K_channel_TID","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17PU2","Aedes aegypti","GO:0016043","Cellular component organization",123,2977,0.21,0.6,3.6e-06,"AAEL000247","AAEL000247-PA.","Dynein axonemal assembly factor 4",NA,"cilium movement; inner dynein arm assembly; nervous system development; outer dynein arm assembly",NA,"TPR repeat","DYX1C1","CS,TPR_8","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q1HR99","Aedes aegypti","GO:0016043","Cellular component organization",123,2977,0.21,0.6,3.6e-06,"AAEL010821","60S acidic ribosomal protein P0; Ribosomal protein P0 is the functional equivalent of E.coli protein L10.","60S acidic ribosomal protein P0","Ribosomal protein P0 is the functional equivalent of E.coli protein L10","cytoplasmic translation; ribosomal large subunit assembly","large ribosomal subunit rRNA binding; structural constituent of ribosome","Ribosomal protein P0 is the functional equivalent of E.coli protein L10","RPLP0","Ribosomal_60s,Ribosomal_L10","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q1HRW3","Aedes aegypti","GO:0016043","Cellular component organization",123,2977,0.21,0.6,3.6e-06,"AAEL002487","P53 regulated pa26 nuclear protein sestrin.",NA,NA,"cellular response to L-leucine; cellular response to leucine starvation; negative regulation of TORC1 signaling; positive regulation of macroautophagy; regulation of response to reactive oxygen species","L-leucine binding; oxidoreductase activity, acting on peroxide as acceptor","PA26 p53-induced protein (sestrin)","SESN1","PA26","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9E9F1","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"J9E9F1_AEDAE","DNA-directed RNA polymerase subunit beta; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates.","DNA-directed RNA polymerase subunit beta","DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates","defense response to virus; innate immune response; transcription by RNA polymerase III","DNA binding; DNA-directed RNA polymerase activity; ribonucleoside binding; zinc ion binding","DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates","POLR3B","RNA_pol_Rpb2_1,RNA_pol_Rpb2_2,RNA_pol_Rpb2_3,RNA_pol_Rpb2_4,RNA_pol_Rpb2_5,RNA_pol_Rpb2_6,RNA_pol_Rpb2_7","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9EAF0","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"J9EAF0_AEDAE","AAEL017196-PA.",NA,NA,"protein processing","metalloendopeptidase activity","Peptidase family M13",NA,"Peptidase_M13,Peptidase_M13_N","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9EAN8","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"J9EAN8_AEDAE","AAEL010145-PC.",NA,"This is the non-catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane. The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane","intracellular potassium ion homeostasis; intracellular sodium ion homeostasis; potassium ion import across plasma membrane; sodium ion export across plasma membrane","ATPase activator activity","Sodium / potassium ATPase beta chain","nrv2","Na_K-ATPase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9EBD1","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"J9EBD1_AEDAE","AAEL017382-PA; Belongs to the protein kinase superfamily.","non-specific serine/threonine protein kinase",NA,"DNA damage response; mitotic DNA replication checkpoint signaling","ATP binding; protein serine/threonine kinase activity","Protein tyrosine kinase","CHEK1","Pkinase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9HFE1","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"J9HFE1_AEDAE","Elongation factor Tu.","Elongation factor Tu",NA,"mitochondrial translational elongation","GTP binding; GTPase activity; metal ion binding; translation elongation factor activity","This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis","TUFM","GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9HIM6","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"J9HIM6_AEDAE","AAEL017462-PB.",NA,NA,NA,"transmembrane transporter activity","Major Facilitator Superfamily","HIAT1","MFS_1","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9HTV7","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL801114","AAEL017419-PA.","CCHC-type domain-containing protein",NA,NA,"nucleic acid binding; zinc ion binding","Zinc knuckle","CNBP","zf-CCHC,zf-CCHC_4","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"J9HYQ9","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"J9HYQ9_AEDAE","Elongation factor 1-alpha; This protein promotes the GTP-dependent binding of aminoacyl- tRNA to the A-site of ribosomes during protein biosynthesis.","Elongation factor 1-alpha","This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis",NA,"GTP binding; GTPase activity; translation elongation factor activity","This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis","EEF1A1","GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0C7A8","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL000053","AAEL000053-PA.",NA,NA,"negative regulation of autophagy; phosphatidylinositol dephosphorylation","protein phosphatase binding","Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily","MTMR9","Myotub-related","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0C7B1","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL000093","AAEL000093-PA.",NA,NA,"intracellular signal transduction","GTPase activator activity; zinc ion binding","Bruton's tyrosine kinase Cys-rich motif","RASA2","BTK,C2,PH,RasGAP","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IE94","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL012974","Glycine cleavage system H protein; The H protein shuttles the methylamine group of glycine from the P protein to the T protein; Belongs to the GcvH family.","Glycine cleavage system H protein","The H protein shuttles the methylamine group of glycine from the P protein to the T protein","glycine decarboxylation via glycine cleavage system; protein lipoylation",NA,"The H protein shuttles the methylamine group of glycine from the P protein to the T protein","GCSH","GCV_H","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IE98","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL012979","AAEL012979-PA.",NA,NA,"axon guidance; imaginal disc-derived wing morphogenesis; ommatidial rotation; positive regulation of neurogenesis; R3/R4 cell differentiation; regulation of growth; regulation of plasma membrane bounded cell projection organization",NA,"Immunoglobulin domain",NA,"I-set","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IE99","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL012977","AAEL012977-PA.",NA,NA,NA,"protein kinase activity","Immunoglobulin domain",NA,"I-set","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IEI4","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL010308","AAEL010308-PA.",NA,NA,NA,NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IEP7","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL008354","AAEL008354-PA; Belongs to the ligand-gated ion channel (TC 1.A.9) family.","Gamma-aminobutyric acid receptor subunit beta",NA,NA,"chloride channel activity; extracellular ligand-gated monoatomic ion channel activity; GABA-A receptor activity; ligand-gated monoatomic anion channel activity","Belongs to the ligand-gated ion channel (TC 1.A.9) family","Rdl","Neur_chan_LBD,Neur_chan_memb","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IFA2","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL006399","AAEL006399-PA.","Tektin",NA,"cilium assembly; cilium movement involved in cell motility",NA,"Tektin family","TEKT2","Tektin","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IFC5","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL005895","AAEL005895-PA.",NA,NA,"axonogenesis; central nervous system development","heparin binding; transition metal ion binding","beta-amyloid precursor protein C-terminus","APLP2","APP_Cu_bd,APP_E2,APP_N,APP_amyloid,Beta-APP,Kunitz_BPTI","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q0IG29","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL003527","AAEL003527-PA.","Protein-lysine N-methyltransferase SMYD4","Protein-lysine N-methyltransferase. Monomethylates PRMT5, modulating its transcriptional activity. May also act as a histone methyltransferase. Plays a critical role in cardiac development. Acts as a key epigenetic regulator of gene expression during cardiac development via its dual activities as a methyltransferase and negative regulator of HDAC1","compound eye photoreceptor development; methylation","histone deacetylase binding; N-methyltransferase activity; protein methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; zinc ion binding","SET domain","SMYD4","SET,zf-MYND","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16EE7","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL015235","AAEL015235-PA; Belongs to the band 7/mec-2 family. Flotillin subfamily.",NA,NA,"positive regulation of cell junction assembly; positive regulation of cell-cell adhesion mediated by cadherin; positive regulation of endocytosis; protein kinase C signaling; protein localization to plasma membrane; regulation of receptor internalization","protease binding","Flotillin","FLOT1","Band_7,Flot","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16EF2","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL015231","AAEL015231-PA.",NA,NA,NA,NA,"Ankyrin repeat","nphp-2","Ank_2,Ank_4","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16F16","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014933","Peptidylprolyl isomerase.","peptidylprolyl isomerase",NA,"negative regulation of apoptotic process","peptidyl-prolyl cis-trans isomerase activity; protein folding chaperone","Peptidylprolyl isomerase","FKBP8","FKBP_C,TPR_1,TPR_2,TPR_8","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16F21","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014927","Sodium/chloride dependent transporter.",NA,NA,NA,"glycine:sodium symporter activity; metal ion binding","Sodium chloride dependent transporter",NA,"SNF","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16F46","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014901","AAEL014901-PA.",NA,NA,"regulation of actin filament polymerization; regulation of small GTPase mediated signal transduction; signal transduction","GTPase activator activity","GTPase-activator protein for Rho-like GTPases","ARHGAP18","RhoGAP","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16FK4","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014730","AAEL014730-PA.",NA,NA,"protein localization","protein kinase binding","Neurobeachin","LRBA","Beach,DUF1088,DUF4704,Laminin_G_3,PH_BEACH,WD40","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16FV7","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014620","AAEL014620-PA.",NA,NA,NA,NA,"Resistance to inhibitors of cholinesterase homologue 3",NA,"RIC3","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16G14","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014557","AAEL014557-PA.",NA,NA,"animal organ morphogenesis; anterior/posterior axis specification; cell differentiation","DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II transcription regulatory region sequence-specific DNA binding","Homeobox protein CDX","cad","Homeobox","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16G51","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014521","AAEL014521-PA.",NA,NA,NA,NA,"Ankyrin repeat","nphp-2","Ank_2,Ank_4","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16G89","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014485","AAEL014485-PA.",NA,NA,NA,NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16GK5","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014347","AAEL014347-PA.",NA,NA,"animal organ development; system development","calcium ion binding","Plexin repeat","MEGF8","CUB,EGF_3,EGF_CA,Kelch_1,Kelch_3,Kelch_4,Laminin_EGF,PSI","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16GL8","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014337","Mitotic protein phosphatase 1 regulator, putative.",NA,NA,NA,NA,"Toll-like Receptor","Tl","LRRNT,LRR_5,LRR_8,TIR","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16GV0","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014258","AAEL014258-PA.",NA,NA,NA,"monocarboxylic acid transmembrane transporter activity","Monocarboxylate transporter",NA,"MFS_1","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16GZ8","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014207","Sugar transporter; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.",NA,NA,NA,"transmembrane transporter activity","Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family",NA,"Sugar_tr","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16H46","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014157","AAEL014157-PA.",NA,NA,"mitochondrial cytochrome c oxidase assembly",NA,"Cytochrome c oxidase assembly factor 4 homolog, mitochondrial-like","COA4","CHCH","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16H74","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014132","AAEL014132-PA.",NA,NA,"protein transport",NA,"Arrestin (or S-antigen), C-terminal domain",NA,"Arrestin_C,Arrestin_N","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16H88","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014109","AAEL014109-PA.",NA,NA,NA,"monocarboxylic acid transmembrane transporter activity","Monocarboxylate transporter",NA,"MFS_1","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16HG5","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL014033","AAEL014033-PA.",NA,NA,NA,"RNA binding","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","CELF3","RRM_1","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16HK0","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL013997","AAEL013997-PA.",NA,NA,"signal transduction",NA,"Guanine nucleotide-binding protein","GNB4","WD40","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16HZ9","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL013846","AAEL013846-PA.",NA,NA,NA,NA,"Ankyrin repeat","nphp-2","Ank_2,Ank_4","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16I15","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL013830","Bmp-induced factor.",NA,NA,"animal organ development; developmental process involved in reproduction; neuron development; regulation of transcription by RNA polymerase II","zinc ion binding","Broad-Complex, Tramtrack and Bric a brac","chinmo","BTB,zf-C2H2,zf-C2H2_4","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16I75","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL013770","Zinc finger protein.",NA,NA,"adaptive immune response; cell fate commitment; innate immune response","DNA-binding transcription repressor activity, RNA polymerase II-specific; N-methyltransferase activity; protein methyltransferase activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding; S-adenosylmethionine-dependent methyltransferase activity; zinc ion binding","SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain","PRDM1","SET,zf-C2H2","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16I88","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL013758","AAEL013758-PA.",NA,NA,NA,NA,"CD80-like C2-set immunoglobulin domain",NA,"C2-set_2,Ig_3,V-set,ig","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16IF7","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL009448","AAEL009448-PA.",NA,NA,"chromatin organization; regulation of cell cycle; regulation of macromolecule metabolic process; regulation of nucleobase-containing compound metabolic process",NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16II4","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL013651","AAEL013651-PA.",NA,NA,"regulation of gene expression","zinc ion binding","Zinc-finger of C2H2 type",NA,"zf-C2H2","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16II5","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL013654","AAEL013654-PA.",NA,NA,"regulation of transcription by RNA polymerase II",NA,"Zinc finger, C2H2 type",NA,"BTB,zf-C2H2,zf-H2C2_2","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16IN4","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL013602","AAEL013602-PA.",NA,NA,NA,NA,"Laminin G domain","EGFLAM","EGF,Laminin_G_1,Laminin_G_2,fn3,hEGF","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16IW8","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL013529","AAEL013529-PA.",NA,NA,"neurotransmitter secretion",NA,"It is involved in the biological process described with neurotransmitter secretion","SYN3","Synapsin,Synapsin_C,Synapsin_N","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16IY0","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL013510","AAEL013510-PA.","Protein Smaug",NA,"nuclear-transcribed mRNA poly(A) tail shortening; regulation of DNA-templated transcription","mRNA binding; translation repressor activity","Smaug protein","SAMD4B","PHAT,SAM_1","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16JG7","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL010659","Lethal(2)essential for life protein, l2efl; Belongs to the small heat shock protein (HSP20) family.",NA,NA,"protein refolding; response to heat","metal ion binding; unfolded protein binding","Belongs to the small heat shock protein (HSP20) family","CRYAB","Crystallin,HSP20","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16JN7","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL013268","AAEL013268-PA.",NA,NA,NA,NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16JQ4","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL013252","AAEL013252-PB.","Ras-related protein Rab-14",NA,"defense response to bacterium; endocytic recycling; Golgi to endosome transport; phagosome maturation; protein transport","GTP binding; GTPase activity","Rab subfamily of small GTPases","RAB14","Ras","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16KA6","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL013066","AAEL013066-PA.",NA,NA,NA,NA,"Protein tyrosine kinase","CHEK1","Pkinase","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16KH2","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"AAEL012988","Guanylate cyclase.","Guanylate cyclase",NA,"intracellular signal transduction; receptor guanylyl cyclase signaling pathway","adenylate cyclase activity; ATP binding; guanylate cyclase activity; peptide receptor activity; protein tyrosine kinase activity","Retinal guanylate cyclase","GUCY2D","ANF_receptor,Guanylate_cyc,HNOBA,Pkinase_Tyr","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16KP5","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"GPRALS3","GPCR Galanin/Allatostatin Family; Belongs to the G-protein coupled receptor 1 family.",NA,NA,NA,"peptide binding; somatostatin receptor activity","Belongs to the G-protein coupled receptor 1 family","SSTR5","7tm_1","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16L21","Aedes aegypti","GO:0009987","Cellular process",305,9342,0.11,0.6,1.69e-09,"GPRGHP3","AAEL012796-PA; Belongs to the G-protein coupled receptor 1 family.",NA,NA,NA,"neuromedin U receptor activity","Belongs to the G-protein coupled receptor 1 family","NMUR1","7tm_1","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
