"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"Q16RY8"," ","AAEL010783",5573862,"protein_coding","Aedes aegypti LVP_AGWG","2",304.822565,"sodium/potassium-dependent ATPase beta-2 subunit",37.42,4,79903,939,6220,209,4863,8
"Q16I15"," ","AAEL003861",5578717,"protein_coding","Aedes aegypti LVP_AGWG","2",315.938914,"bmp-induced factor",38.09,7,268018,1397,14120,413,11430,8
"A0A0P6IVP9"," ","AAEL020484",5578768,"protein_coding","Aedes aegypti LVP_AGWG","2",316.953199,"",41.74,1,15327,1029,3666,2,878,5
"A0A1S4FFU4"," ","AAEL007197",5568890,"protein_coding","Aedes aegypti LVP_AGWG","2",318.020704,"amino acid transporter",38.58,2,130701,1496,3092,348,1249,5
"Q16GZ8"," ","AAEL014207",5576056,"protein_coding","Aedes aegypti LVP_AGWG","2",331.691712,"sugar transporter",36.74,3,55600,1603,2495,181,578,5
"Q16G14"," cad","AAEL014557",5564673,"protein_coding","Aedes aegypti LVP_AGWG","2",332.209856,"homeobox protein caudal",37.24,2,65395,1122,3150,470,1558,2
"Q16UD8"," ","AAEL009938",5572619,"protein_coding","Aedes aegypti LVP_AGWG","2",333.873086,"",40.33,1,1577,867,1516,37,612,2
"A0A0P6J4M7"," ","AAEL018254",23687802,"protein_coding","Aedes aegypti LVP_AGWG","2",335.768951,"",36.92,2,99894,1479,3204,515,472,8
"A0A1S4FH62"," ","AAEL020446",5569392,"protein_coding","Aedes aegypti LVP_AGWG","2",343.886987,"",42.23,2,24164,4449,5973,566,1211,4
"Q170D7"," ","AAEL007959",5569850,"protein_coding","Aedes aegypti LVP_AGWG","2",351.491086,"",37.94,1,11574,912,2609,690,1007,2
"A0A1S4G0T1"," ","AAEL013941",5578961,"protein_coding","Aedes aegypti LVP_AGWG","2",352.202099,"p19 protein, putative",38.42,1,6621,333,1463,38,364,3
"J9HTV7"," ","AAEL017419",23687839,"protein_coding","Aedes aegypti LVP_AGWG","2",355.426868,"",38.36,2,13870,474,5242,160,4447,3
"Q16TD8"," ","AAEL010262",5573079,"protein_coding","Aedes aegypti LVP_AGWG","2",359.367449,"",37.02,3,140400,653,3001,282,1784,7
"A0A0P6IW15"," ","AAEL000324",5575168,"protein_coding","Aedes aegypti LVP_AGWG","2",368.290151,"tyrosine-protein kinase drl",37.67,1,363394,1638,3910,674,1598,6
"A0A1S4EY60"," ","AAEL001237",5569437,"protein_coding","Aedes aegypti LVP_AGWG","2",373.200708,"",38.04,1,12641,1473,1896,119,304,4
"A0A1S4F022"," ","AAEL001819",5572431,"protein_coding","Aedes aegypti LVP_AGWG","2",374.501544,"",37.56,2,71780,952,2464,387,1043,6
"A0A1S4EZV1"," ","AAEL001818",5572449,"protein_coding","Aedes aegypti LVP_AGWG","2",375.286038,"",37.44,2,19099,1410,2322,284,498,6
"Q17K22"," ","AAEL001798",5572463,"protein_coding","Aedes aegypti LVP_AGWG","2",376.230807,"protein tyrosine phosphatase prl",37.27,4,197343,540,10692,631,7281,8
"A0A1S4EZX0"," ","AAEL001832",5572466,"protein_coding","Aedes aegypti LVP_AGWG","2",376.830767,"",37.7,1,121147,1479,4881,2065,1337,5
"Q17C29"," ","AAEL004715",5565301,"protein_coding","Aedes aegypti LVP_AGWG","2",378.085734,"b-cell translocation protein",40.66,1,12704,807,12704,892,11005,1
"A0A1S4F8Q2"," ","AAEL004717",5565309,"protein_coding","Aedes aegypti LVP_AGWG","2",378.651137,"cyclin-dependent kinase 5 activator",37.18,1,114890,1491,7475,1198,4786,4
"A0A1S4FB77"," ","AAEL005655",5566808,"protein_coding","Aedes aegypti LVP_AGWG","2",382.036031,"sorting nexin",37.39,1,18542,1350,3136,376,1410,5
"Q16NR7"," ","AAEL011890",5575504,"protein_coding","Aedes aegypti LVP_AGWG","2",396.104484,"",36.82,2,49202,370,1316,720,226,3
"Q16JQ4"," ","AAEL013252",5577537,"protein_coding","Aedes aegypti LVP_AGWG","2",399.774366,"",36.19,3,16319,680,2117,143,1224,5
"A0A1S4EWB0"," ","AAEL000597",5564848,"protein_coding","Aedes aegypti LVP_AGWG","2",408.01592,"cadherin",38.32,1,151063,5154,9513,816,3543,12
"Q0IFA2"," ","AAEL006399",5567954,"protein_coding","Aedes aegypti LVP_AGWG","2",415.265773,"tektin, putative",45.67,1,1997,1290,1884,187,407,3
"A0A1S4FPI0"," ","AAEL010041",5572773,"protein_coding","Aedes aegypti LVP_AGWG","2",416.877303,"SH2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4FPI0]",38.37,5,170235,905,2318,220,936,4
"A0A0P6K0V3"," ","AAEL012057",5575748,"protein_coding","Aedes aegypti LVP_AGWG","2",422.935035,"enhancer of polycomb",40.27,3,25214,5327,7322,458,1287,10
"Q17JF6"," ","AAEL001959",5573190,"protein_coding","Aedes aegypti LVP_AGWG","2",426.666151,"",35.59,1,18451,474,1870,648,748,2
"Q17J05"," ","AAEL002220",5573892,"protein_coding","Aedes aegypti LVP_AGWG","2",427.803982,"",35.79,1,237745,660,3072,425,1137,7
"Q17IU2"," ","AAEL002219",5573953,"protein_coding","Aedes aegypti LVP_AGWG","2",430.716265,"zinc finger protein, putative",44.59,1,13844,810,1884,562,512,2
"Q170B1"," ","AAEL022218",110677085,"protein_coding","Aedes aegypti LVP_AGWG","2",431.566134,"",39.56,1,1671,975,1232,107,150,4
"A0A0P6J3W5"," ","AAEL026701",110677086,"protein_coding","Aedes aegypti LVP_AGWG","2",431.574564,"",38.56,1,4129,1065,1382,117,200,4
"Q170B1"," ","AAEL024367",110677089,"protein_coding","Aedes aegypti LVP_AGWG","2",431.661018,"",38.27,4,9729,1774,2121,86,175,7
"Q170B1"," ","AAEL023057",110677094,"protein_coding","Aedes aegypti LVP_AGWG","2",431.774808,"",36.08,2,9239,2841,3374,89,435,8
"Q170B1"," ","AAEL028026",110677093,"protein_coding","Aedes aegypti LVP_AGWG","2",431.788547,"",36.35,1,11298,2847,3096,100,48,9
"A0A0P6J0U9"," ","AAEL005731",5566982,"protein_coding","Aedes aegypti LVP_AGWG","2",437.382675,"forkhead box protein (AaegFOXL)",36.36,4,67916,1092,2615,808,715,10
"Q176B9"," ","AAEL006447",5568000,"protein_coding","Aedes aegypti LVP_AGWG","2",437.675155,"GATA transcription factor (GATAb)",36.96,2,899140,2898,10984,766,6554,9
"A0A1S4FJZ7"," ","AAEL008622",5570856,"protein_coding","Aedes aegypti LVP_AGWG","2",454.844047,"jnk",37.11,1,25121,1140,2045,388,517,4
"A0A1S4EWJ6"," ","AAEL000682",5565916,"protein_coding","Aedes aegypti LVP_AGWG","2",458.644182,"",38.62,1,74904,4071,6189,356,1762,7
"Q17NG8"," ","AAEL000703",5565921,"protein_coding","Aedes aegypti LVP_AGWG","2",458.822549,"glycogen phosphorylase",36.78,1,22808,2538,3519,252,729,5
"A0A1S4F4K6"," ","AAEL003355",5577909,"protein_coding","Aedes aegypti LVP_AGWG","2",461.372408,"",36.97,1,13387,1266,4750,171,3313,2
"Q175M4"," ","AAEL019914",5568178,"protein_coding","Aedes aegypti LVP_AGWG","2",462.96506,"",36.62,6,62434,1660,2292,302,146,4
"Q175K5"," ","AAEL006619",5568195,"protein_coding","Aedes aegypti LVP_AGWG","2",464.185774,"",37.7,3,228362,372,3587,334,2115,6
"A0A1S4F2H1"," ","AAEL002690",5575663,"protein_coding","Aedes aegypti LVP_AGWG","2",465.931195,"beat protein",38.42,1,63940,957,3536,1437,1142,6
"Q1HRI9"," ","AAEL004457",5564878,"protein_coding","Aedes aegypti LVP_AGWG","2",473.309856,"cytochrome c",34.9,2,6232,327,1168,81,679,2
"A0A1S4FJ71"," ","AAEL008248",5570313,"protein_coding","Aedes aegypti LVP_AGWG","3",6.283021,"Eukaryotic translation initiation factor 2A [Source:UniProtKB/TrEMBL;Acc:A0A1S4FJ71]",37.17,1,22829,1896,2462,132,434,3
"Q16W03"," ","AAEL009377",5571900,"protein_coding","Aedes aegypti LVP_AGWG","3",8.606399,"rap1 and",38.74,2,116905,555,4333,484,2843,6
"A0A1S4G102"," ","AAEL013965",5579026,"protein_coding","Aedes aegypti LVP_AGWG","3",10.582255,"",40.85,1,24168,1260,2561,423,878,5
"A0A1S4FPJ9"," ","AAEL010061",5572837,"protein_coding","Aedes aegypti LVP_AGWG","3",10.78131,"",37.5,4,335282,5150,7712,333,1630,13
"Q17NT7"," DNR1","AAEL000590",5564297,"protein_coding","Aedes aegypti LVP_AGWG","3",12.367334,"Defense repressor 1",41.75,1,15192,1572,2749,612,565,4
"Q16UP5"," ","AAEL009838",5572509,"protein_coding","Aedes aegypti LVP_AGWG","3",18.984427,"glycogen debranching enzyme",39.51,2,36767,4620,5285,109,256,9
"Q16IF7"," ","AAEL009448",5571951,"protein_coding","Aedes aegypti LVP_AGWG","3",23.333349,"",46.64,1,1490,873,1490,115,502,1
"Q176W7"," ","AAEL006234",5567645,"protein_coding","Aedes aegypti LVP_AGWG","3",24.720228,"beta 1,3-galactosyltransferase",38.06,3,30670,1197,1671,198,206,3
"J9HYQ9"," ","AAEL017301",23687721,"protein_coding","Aedes aegypti LVP_AGWG","3",25.268919,"Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:J9HYQ9]",38.57,4,53371,1389,3062,124,1424,4
"A0A1S4FJQ9"," ","AAEL008528",5570773,"protein_coding","Aedes aegypti LVP_AGWG","3",29.416647,"protein tyrosine phosphatase n11 (shp2)",37.46,5,438185,2044,4253,453,1525,11
"A0A1S4FCG3"," ","AAEL006038",5567375,"protein_coding","Aedes aegypti LVP_AGWG","3",33.500634,"WD-repeat protein",38.54,2,88317,6579,7902,490,868,10
"Q16P14"," ","AAEL019974",5575394,"protein_coding","Aedes aegypti LVP_AGWG","3",36.373988,"",38.36,4,245377,1626,5850,1154,1283,8
"Q16P14"," ","AAEL019973",110677653,"protein_coding","Aedes aegypti LVP_AGWG","3",36.375,"",53.1,1,2256,1257,1257,NA,NA,4
"A0A0N8ES75"," ","AAEL027188",110677856,"protein_coding","Aedes aegypti LVP_AGWG","3",36.877943,"",38.94,1,11222,5412,6242,106,619,3
"Q16VA1"," ","AAEL009630",5572215,"protein_coding","Aedes aegypti LVP_AGWG","3",36.91497,"high-affinity cgmp-specific 3,5-cyclic phosphodiesterase",37.9,6,781628,3928,7164,411,819,13
"Q17GJ0"," ","AAEL003001",5580266,"protein_coding","Aedes aegypti LVP_AGWG","3",38.814432,"WD-repeat protein",38.83,1,18063,1050,1613,142,280,5
"Q17GI1"," ","AAEL003013",5580276,"protein_coding","Aedes aegypti LVP_AGWG","3",39.925376,"dual specificity mitogen-activated protein kinase kinase 4 MAPKK4",38.84,1,15915,1176,3564,489,1899,5
"A0A0P6JSR3"," ","AAEL003014",5580311,"protein_coding","Aedes aegypti LVP_AGWG","3",40.092613,"",40.09,2,253180,2182,11740,1466,8092,8
"A0A1S4FJ89"," ","AAEL019683",5570551,"protein_coding","Aedes aegypti LVP_AGWG","3",40.89612,"",37.6,14,236792,4377,6711,347,924,12
"A0A0P6IVU8"," ","AAEL026946",110678647,"protein_coding","Aedes aegypti LVP_AGWG","3",42.247786,"",37.66,3,97533,4895,6284,215,1115,12
"Q16L96"," ","AAEL012723",5576696,"protein_coding","Aedes aegypti LVP_AGWG","3",42.363941,"mitogen activated protein kinase kinase 2, mapkk2, mek2",40.91,2,33167,1215,2244,134,761,4
"A0A1S4EYH1"," ","AAEL001340",5570072,"protein_coding","Aedes aegypti LVP_AGWG","3",47.902813,"",40.65,1,7617,2892,3147,71,184,3
"Q1HR99"," RpLP0","AAEL010821",5573974,"protein_coding","Aedes aegypti LVP_AGWG","3",52.048904,"60S ribosomal protein LP0",49.65,1,1869,948,1360,76,261,3
"A0A1S4EXK9"," ","AAEL001031",5579889,"protein_coding","Aedes aegypti LVP_AGWG","3",55.698748,"",47.16,1,1145,903,1089,53,133,2
"A0A0P6IU32"," ","AAEL027583",5567522,"protein_coding","Aedes aegypti LVP_AGWG","3",68.646326,"",37.26,3,39508,4508,5233,220,360,8
"A0A0P6ITT4"," ","AAEL019467",5565987,"protein_coding","Aedes aegypti LVP_AGWG","3",81.986788,"",37.97,12,774815,4680,6885,685,857,24
"A0A1S4F5Z6"," ","AAEL003875",5579188,"protein_coding","Aedes aegypti LVP_AGWG","3",85.282197,"transcription factor SP4, putative",43.09,4,20534,2794,4470,198,1348,7
"Q17D24"," ","AAEL004351",5564645,"protein_coding","Aedes aegypti LVP_AGWG","3",94.365278,"casein kinase",37.38,8,206014,1429,4890,175,3755,11
"A0A1S4EUV1"," ","AAEL000065",5563619,"protein_coding","Aedes aegypti LVP_AGWG","3",102.966624,"",38.27,3,13573,2013,2609,60,476,7
"Q0C7A8"," ","AAEL000053",5563572,"protein_coding","Aedes aegypti LVP_AGWG","3",105.687202,"myotubularin",39.88,1,27888,1722,3762,519,1521,3
"A0A0P6JS10"," ","AAEL025818",5563620,"protein_coding","Aedes aegypti LVP_AGWG","3",106.13076,"",37.57,6,187287,3066,5864,504,1790,8
"Q16PP6"," ","AAEL011563",5575014,"protein_coding","Aedes aegypti LVP_AGWG","3",106.964924,"",37.44,2,261259,3964,5340,205,760,13
"A0A0P6IZM4"," ","AAEL026837",5564863,"protein_coding","Aedes aegypti LVP_AGWG","3",110.72603,"",38.7,1,130822,1986,3559,705,868,7
"Q16M53"," ","AAEL019444",5576263,"protein_coding","Aedes aegypti LVP_AGWG","3",110.945613,"",38.15,6,429920,3978,9128,706,3458,14
"Q178U8"," ","AAEL005766",5567031,"protein_coding","Aedes aegypti LVP_AGWG","3",114.729536,"Fructose-bisphosphate aldolase [Source:UniProtKB/TrEMBL;Acc:Q178U8]",37.51,2,60819,1094,2025,92,748,5
"A0A0P6JSR0"," ","AAEL019566",5575304,"protein_coding","Aedes aegypti LVP_AGWG","3",121.455946,"",38.12,7,190676,1954,4482,566,1306,10
"Q172K9"," ","AAEL007353",5569092,"protein_coding","Aedes aegypti LVP_AGWG","3",123.120922,"cullin",37.96,1,27045,2334,3144,260,289,7
"Q16KH2"," ","AAEL025353",5577087,"protein_coding","Aedes aegypti LVP_AGWG","3",123.461848,"",37.68,2,392448,4818,7492,946,430,18
"Q16XQ1"," ","AAEL026276",5571073,"protein_coding","Aedes aegypti LVP_AGWG","3",132.781827,"",37.02,4,155206,1682,2573,160,520,8
"Q16WU5"," ","AAEL009092",5571461,"protein_coding","Aedes aegypti LVP_AGWG","3",135.389992,"longevity assurance factor 1 (lag1)",37.05,1,53857,1164,3734,639,1931,5
"Q16XY9"," ","AAEL005922",5567274,"protein_coding","Aedes aegypti LVP_AGWG","3",138.020804,"",35.28,5,20007,1513,2408,53,791,4
"A0A0P6IW43"," ","AAEL025460",5567254,"protein_coding","Aedes aegypti LVP_AGWG","3",138.444756,"",38.17,4,35409,4167,4686,148,222,9
"A0A0P6K0T2"," ","AAEL027560",110678287,"protein_coding","Aedes aegypti LVP_AGWG","3",138.563112,"",36.93,1,11204,1179,3311,238,1894,2
"Q174F7"," ","AAEL006912",5568498,"protein_coding","Aedes aegypti LVP_AGWG","3",143.10196,"acetyl-coa acetyltransferase 2,",41.96,2,7243,1185,1658,110,254,5
"Q17CG1"," ","AAEL021657",110678446,"protein_coding","Aedes aegypti LVP_AGWG","3",144.20693,"",43.47,1,1164,813,1107,120,54,2
"Q17H75"," ","AAEL002761",5575995,"protein_coding","Aedes aegypti LVP_AGWG","3",144.994356,"tropomyosin invertebrate",37.89,40,122325,1678,2657,199,726,8
"Q16NB0"," ","AAEL012031",5575720,"protein_coding","Aedes aegypti LVP_AGWG","3",147.157238,"",36.48,1,31769,3150,3903,340,413,5
"A0A1S4G7M9"," ","AAEL018124",5579942,"protein_coding","Aedes aegypti LVP_AGWG","3",169.435889,"",35.54,5,19827,2240,3290,191,713,4
"A0A0P6IXL7"," ","AAEL019732",5579940,"protein_coding","Aedes aegypti LVP_AGWG","3",169.480204,"",37.81,14,67258,5815,7446,442,404,8
"Q173U8"," ","AAEL007019",5568659,"protein_coding","Aedes aegypti LVP_AGWG","3",171.020117,"Phosphate transporter [Source:UniProtKB/TrEMBL;Acc:Q173U8]",38.54,2,104900,2079,5892,865,2083,7
"Q0IFC5"," ","AAEL005895",5567168,"protein_coding","Aedes aegypti LVP_AGWG","3",174.932735,"",38.33,8,319312,2469,6294,661,3052,11
"Q16WM1"," ","AAEL026147",5571592,"protein_coding","Aedes aegypti LVP_AGWG","3",175.333465,"",38.12,1,646439,6447,9240,702,1389,20
"Q17F44"," ","AAEL003564",5578555,"protein_coding","Aedes aegypti LVP_AGWG","3",181.448359,"threonine dehydratase/deaminase",38.66,4,78163,1404,1609,29,147,9
"A0A1S4EVT9"," ","AAEL000431",5577345,"protein_coding","Aedes aegypti LVP_AGWG","3",184.281817,"SRR1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4EVT9]",47.51,1,1223,849,1104,NA,255,2
"A0A0P6K128"," ","AAEL000424",5577354,"protein_coding","Aedes aegypti LVP_AGWG","3",185.208535,"leucine aminopeptidase",37.41,3,75853,1901,2486,134,288,4
"Q16XY9"," ","AAEL008722",5570991,"protein_coding","Aedes aegypti LVP_AGWG","3",189.766887,"",41.11,1,6432,2937,6432,572,2923,1
"Q16M45"," ","AAEL007151",5568854,"protein_coding","Aedes aegypti LVP_AGWG","3",190.908317,"paramyosin, putative",36.24,12,141239,4376,4904,205,198,14
"A0A1S4FU22"," ","AAEL011598",5575047,"protein_coding","Aedes aegypti LVP_AGWG","3",192.307503,"Gustatory receptor [Source:UniProtKB/TrEMBL;Acc:A0A1S4FU22]",38.97,1,14391,1143,2992,395,1454,5
"Q17CP4"," ","AAEL004478",5564889,"protein_coding","Aedes aegypti LVP_AGWG","3",211.801973,"",38.69,1,430098,1317,4672,436,1611,8
"A0A1S4FJ89"," ","AAEL004460",5564874,"protein_coding","Aedes aegypti LVP_AGWG","3",212.308301,"sulfatase",39.5,2,20129,1194,1814,186,63,8
"A0A1S4FBT4"," HR4","AAEL005850",5579849,"protein_coding","Aedes aegypti LVP_AGWG","3",218.937266,"Hormone receptor-like in 4 (nuclear receptor)",38.02,4,517480,3796,7126,780,1767,10
"Q17FC6"," ","AAEL024112",5578183,"protein_coding","Aedes aegypti LVP_AGWG","3",220.777819,"",39.21,1,241769,2859,4543,871,813,8
"Q6ELZ6"," Act-4","AAEL001951",5572985,"protein_coding","Aedes aegypti LVP_AGWG","3",227.584945,"actin",42.16,2,3679,1131,1935,130,543,3
"Q0PHP0"," ","AAEL002851",5576244,"protein_coding","Aedes aegypti LVP_AGWG","3",233.420405,"Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q17GX9]",41.56,1,17895,1344,2075,269,462,2
"A0A411JKA7"," GPRALS3","AAEL012920",5577003,"protein_coding","Aedes aegypti LVP_AGWG","3",236.31755,"GPCR Galanin/Allatostatin Family",38.26,2,234684,1380,3249,634,312,2
"A0A1S4FER6"," ","AAEL019704",5568380,"protein_coding","Aedes aegypti LVP_AGWG","3",240.198651,"",38.54,1,120993,1962,5309,660,1367,3
"Q17HP2"," ","AAEL026381",5575335,"protein_coding","Aedes aegypti LVP_AGWG","3",256.883028,"",36.45,6,88659,3552,5701,253,1643,8
"Q17HP2"," ","AAEL025641",110678160,"protein_coding","Aedes aegypti LVP_AGWG","3",256.970223,"",49.52,1,1044,1044,1044,NA,NA,1
"A0A1S4EVD4"," ","AAEL000276",5573755,"protein_coding","Aedes aegypti LVP_AGWG","3",264.9193,"",38.63,5,62970,4523,5538,558,456,7
"Q17E44"," ","AAEL003953",5579800,"protein_coding","Aedes aegypti LVP_AGWG","3",267.775188,"map/microtubule affinity-regulating kinase 2,4",38.25,28,356247,3286,8042,633,3389,17
"J9HG16"," Or52","AAEL013507",5578075,"protein_coding","Aedes aegypti LVP_AGWG","3",272.950081,"odorant receptor (Or52)",40.63,1,3131,1266,3070,130,1674,2
"A0A1S4FX71"," ","AAEL012640",5565029,"protein_coding","Aedes aegypti LVP_AGWG","3",284.068351,"",38.86,4,142784,1641,3094,1034,418,5
"Q16K77"," ","AAEL021092",5574293,"protein_coding","Aedes aegypti LVP_AGWG","3",294.497788,"",38.16,9,77825,1929,5575,744,2157,9
"A0A1S4G0Z6"," ","AAEL014258",5563757,"protein_coding","Aedes aegypti LVP_AGWG","3",295.171174,"monocarboxylate transporter",37.28,1,101204,2613,3898,893,392,10
"A0A1S4F5I3"," ","AAEL003619",5578665,"protein_coding","Aedes aegypti LVP_AGWG","3",301.265516,"sodium/chloride dependent amino acid transporter",39.71,1,47567,1884,2258,161,213,6
"Q16H46"," ","AAEL008149",5570178,"protein_coding","Aedes aegypti LVP_AGWG","3",302.159983,"",43.9,1,549,192,487,22,273,2
"A0A0P6K0W0"," ","AAEL023488",5572713,"protein_coding","Aedes aegypti LVP_AGWG","3",302.813289,"",37.83,5,471505,3806,6213,719,969,9
"Q16ND4"," ","AAEL019794",5575690,"protein_coding","Aedes aegypti LVP_AGWG","3",308.489742,"",37.88,3,110223,1458,4539,252,2541,7
"A0A1S4FNR6"," ","AAEL009786",5572402,"protein_coding","Aedes aegypti LVP_AGWG","3",319.649727,"",40.35,1,15721,1401,2437,294,742,2
"Q16VS2"," ","AAEL009451",5571971,"protein_coding","Aedes aegypti LVP_AGWG","3",321.271085,"actin",43.43,1,3380,1131,1963,100,632,3
"Q16S36"," ","AAEL010716",5573790,"protein_coding","Aedes aegypti LVP_AGWG","3",327.816869,"preprotein translocase secy subunit (sec61)",38.7,1,8506,1431,2236,306,499,3
"Q17MT6"," ARK","AAEL000874",5567237,"protein_coding","Aedes aegypti LVP_AGWG","3",332.306079,"Apaf-1 Related Killer",36.91,5,108006,3958,5264,254,771,6
"Q17MX1"," ","AAEL019837",5567198,"protein_coding","Aedes aegypti LVP_AGWG","3",334.558059,"",37.92,6,506699,2913,6405,863,902,20
"Q17N01"," ","AAEL000860",5567249,"protein_coding","Aedes aegypti LVP_AGWG","3",335.611134,"",37.3,4,340182,1545,6420,255,2520,12
"Q16NP6"," ","AAEL011910",5575534,"protein_coding","Aedes aegypti LVP_AGWG","3",337.703971,"",38.41,3,89497,4884,8403,431,2383,3
"A0A1S4FM75"," ","AAEL009400",5571904,"protein_coding","Aedes aegypti LVP_AGWG","3",338.044767,"ccr4-associated factor",35.75,3,34142,1169,2348,127,753,4
"A0A0P6IY86"," ","AAEL018700",5577744,"protein_coding","Aedes aegypti LVP_AGWG","3",339.82225,"",37.69,9,307496,4057,6657,364,1762,15
"A0A1S4F9Z0"," ","AAEL005147",5566047,"protein_coding","Aedes aegypti LVP_AGWG","3",345.618232,"",38.26,4,69560,1664,3883,447,1686,5
"Q16KR1"," ","AAEL005131",5566057,"protein_coding","Aedes aegypti LVP_AGWG","3",346.445737,"protein kinase c-binding protein nell1",37.56,4,323579,3018,8783,2452,3313,14
"A0A1S4F4I9"," ","AAEL003407",5578107,"protein_coding","Aedes aegypti LVP_AGWG","3",349.346815,"",37.51,5,266309,852,4800,373,2958,8
"Q171Z5"," ","AAEL019530",5568519,"protein_coding","Aedes aegypti LVP_AGWG","3",361.436236,"",37.55,5,492113,2510,4336,480,679,7
"Q17N19"," OBP6","AAEL000821",5566873,"protein_coding","Aedes aegypti LVP_AGWG","3",362.773302,"odorant binding protein OBP6",37.64,2,326698,2175,3480,38,634,4
"Q17N40"," ","AAEL000805",5566852,"protein_coding","Aedes aegypti LVP_AGWG","3",363.951503,"",39.74,2,44321,1272,3501,375,889,4
"Q16PG7"," ","AAEL011648",5575093,"protein_coding","Aedes aegypti LVP_AGWG","3",368.833148,"cyclin d",44.15,1,17534,954,2989,563,1472,4
"A0A0P6IX28"," ","AAEL006876",5568453,"protein_coding","Aedes aegypti LVP_AGWG","3",369.887446,"igf2 mRNA binding protein, putative",37.33,5,333942,1655,10637,262,8663,7
"A0A1S4F1C1"," ","AAEL002308",5574190,"protein_coding","Aedes aegypti LVP_AGWG","3",374.487709,"butyrate response factor 1 (TIS11B protein)",37.58,5,118133,1581,7621,518,5233,4
"Q17MM4"," ","AAEL000951",5567491,"protein_coding","Aedes aegypti LVP_AGWG","3",376.987786,"elongation factor 1-beta2",43.46,1,1514,675,958,130,153,2
"A0A0P6IUU0"," ","AAEL007876",5569737,"protein_coding","Aedes aegypti LVP_AGWG","3",381.616266,"tyrosine protein kinase with ig domain",37.48,2,269493,3310,4868,284,989,13
"Q170K4"," ","AAEL022979",5569740,"protein_coding","Aedes aegypti LVP_AGWG","3",382.019494,"",37.75,16,159251,4729,6693,236,2402,16
"Q179X5"," ","AAEL005463",5566546,"protein_coding","Aedes aegypti LVP_AGWG","3",382.539948,"calbindin-32",37.06,8,302845,970,2268,123,404,16
"Q17NJ1"," TOLL8","AAEL000633",5565427,"protein_coding","Aedes aegypti LVP_AGWG","3",392.137064,"Toll-like receptor",47.8,1,7224,4032,7224,953,2239,1
"Q17NM9"," ","AAEL000649",5565417,"protein_coding","Aedes aegypti LVP_AGWG","3",395.645367,"",37.44,7,56539,1128,1917,149,372,6
"A0A0N8ERY6"," ","AAEL027318",110679609,"protein_coding","Aedes aegypti LVP_AGWG","3",395.754693,"",38.42,7,47295,5826,7919,290,1468,8
"Q17DM4"," ","AAEL004088",5564133,"protein_coding","Aedes aegypti LVP_AGWG","3",401.671718,"aldo-keto reductase",37.61,3,6858,956,1418,119,143,6
"A0A1S4FAZ9"," ","AAEL005581",5566685,"protein_coding","Aedes aegypti LVP_AGWG","3",405.214463,"norepinephrine/norepinephrine transporter",39.6,1,114422,2043,3993,320,1309,8
"A0A1S4EXX0"," ","AAEL001104",5568593,"protein_coding","Aedes aegypti LVP_AGWG","3",406.816017,"",41.15,2,35416,1210,2123,468,445,4
"A0A1S4EXU7"," ","AAEL001116",5568594,"protein_coding","Aedes aegypti LVP_AGWG","3",406.869836,"",40.19,1,5835,969,5657,1026,3662,3
"A0A1S4FPW1"," ","AAEL010308",5573208,"protein_coding","Aedes aegypti LVP_AGWG","3",409.235134,"",36.45,2,19833,3780,5259,630,848,4
"A0A1S4FU22"," ","AAEL027784",110680332,"protein_coding","Aedes aegypti LVP_AGWG","NIGP01000223",0.002659,"Gustatory receptor [Source:UniProtKB/TrEMBL;Acc:A0A1S4FU22]",38.71,1,13696,1143,2298,395,760,5
"Q171K9"," ","AAEL022968",110680927,"protein_coding","Aedes aegypti LVP_AGWG","NIGP01001165",0.008658,"",44.15,1,496,555,637,NA,52,1
"A0A1S4FNX0"," ","AAEL009987",5572710,"protein_coding","Aedes aegypti LVP_AGWG","NIGP01000650",0.011038,"",39.54,2,28412,1410,2068,95,234,6
"A0A1S4F488"," ","AAEL003290",5577738,"protein_coding","Aedes aegypti LVP_AGWG","NIGP01001936",0.012802,"cell wall protein DAN4 precursor, putative",47.21,1,1093,795,1093,1,297,1
"A0A1S4F261",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A1S4F3D7",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A1S4F7N3",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A1S4FC61",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A1S4FEP4",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A1S4FGD6",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
