"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"A0A023EHR3"," RP20_CCG001576","AALF001576",109404945,"protein_coding","Aedes albopictus","JXUM01S001125",0.017016,"pre-mRNA cleavage factor im, 25kD subunit [Source:Projected from Aedes aegypti (AAEL001371) VB Community Annotation]",38.83,1,3989,693,1317,228,396,5
"A0A182GPT7"," CCG013595.1","AALF013595",NA,"protein_coding","Aedes albopictus","JXUM01S003010",0.01728,"",39.77,1,10613,345,605,114,146,2
"A0A182GVE2"," CCG016419.1","AALF016419",NA,"protein_coding","Aedes albopictus","JXUM01S003766",0.01742,"",50.65,1,689,237,689,135,317,1
"A0A023EJE2"," RP20_CCG021582","AALF021582",NA,"protein_coding","Aedes albopictus","JXUM01S000625",0.017449,"",45.16,1,1734,936,1734,99,699,1
"A0A182HC27"," RP20_CCG026317","AALF026317",NA,"protein_coding","Aedes albopictus","JXUM01S006951",0.017508,"trithorax protein ash2 [Source:Projected from Aedes aegypti (AAEL003771) VB Community Annotation]",40.26,1,18543,1590,9864,111,8163,5
"A0A182GLV4"," CCG012161.1","AALF012161",NA,"protein_coding","Aedes albopictus","JXUM01S002660",0.017645,"",41.11,1,22565,2877,11696,6349,2470,6
"A0A182H4Y9"," CCG021809.1","AALF021809",NA,"protein_coding","Aedes albopictus","JXUM01S005331",0.018141,"serine/threonine protein kinase [Source:Projected from Aedes aegypti (AAEL000217) VB Community Annotation]",40.58,1,53614,2883,30475,26871,721,13
"A0A023EQY6"," RP20_CCG005310.2","AALF005310",NA,"protein_coding","Aedes albopictus","JXUM01S000187",0.018265,"Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A182GE93]",41.29,1,31894,4179,5113,789,145,6
"A0A182GBK3"," CCG007000.1","AALF007000",NA,"protein_coding","Aedes albopictus","JXUM01S001650",0.01836,"",40.43,1,25428,1227,2755,645,883,6
"A0A182G179"," CCG000519.1","AALF000519",NA,"protein_coding","Aedes albopictus","JXUM01S001049",0.018472,"",41.86,1,700,333,700,166,201,1
"A0A023EVH6"," CCG021652.1","AALF021652",NA,"protein_coding","Aedes albopictus","JXUM01S000066",0.018568,"",49.46,1,831,597,831,128,106,1
"A0A182H845"," CCG023790.1","AALF023790",NA,"protein_coding","Aedes albopictus","JXUM01S006008",0.018714,"",40.24,1,23703,1716,23208,188,21304,4
"A0A182G948"," RP20_CCG005538","AALF005538",NA,"protein_coding","Aedes albopictus","JXUM01S011598",0.019043,"",50.08,1,633,315,568,62,191,2
"A0A182H3K3"," CCG020979.1","AALF020979",109408464,"protein_coding","Aedes albopictus","JXUM01S005051",0.019047,"U2 snRNP auxiliary factor large subunit [Source:UniProtKB/TrEMBL;Acc:A0A182H3K3]",40.65,1,13061,1260,2074,154,660,6
"A0A182G5Y8"," RP20_CCG003693","AALF003693",NA,"protein_coding","Aedes albopictus","JXUM01S001292",0.019261,"protein phosphatase-5 [Source:Projected from Aedes aegypti (AAEL005080) VB Community Annotation]",38.77,1,35562,1179,35225,1093,32953,6
"A0A182GRR4"," RP20_CCG014586","AALF014586",NA,"protein_coding","Aedes albopictus","JXUM01S003258",0.019414,"calcium/calmodulin-dependent serine protein kinase membrane-associated guanylate kinase (cask) [Source:Projected from Aedes aegypti (AAEL009937) VB Community Annotation]",40.98,1,20549,1398,2902,790,714,7
"A0A182GTM6"," RP20_CCG015567","AALF015567",NA,"protein_coding","Aedes albopictus","JXUM01S003538",0.019421,"Cystathionine beta-synthase [Source:UniProtKB/TrEMBL;Acc:A0A182GTM6]",38.95,1,30005,1464,29822,27975,383,4
"A0A023EX49"," CCG000245.1","AALF000245",NA,"protein_coding","Aedes albopictus","JXUM01S008159",0.019464,"suppressor of actin (sac) [Source:Projected from Aedes aegypti (AAEL007660) VB Community Annotation]",50.87,1,2583,1785,2160,171,204,6
"A0A182GZ82"," RP20_CCG018534","AALF018534",NA,"protein_coding","Aedes albopictus","JXUM01S004363",0.019512,"",50.11,1,942,384,942,269,289,1
"A0A182G3R8"," CCG002289.1","AALF002289",NA,"protein_coding","Aedes albopictus","JXUM01S009253",0.019553,"",44.7,1,11977,2088,4100,12,2000,7
"A0A182H812"," CCG023740.2","AALF023740",NA,"protein_coding","Aedes albopictus","JXUM01S005995",0.019872,"",38.41,1,37539,2448,3360,95,817,6
"A0A182HB25"," CCG025658.1","AALF025658",NA,"protein_coding","Aedes albopictus","JXUM01S006682",0.01992,"",45.78,1,6309,3606,6309,661,2042,1
"A0A023EY96"," CCG004387.1","AALF004387",NA,"protein_coding","Aedes albopictus","JXUM01S010692",0.019986,"importin beta-4 [Source:Projected from Aedes aegypti (AAEL010698) VB Community Annotation]",42.07,1,7556,3108,3982,279,595,5
"A0A182G2A3"," RP20_CCG001269","AALF001269",NA,"protein_coding","Aedes albopictus","JXUM01S008683",0.020299,"",40.28,1,21179,1341,8017,741,5935,3
"A0A182GFX2"," CCG009226.1","AALF009226",NA,"protein_coding","Aedes albopictus","JXUM01S002015",0.020315,"",40.26,1,45223,2874,21237,16959,1404,8
"A0A182H922"," CCG024430.1","AALF024430",NA,"protein_coding","Aedes albopictus","JXUM01S006224",0.020654,"",37.79,1,73716,402,50226,42816,7008,3
"A0A023EHR1"," RP20_CCG011532","AALF011532",109622449,"protein_coding","Aedes albopictus","JXUM01S002485",0.020855,"",43.97,1,9192,591,9192,95,8506,1
"A0A182GBT2"," RP20_CCG007128","AALF007128",NA,"protein_coding","Aedes albopictus","JXUM01S001676",0.020962,"",42.32,1,55965,2919,15404,12006,479,7
"A0A023EWS1"," RP20_CCG000855","AALF000855",NA,"protein_coding","Aedes albopictus","JXUM01S001084",0.021411,"Phospholipid-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:A0A182G1N5]",43.51,1,14272,2979,5536,815,1742,8
"A0A023EKJ7"," RP20_CCG003712","AALF003712",109432996,"protein_coding","Aedes albopictus","JXUM01S000140",0.021859,"",40.67,1,22638,828,22503,20948,727,3
"A0A182H0G0"," RP20_CCG019204","AALF019204",NA,"protein_coding","Aedes albopictus","JXUM01S004533",0.022109,"",48.3,1,824,165,824,265,394,1
"A0A182GJE9"," RP20_CCG010977","AALF010977",NA,"protein_coding","Aedes albopictus","JXUM01S000263",0.022343,"",42.82,1,14315,300,1734,623,811,2
"A0A182G3Q9"," CCG002273.1","AALF002273",NA,"protein_coding","Aedes albopictus","JXUM01S001178",0.022695,"",47.44,1,2342,1311,2342,120,911,1
"A0A023EH84"," CCG003410.1","AALF003410",NA,"protein_coding","Aedes albopictus","JXUM01S010000",0.02282,"Putative secreted protein [Source:UniProtKB/TrEMBL;Acc:A0A023EJQ3]",41.4,1,2978,639,1812,272,901,3
"A0A182HC76"," RP20_CCG026400.2","AALF026400",NA,"protein_coding","Aedes albopictus","JXUM01S007000",0.022897,"calpain 4, 6, 7, invertebrate [Source:Projected from Aedes aegypti lvpagwg (AAEL003963) VB Community Annotation]",39.4,1,11660,1698,3022,214,1110,2
"A0A182G2M7"," CCG001521.1","AALF001521",NA,"protein_coding","Aedes albopictus","JXUM01S008835",0.022904,"",46.04,1,1047,474,1047,145,428,1
"A0A182G944"," RP20_CCG005533","AALF005533",NA,"protein_coding","Aedes albopictus","JXUM01S001489",0.023283,"",41.1,1,78807,2412,40629,36449,1768,8
"A0A182G7R5"," RP20_CCG004770","AALF004770",NA,"protein_coding","Aedes albopictus","JXUM01S010962",0.023393,"",45.57,1,779,513,779,21,245,1
"A0A1W7R677"," CCG027228.2","AALF027228",NA,"protein_coding","Aedes albopictus","JXUM01S007384",0.02342,"",45.39,1,1324,1143,1324,154,27,1
"A0A023EUS3"," RP20_CCG014779","AALF014779",NA,"protein_coding","Aedes albopictus","JXUM01S003308",0.023452,"zinc finger protein [Source:Projected from Aedes aegypti (AAEL013028) VB Community Annotation]",37.25,1,46006,1422,4131,503,2206,8
"A0A023EV39"," RP20_CCG012513","AALF012513",NA,"protein_coding","Aedes albopictus","JXUM01S002744",0.023755,"5-aminolevulinate synthase [Source:UniProtKB/TrEMBL;Acc:A0A182GMH5]",38.87,1,30857,1716,30616,28567,333,2
"A0A182HFD9"," CCG028516.1","AALF028516",NA,"protein_coding","Aedes albopictus","JXUM01S001009",0.023874,"",44.22,1,4796,1560,4796,919,2317,1
"A0A182GM48"," CCG012306.1","AALF012306",NA,"protein_coding","Aedes albopictus","JXUM01S002697",0.023918,"",44.78,1,393,189,393,22,182,1
"A0A182GXE6"," CCG017552.1","AALF017552",NA,"protein_coding","Aedes albopictus","JXUM01S004081",0.025053,"Transporter [Source:UniProtKB/TrEMBL;Acc:A0A182GXE6]",37.81,1,39462,906,4965,192,3867,6
"A0A182G1W4"," RP20_CCG001034","AALF001034",NA,"protein_coding","Aedes albopictus","JXUM01S008581",0.025544,"Transcription elongation factor SPT5 [Source:UniProtKB/TrEMBL;Acc:A0A182G1W4]",45.88,1,11103,3267,11103,156,7680,1
"A0A182G6N6"," CCG004132.1","AALF004132",NA,"protein_coding","Aedes albopictus","JXUM01S001342",0.025774,"development and differentiation-enhancing factor, ddef [Source:Projected from Aedes aegypti (AAEL003487) VB Community Annotation]",41.51,1,39596,3498,5895,18,2379,14
"A0A023EN97"," RP20_CCG001108","AALF001108",NA,"protein_coding","Aedes albopictus","JXUM01S008598",0.026247,"",43.02,1,8482,3054,8482,787,4641,1
"A0A182H2V6"," CCG020574.1","AALF020574",NA,"protein_coding","Aedes albopictus","JXUM01S004923",0.026286,"",42.82,1,60630,417,31885,12794,18674,3
"A0A023EX39"," CCG007988.1","AALF007988",NA,"protein_coding","Aedes albopictus","JXUM01S001794",0.026947,"",42.31,1,80263,4077,46271,25563,16631,5
"A0A182G7M8"," CCG004716.1","AALF004716",NA,"protein_coding","Aedes albopictus","JXUM01S010922",0.027103,"",49.31,1,1087,708,1087,11,368,1
"A0A182GWG4"," CCG017036.1","AALF017036",NA,"protein_coding","Aedes albopictus","JXUM01S003936",0.027206,"",50.93,1,1667,1161,1667,133,373,1
"A0A182H5B1"," RP20_CCG022019","AALF022019",NA,"protein_coding","Aedes albopictus","JXUM01S000646",0.027867,"",50,1,1316,507,1251,437,307,2
"A0A182H0K9"," RP20_CCG019292","AALF019292",109400501,"protein_coding","Aedes albopictus","JXUM01S004552",0.027903,"",40.28,1,20390,903,3366,909,1554,3
"A0A182G158"," RP20_CCG000451","AALF000451",NA,"protein_coding","Aedes albopictus","JXUM01S008268",0.02814,"",49.59,1,6705,6420,6705,62,223,1
"A0A182HAT0"," RP20_CCG025481","AALF025481",NA,"protein_coding","Aedes albopictus","JXUM01S006614",0.028196,"",50.5,1,2095,1269,2038,212,557,2
"A0A182H6T8"," RP20_CCG022918","AALF022918",NA,"protein_coding","Aedes albopictus","JXUM01S000687",0.028293,"DNA topoisomerase type I [Source:Projected from Aedes aegypti (AAEL002551) VB Community Annotation]",43.4,1,15032,2241,5323,932,2150,6
"A0A182HDY6"," RP20_CCG027547","AALF027547",NA,"protein_coding","Aedes albopictus","JXUM01S007505",0.028294,"synaptotagmin [Source:Projected from Aedes aegypti (AAEL001167) VB Community Annotation]",37.77,1,25481,1542,2319,227,550,6
"A0A182HEP7"," CCG028050.1","AALF028050",NA,"protein_coding","Aedes albopictus","JXUM01S000974",0.028352,"",39.83,1,12293,207,11774,187,11380,2
"A0A023EIT4"," CCG027460.1","AALF027460",NA,"protein_coding","Aedes albopictus","JXUM01S007476",0.028364,"folate carrier protein [Source:Projected from Aedes aegypti (AAEL006879) VB Community Annotation]",43.18,1,14025,930,5231,375,3926,5
"A0A182GCI0"," CCG007520.1","AALF007520",NA,"protein_coding","Aedes albopictus","JXUM01S001715",0.028373,"srpk [Source:Projected from Aedes aegypti lvpagwg (AAEL008507) VB Community Annotation]",42.67,1,22321,1953,22321,706,19662,1
"A0A182GPC3"," RP20_CCG013386","AALF013386",NA,"protein_coding","Aedes albopictus","JXUM01S000328",0.028391,"",43.32,1,14946,162,1850,777,911,2
"A0A182HB86"," RP20_CCG025782","AALF025782",NA,"protein_coding","Aedes albopictus","JXUM01S006719",0.028525,"",47.76,1,18211,7209,14209,141,6859,5
"A0A182GIB7"," CCG010397.1","AALF010397",NA,"protein_coding","Aedes albopictus","JXUM01S002257",0.028541,"",46.19,1,565,276,565,27,262,1
"A0A182G3R0"," RP20_CCG002274","AALF002274",NA,"protein_coding","Aedes albopictus","JXUM01S001178",0.029098,"",38.89,1,4829,435,4755,3658,662,2
"A0A023EWQ8"," RP20_CCG022348","AALF022348",NA,"protein_coding","Aedes albopictus","JXUM01S000665",0.02936,"chromosome region maintenance protein 1/exportin [Source:Projected from Aedes aegypti (AAEL001484) VB Community Annotation]",39.59,1,32451,3162,29237,24187,1888,7
"A0A182HE06"," RP20_CCG018728","AALF018728",NA,"protein_coding","Aedes albopictus","JXUM01S000514",0.029624,"",42.78,1,35882,2769,2769,NA,NA,8
"A0A182H044"," RP20_CCG019046.2","AALF019046",NA,"protein_coding","Aedes albopictus","JXUM01S004491",0.029837,"prolyl endopeptidase (prolyl oligopeptidase) [Source:Projected from Aedes aegypti (AAEL009142) VB Community Annotation]",43.26,1,21570,2343,4554,355,1856,8
"A0A023ED66"," RP20_CCG004030","AALF004030",109400867,"protein_coding","Aedes albopictus","JXUM01S010387",0.030444,"60S ribosomal protein L36 [Source:UniProtKB/TrEMBL;Acc:A0A023ED66]",47.64,1,1058,342,763,309,112,2
"A0A182H691"," RP20_CCG022584","AALF022584",NA,"protein_coding","Aedes albopictus","JXUM01S005608",0.030659,"",45.43,1,1182,936,1182,139,107,1
"A0A182GIN1"," CCG010566.1","AALF010566",NA,"protein_coding","Aedes albopictus","JXUM01S002298",0.03084,"",48.68,1,1662,807,1553,118,628,2
"A0A182H373"," RP20_CCG020763","AALF020763",NA,"protein_coding","Aedes albopictus","JXUM01S004982",0.031061,"",46.14,1,2163,783,2163,552,828,1
"A0A023EWA4"," CCG012416.1","AALF012416",NA,"protein_coding","Aedes albopictus","JXUM01S002733",0.031294,"Coatomer subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A182GMC1]",46.73,1,14918,2637,3452,245,570,8
"A0A182H197"," CCG019709.1","AALF019709",NA,"protein_coding","Aedes albopictus","JXUM01S004655",0.031429,"endo beta n-acetylglucosaminidase [Source:Projected from Aedes aegypti (AAEL010527) VB Community Annotation]",41.09,1,17287,1812,2730,380,538,3
"A0A182H715"," RP20_CCG023105","AALF023105",NA,"protein_coding","Aedes albopictus","JXUM01S000696",0.031699,"",44.37,1,56242,2481,18387,40,15866,3
"A0A182G0N5"," RP20_CCG000101.2","AALF000101",NA,"protein_coding","Aedes albopictus","JXUM01S001032",0.032046,"",38.39,1,72031,2412,7129,66,4651,8
"A0A182G5D5"," CCG003330.1","AALF003330",NA,"protein_coding","Aedes albopictus","JXUM01S009939",0.032214,"",52.47,1,1435,702,1435,188,545,1
"A0A182HDC0"," RP20_CCG027114","AALF027114",NA,"protein_coding","Aedes albopictus","JXUM01S007349",0.033521,"",45.27,1,4964,1185,4964,2091,1688,1
"A0A182HDA0"," CCG027072.1","AALF027072",NA,"protein_coding","Aedes albopictus","JXUM01S007325",0.033728,"",42.26,1,2047,1332,2047,517,198,1
"A0A182G7J1"," CCG004658.1","AALF004658",NA,"protein_coding","Aedes albopictus","JXUM01S001429",0.033742,"",39.09,1,17258,567,1514,539,408,3
"A0A023EFB9"," RP20_CCG002728.2","AALF002728",NA,"protein_coding","Aedes albopictus","JXUM01S001222",0.03387,"Protein quiver [Source:UniProtKB/TrEMBL;Acc:A0A182G4H0]",35.85,1,13317,456,701,108,137,3
"A0A182HBC4"," RP20_CCG025853","AALF025853",NA,"protein_coding","Aedes albopictus","JXUM01S000836",0.034043,"",44.61,1,993,528,993,235,230,1
"A0A182H2D5"," RP20_CCG020336","AALF020336",NA,"protein_coding","Aedes albopictus","JXUM01S004840",0.034736,"",44.87,1,10939,2739,3483,495,249,6
"A0A023EUT3"," RP20_CCG016956","AALF016956",NA,"protein_coding","Aedes albopictus","JXUM01S003919",0.035217,"Sodium/hydrogen exchanger [Source:UniProtKB/TrEMBL;Acc:A0A182GWA7]",42.43,1,18707,2055,2876,242,579,3
"A0A182GX40"," CCG017397.1","AALF017397",NA,"protein_coding","Aedes albopictus","JXUM01S004042",0.035317,"WD-repeat protein [Source:Projected from Aedes aegypti (AAEL006552) VB Community Annotation]",41.16,1,37420,1878,37350,28370,7102,2
"A0A182H540"," RP20_CCG021891","AALF021891",NA,"protein_coding","Aedes albopictus","JXUM01S000650",0.035717,"forkhead protein/ forkhead protein domain [Source:Projected from Aedes aegypti (AAEL003163) VB Community Annotation]",46.75,1,5012,1314,5012,1364,2334,1
"A0A182G5F4"," RP20_CCG003366","AALF003366",NA,"protein_coding","Aedes albopictus","JXUM01S001267",0.035806,"",40,1,3840,2010,3840,1415,415,1
"A0A182HDQ7"," RP20_CCG027396","AALF027396",NA,"protein_coding","Aedes albopictus","JXUM01S007463",0.036017,"",35.05,1,19543,1218,1549,52,279,2
"A0A023ESH8"," RP20_CCG014657","AALF014657",NA,"protein_coding","Aedes albopictus","JXUM01S003275",0.03622,"",48.19,1,2297,1506,1968,323,139,6
"A0A182GL31"," RP20_CCG011766","AALF011766",NA,"protein_coding","Aedes albopictus","JXUM01S002543",0.036282,"",42.61,1,5769,2784,5769,393,2592,1
"A0A182G6W1"," CCG004255.1","AALF004255",109407248,"protein_coding","Aedes albopictus","JXUM01S001351",0.036511,"acyl-coa dehydrogenase [Source:Projected from Aedes aegypti (AAEL007555) VB Community Annotation]",48.35,1,2273,1269,2273,291,713,1
"A0A182GCI3"," CCG007527.2","AALF007527",NA,"protein_coding","Aedes albopictus","JXUM01S001710",0.03702,"",38.19,1,106408,3933,20521,144,16444,9
"A0A023EQG2"," CCG020002.2","AALF020002",NA,"protein_coding","Aedes albopictus","JXUM01S004743",0.037591,"signalosome subunit [Source:Projected from Aedes aegypti (AAEL014282) VB Community Annotation]",45.53,1,2460,1068,1655,140,447,3
"A0A182G573"," RP20_CCG003196","AALF003196",NA,"protein_coding","Aedes albopictus","JXUM01S001245",0.037915,"AMP dependent coa ligase [Source:Projected from Aedes aegypti (AAEL005062) VB Community Annotation]",40.17,1,17331,1659,1918,253,6,4
"A0A182GBY5"," RP20_CCG007211","AALF007211",NA,"protein_coding","Aedes albopictus","JXUM01S001682",0.038158,"",45.73,1,5362,2220,4986,377,2389,3
"A0A182GV72"," RP20_CCG016323","AALF016323",NA,"protein_coding","Aedes albopictus","JXUM01S003741",0.038397,"",39.65,1,74753,1326,65605,63093,1186,7
"A0A182HAG7"," CCG025297.1","AALF025297",NA,"protein_coding","Aedes albopictus","JXUM01S006530",0.038585,"",38.3,1,31496,1644,20856,3,19209,5
"A0A1W7R695"," RP20_CCG022500","AALF022500",NA,"protein_coding","Aedes albopictus","JXUM01S005578",0.039279,"",46.54,1,2024,1749,2024,121,154,1
"A0A182G352"," RP20_CCG001881","AALF001881",NA,"protein_coding","Aedes albopictus","JXUM01S009060",0.03949,"Kinesin-like protein [Source:UniProtKB/TrEMBL;Acc:A0A182G352]",49.89,1,4530,2610,4115,199,1306,4
"A0A182GSS4"," CCG015800.2","AALF015800",NA,"protein_coding","Aedes albopictus","JXUM01S003609",0.039761,"Protein transport protein SEC23 [Source:UniProtKB/TrEMBL;Acc:A0A182GSS4]",43.21,1,15020,2316,3590,934,340,3
"A0A182HBR2"," CCG026098.1","AALF026098",NA,"protein_coding","Aedes albopictus","JXUM01S000852",0.039772,"",41.21,1,27234,1632,26029,22083,2314,7
"A0A023EYA6"," CCG025051.5","AALF025051",NA,"protein_coding","Aedes albopictus","JXUM01S006454",0.04108,"",39.64,1,32812,1926,3287,549,812,4
"A0A023EMU8"," CCG001549.1","AALF001549",NA,"protein_coding","Aedes albopictus","JXUM01S008848",0.041099,"",50.64,1,6406,936,2102,549,617,4
"A0A182HDC1"," CCG027115.1","AALF027115",NA,"protein_coding","Aedes albopictus","JXUM01S007349",0.041139,"poly a polymerase [Source:Projected from Aedes aegypti (AAEL005356) VB Community Annotation]",39.92,1,25432,2166,15692,151,13375,4
"A0A023ETL6"," RP20_CCG008228","AALF008228",NA,"protein_coding","Aedes albopictus","JXUM01S001826",0.041234,"Adenylosuccinate synthetase [Source:UniProtKB/TrEMBL;Acc:A0A182GDW5]",41.77,1,78250,1368,2797,489,940,8
"A0A182G783"," RP20_CCG004459.2","AALF004459",NA,"protein_coding","Aedes albopictus","JXUM01S001402",0.0413,"myosin v [Source:Projected from Aedes aegypti (AAEL009357) VB Community Annotation]",41.57,1,85316,4956,41423,30662,5805,11
"A0A023EHV6"," CCG012728.1","AALF012728",NA,"protein_coding","Aedes albopictus","JXUM01S002787",0.041352,"oligoribonuclease, mitochondrial [Source:Projected from Aedes aegypti (AAEL008865) VB Community Annotation]",37.7,1,2326,576,2326,731,1019,1
"A0A182H296"," RP20_CCG020280","AALF020280",NA,"protein_coding","Aedes albopictus","JXUM01S004829",0.041434,"",43.18,1,9673,3783,4541,205,553,4
"A0A182H4X0"," CCG021775.1","AALF021775",NA,"protein_coding","Aedes albopictus","JXUM01S005316",0.041668,"",47.93,1,1711,807,1598,150,641,2
"A0A023EVD1"," CCG016161.1","AALF016161",NA,"protein_coding","Aedes albopictus","JXUM01S003697",0.041962,"ancient conserved domain protein 2 (cyclin m2) [Source:Projected from Aedes aegypti (AAEL014059) VB Community Annotation]",41.8,1,12572,2634,4364,439,1291,2
"A0A182H2N1"," CCG020474.1","AALF020474",NA,"protein_coding","Aedes albopictus","JXUM01S000574",0.042182,"DIS3-like exonuclease 2 [Source:UniProtKB/TrEMBL;Acc:A0A182H2N1]",43.97,1,14275,3684,4248,276,288,3
"A0A023EUH1"," CCG005408.1","AALF005408",NA,"protein_coding","Aedes albopictus","JXUM01S001459",0.042337,"",42.35,1,18052,1428,1947,22,497,7
"A0A023EWL3"," CCG024568.1","AALF024568",NA,"protein_coding","Aedes albopictus","JXUM01S006275",0.042419,"",46.73,1,2572,276,2572,1175,1121,1
"A0A182HDG6"," CCG027188.1","AALF027188",NA,"protein_coding","Aedes albopictus","JXUM01S000921",0.042525,"",43.4,1,12866,2424,12676,197,10055,2
"A0A182H811"," RP20_CCG023738","AALF023738",NA,"protein_coding","Aedes albopictus","JXUM01S005977",0.042866,"",39.1,1,9026,765,9026,97,8164,1
"A0A182GXQ2"," CCG000426.1","AALF000426",NA,"protein_coding","Aedes albopictus","JXUM01S008250",0.04303,"",47.85,1,767,330,767,152,285,1
"A0A182G484"," CCG002589.1","AALF002589",NA,"protein_coding","Aedes albopictus","JXUM01S001203",0.043239,"",50.41,1,1932,1266,1932,182,484,1
"A0A182GYL1"," CCG018227.1","AALF018227",NA,"protein_coding","Aedes albopictus","JXUM01S004268",0.043814,"",39.87,1,47892,624,11220,10197,399,3
"A0A182H5B7"," RP20_CCG022027","AALF022027",NA,"protein_coding","Aedes albopictus","JXUM01S005383",0.044546,"gdp mannose-4,6-dehydratase [Source:Projected from Aedes aegypti (AAEL014961) VB Community Annotation]",50,1,1402,1158,1330,103,69,2
"A0A023EV58"," RP20_CCG024828.2","AALF024828",NA,"protein_coding","Aedes albopictus","JXUM01S006378",0.044758,"glutaminyl-tRNA synthetase [Source:Projected from Aedes aegypti (AAEL011395) VB Community Annotation]",41.48,1,20377,1620,4900,205,3075,2
"A0A182H5W3"," RP20_CCG022363","AALF022363",109407309,"protein_coding","Aedes albopictus","JXUM01S005521",0.045628,"beta-1,4-galactosyltransferase [Source:Projected from Aedes aegypti (AAEL006426) VB Community Annotation]",43.64,1,3068,957,3068,1214,897,1
"A0A023EID3"," CCG023467.1","AALF023467",109418824,"protein_coding","Aedes albopictus","JXUM01S005896",0.046079,"Putative gtp-binding adp-ribosylation factor arf6 darf3 [Source:UniProtKB/TrEMBL;Acc:A0A023EID3]",40.75,1,26794,543,1269,229,497,4
"A0A182H2D3"," RP20_CCG020334","AALF020334",NA,"protein_coding","Aedes albopictus","JXUM01S004842",0.046391,"serine/threonine protein kinase [Source:Projected from Aedes aegypti (AAEL011578) VB Community Annotation]",42.48,1,35653,1575,35653,25225,8853,1
"A0A182H3L7"," RP20_CCG020998","AALF020998",109429318,"protein_coding","Aedes albopictus","JXUM01S005057",0.0464,"phosphatidylethanolamine-binding protein [Source:Projected from Aedes aegypti (AAEL012955) VB Community Annotation]",52.06,1,1333,576,1161,129,456,3
"A0A1W7R6F7"," RP20_CCG007708","AALF007708",NA,"protein_coding","Aedes albopictus","JXUM01S001757",0.046462,"",44.39,1,3093,2043,3093,79,971,1
"A0A182GY18"," CCG017904.2","AALF017904",NA,"protein_coding","Aedes albopictus","JXUM01S004184",0.047371,"",44.44,1,1890,861,1890,520,509,1
"A0A023ERD7"," RP20_CCG012281","AALF012281",109405360,"protein_coding","Aedes albopictus","JXUM01S002695",0.047561,"",43.84,1,16519,1035,3488,986,1467,2
"A0A182H8M9"," CCG025537.1","AALF025537",NA,"protein_coding","Aedes albopictus","JXUM01S006618",0.047638,"",43.62,1,658,381,596,83,132,2
"A0A182GJL3"," CCG011066.1","AALF011066",NA,"protein_coding","Aedes albopictus","JXUM01S002410",0.048846,"",39.89,1,41304,2055,20902,18179,668,6
"A0A182GU89"," CCG015869.2","AALF015869",NA,"protein_coding","Aedes albopictus","JXUM01S003628",0.048999,"",44.07,1,14748,3615,7989,821,3553,4
"A0A1W7R699"," CCG022028.1","AALF022028",NA,"protein_coding","Aedes albopictus","JXUM01S005383",0.049261,"",47.61,1,6887,6360,6887,393,134,1
"A0A182HET8"," CCG028127.1","AALF028127",NA,"protein_coding","Aedes albopictus","JXUM01S000986",0.049878,"",39.78,1,29534,3624,16366,664,12078,8
"A0A023EBS4"," CCG021402.1","AALF021402",NA,"protein_coding","Aedes albopictus","JXUM01S005190",0.050064,"",38.22,1,5345,261,719,193,265,3
"A0A182GFG3"," RP20_CCG008994","AALF008994",NA,"protein_coding","Aedes albopictus","JXUM01S001962",0.050161,"",51.33,1,2747,2190,2671,313,168,2
"A0A023EPY3"," CCG025494.1","AALF025494",109413713,"protein_coding","Aedes albopictus","JXUM01S000822",0.050678,"Glyceraldehyde-3-phosphate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A023EPY3]",42.17,1,4771,999,4771,3182,590,1
"A0A023EF61"," RP20_CCG000121","AALF000121",NA,"protein_coding","Aedes albopictus","JXUM01S001019",0.051121,"Cytidine deaminase [Source:UniProtKB/TrEMBL;Acc:A0A182G0Q0]",36.14,1,11629,471,1049,466,112,2
"A0A182G134"," RP20_CCG000408","AALF000408",NA,"protein_coding","Aedes albopictus","JXUM01S008236",0.051415,"",46.27,1,670,435,670,206,29,1
"A0A023EPZ7"," RP20_CCG007284.3","AALF007284",NA,"protein_coding","Aedes albopictus","JXUM01S001685",0.051621,"alpha(1,3)fucosyltransferase [Source:Projected from Aedes aegypti (AAEL000244) VB Community Annotation]",41.12,1,35605,1206,3047,501,1340,2
"A0A023ENJ3"," RP20_CCG007836","AALF007836",NA,"protein_coding","Aedes albopictus","JXUM01S001754",0.052317,"",39.82,1,8196,978,1325,117,230,3
"A0A182GKL0"," RP20_CCG019921","AALF019921",109622449,"protein_coding","Aedes albopictus","JXUM01S004727",0.052639,"",48.97,1,878,591,878,136,151,1
"A0A023EQG1"," CCG028645.1","AALF028645",NA,"protein_coding","Aedes albopictus","JXUM01S001021",0.05307,"",40.24,1,26274,1560,26274,21955,2759,1
