"Gene ID","source_id","Organism","Gene Name or Symbol","Transcript Product Description","UniProt ID(s)"
"AAEL006772","AAEL006772-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174V9"
"AAEL006774","AAEL006774-RA","Aedes aegypti LVP_AGWG","N/A","Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:Q174U8]","Q174U8"
"AAEL006776","AAEL006776-RA","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","A0A1S4FEJ4"
"AAEL006776","AAEL006776-RB","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","A0A1S4FEJ4"
"AAEL006776","AAEL006776-RC","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","A0A1S4FEJ4"
"AAEL006776","AAEL006776-RD","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","A0A1S4FEJ4,Q174W5"
"AAEL006776","AAEL006776-RE","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","A0A1S4FEJ4"
"AAEL006776","AAEL006776-RF","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","N/A"
"AAEL006776","AAEL006776-RG","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","Q174W4"
"AAEL006776","AAEL006776-RH","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","N/A"
"AAEL006776","AAEL006776-RI","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","N/A"
"AAEL006776","AAEL006776-RJ","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","A0A1S4FEJ9"
"AAEL006776","AAEL006776-RK","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","N/A"
"AAEL006776","AAEL006776-RL","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","N/A"
"AAEL006776","AAEL006776-RM","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","N/A"
"AAEL006776","AAEL006776-RN","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","N/A"
"AAEL006776","AAEL006776-RO","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","N/A"
"AAEL006776","AAEL006776-RP","Aedes aegypti LVP_AGWG","N/A","blastoderm specific protein 25D, putative","N/A"
"AAEL006779","AAEL006779-RA","Aedes aegypti LVP_AGWG","N/A","cytochrome c oxidase assembly protein cox11","Q174W6"
"AAEL006780","AAEL006780-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FEL9,Q174U5"
"AAEL006780","AAEL006780-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL006782","AAEL006782-RA","Aedes aegypti LVP_AGWG","Carm1","histone-arginine methyltransferase CARMER","Q174R2"
"AAEL006782","AAEL006782-RB","Aedes aegypti LVP_AGWG","Carm1","histone-arginine methyltransferase CARMER","N/A"
"AAEL006782","AAEL006782-RC","Aedes aegypti LVP_AGWG","Carm1","histone-arginine methyltransferase CARMER","N/A"
"AAEL006784","AAEL006784-RA","Aedes aegypti LVP_AGWG","CYP9J17","cytochrome P450","Q174T3"
"AAEL006785","AAEL006785-RB","Aedes aegypti LVP_AGWG","RpL18a","60S ribosomal protein L18a [Source:UniProtKB/TrEMBL;Acc:Q174U3]","Q0IFJ6,Q16RU9,Q16SN2,Q16T99,Q174U2,Q174U3,Q17BT1"
"AAEL006786","AAEL006786-RD","Aedes aegypti LVP_AGWG","N/A","GTPase_rho","Q174R0"
"AAEL006786","AAEL006786-RE","Aedes aegypti LVP_AGWG","N/A","GTPase_rho","Q174R0"
"AAEL006786","AAEL006786-RF","Aedes aegypti LVP_AGWG","N/A","GTPase_rho","Q174R0"
"AAEL006786","AAEL006786-RG","Aedes aegypti LVP_AGWG","N/A","GTPase_rho","Q174R0"
"AAEL006786","AAEL006786-RH","Aedes aegypti LVP_AGWG","N/A","GTPase_rho","Q174R0"
"AAEL006786","AAEL006786-RI","Aedes aegypti LVP_AGWG","N/A","GTPase_rho","Q174R0"
"AAEL006786","AAEL006786-RJ","Aedes aegypti LVP_AGWG","N/A","GTPase_rho","Q174R0"
"AAEL006787","AAEL006787-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FEK6,Q174R7"
"AAEL006788","AAEL006788-RA","Aedes aegypti LVP_AGWG","N/A","replication factor C, 37-kDa subunit, putative","Q1HQP1"
"AAEL006789","AAEL006789-RA","Aedes aegypti LVP_AGWG","N/A","tbp-associated factor","Q174Q8"
"AAEL006790","AAEL006790-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FEQ8,Q174U1"
"AAEL006791","AAEL006791-RB","Aedes aegypti LVP_AGWG","N/A","rab6 GTPase activating protein, gapcena (rabgap1 protein)","N/A"
"AAEL006791","AAEL006791-RC","Aedes aegypti LVP_AGWG","N/A","rab6 GTPase activating protein, gapcena (rabgap1 protein)","N/A"
"AAEL006791","AAEL006791-RD","Aedes aegypti LVP_AGWG","N/A","rab6 GTPase activating protein, gapcena (rabgap1 protein)","N/A"
"AAEL006791","AAEL006791-RE","Aedes aegypti LVP_AGWG","N/A","rab6 GTPase activating protein, gapcena (rabgap1 protein)","N/A"
"AAEL006791","AAEL006791-RF","Aedes aegypti LVP_AGWG","N/A","rab6 GTPase activating protein, gapcena (rabgap1 protein)","N/A"
"AAEL006791","AAEL006791-RG","Aedes aegypti LVP_AGWG","N/A","rab6 GTPase activating protein, gapcena (rabgap1 protein)","N/A"
"AAEL006791","AAEL006791-RH","Aedes aegypti LVP_AGWG","N/A","rab6 GTPase activating protein, gapcena (rabgap1 protein)","N/A"
"AAEL006791","AAEL006791-RI","Aedes aegypti LVP_AGWG","N/A","rab6 GTPase activating protein, gapcena (rabgap1 protein)","N/A"
"AAEL006791","AAEL006791-RJ","Aedes aegypti LVP_AGWG","N/A","rab6 GTPase activating protein, gapcena (rabgap1 protein)","N/A"
"AAEL006791","AAEL006791-RK","Aedes aegypti LVP_AGWG","N/A","rab6 GTPase activating protein, gapcena (rabgap1 protein)","Q174R1"
"AAEL006791","AAEL006791-RL","Aedes aegypti LVP_AGWG","N/A","rab6 GTPase activating protein, gapcena (rabgap1 protein)","N/A"
"AAEL006791","AAEL006791-RM","Aedes aegypti LVP_AGWG","N/A","rab6 GTPase activating protein, gapcena (rabgap1 protein)","N/A"
"AAEL006792","AAEL006792-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174U4"
"AAEL006794","AAEL006794-RA","Aedes aegypti LVP_AGWG","N/A","dicer-2","Q174T8,Q49LL4"
"AAEL006794","AAEL006794-RB","Aedes aegypti LVP_AGWG","N/A","dicer-2","Q174T8"
"AAEL006795","AAEL006795-RB","Aedes aegypti LVP_AGWG","CYP9J15","cytochrome P450","Q174T6"
"AAEL006797","AAEL006797-RA","Aedes aegypti LVP_AGWG","N/A","F-box/leucine rich repeat protein","A0A1S4FEL5,Q174S4"
"AAEL006799","AAEL006799-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A0P6ITD0,Q174R6"
"AAEL006799","AAEL006799-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL006800","AAEL006800-RA","Aedes aegypti LVP_AGWG","N/A","sodium/chloride dependent transporter","Q174T7"
"AAEL006800","AAEL006800-RB","Aedes aegypti LVP_AGWG","N/A","sodium/chloride dependent transporter","N/A"
"AAEL006801","AAEL006801-RA","Aedes aegypti LVP_AGWG","N/A","Vang-like protein [Source:UniProtKB/TrEMBL;Acc:Q174T9]","Q174T9"
"AAEL006805","AAEL006805-RA","Aedes aegypti LVP_AGWG","CYP9J2","cytochrome P450","A0A0P6IVA4,Q174T2,Q8T4S7,Q8T4S8,Q95VZ2,Q9BJM9"
"AAEL006808","AAEL006808-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174U0"
"AAEL006808","AAEL006808-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174U0"
"AAEL006809","AAEL006809-RA","Aedes aegypti LVP_AGWG","N/A","voltage-gated ion channel","Q174R4"
"AAEL006809","AAEL006809-RB","Aedes aegypti LVP_AGWG","N/A","voltage-gated ion channel","N/A"
"AAEL006809","AAEL006809-RC","Aedes aegypti LVP_AGWG","N/A","voltage-gated ion channel","N/A"
"AAEL006809","AAEL006809-RD","Aedes aegypti LVP_AGWG","N/A","voltage-gated ion channel","N/A"
"AAEL006809","AAEL006809-RE","Aedes aegypti LVP_AGWG","N/A","voltage-gated ion channel","N/A"
"AAEL006812","AAEL006812-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL006815","AAEL006815-RA","Aedes aegypti LVP_AGWG","CYP9J16","cytochrome P450","Q174T4"
"AAEL006816","AAEL006816-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FES7"
"AAEL006817","AAEL006817-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FEV5,Q174P4"
"AAEL006818","AAEL006818-RB","Aedes aegypti LVP_AGWG","N/A","glutathione S-transferase, putative","Q174Q0"
"AAEL006819","AAEL006819-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174Q5"
"AAEL006820","AAEL006820-RA","Aedes aegypti LVP_AGWG","N/A","lipid storage droplets surface binding protein 2 (lsd2)","A0A1S4G6U8,Q16U67,Q16WG7,Q174Q3,Q17D04"
"AAEL006822","AAEL006822-RA","Aedes aegypti LVP_AGWG","N/A","otopetrin","A0A2I4HY34,Q174P7"
"AAEL006822","AAEL006822-RB","Aedes aegypti LVP_AGWG","N/A","otopetrin","N/A"
"AAEL006822","AAEL006822-RC","Aedes aegypti LVP_AGWG","N/A","otopetrin","N/A"
"AAEL006822","AAEL006822-RD","Aedes aegypti LVP_AGWG","N/A","otopetrin","N/A"
"AAEL006822","AAEL006822-RE","Aedes aegypti LVP_AGWG","N/A","otopetrin","N/A"
"AAEL006822","AAEL006822-RF","Aedes aegypti LVP_AGWG","N/A","otopetrin","N/A"
"AAEL006822","AAEL006822-RG","Aedes aegypti LVP_AGWG","N/A","otopetrin","N/A"
"AAEL006822","AAEL006822-RH","Aedes aegypti LVP_AGWG","N/A","otopetrin","A0A2I4HY34"
"AAEL006822","AAEL006822-RI","Aedes aegypti LVP_AGWG","N/A","otopetrin","A0A2I4HY34"
"AAEL006822","AAEL006822-RJ","Aedes aegypti LVP_AGWG","N/A","otopetrin","A0A2I4HY34"
"AAEL006822","AAEL006822-RK","Aedes aegypti LVP_AGWG","N/A","otopetrin","N/A"
"AAEL006822","AAEL006822-RL","Aedes aegypti LVP_AGWG","N/A","otopetrin","N/A"
"AAEL006823","AAEL006823-RA","Aedes aegypti LVP_AGWG","N/A","AMP dependent ligase","Q174Q7"
"AAEL006824","AAEL006824-RA","Aedes aegypti LVP_AGWG","N/A","Cytochrome P450 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FEN8]","A0A1S4FEN8,Q16Z24,Q174P3"
"AAEL006825","AAEL006825-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174Q6"
"AAEL006826","AAEL006826-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174Q2"
"AAEL006826","AAEL006826-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL006826","AAEL006826-RD","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL006827","AAEL006827-RA","Aedes aegypti LVP_AGWG","CYP12F8","cytochrome P450","A0A1S4FEN5,Q174P6"
"AAEL006827","AAEL006827-RB","Aedes aegypti LVP_AGWG","CYP12F8","cytochrome P450","N/A"
"AAEL006829","AAEL006829-RA","Aedes aegypti LVP_AGWG","N/A","microsomal glutathione s-transferase","Q174Q1"
"AAEL006830","AAEL006830-RA","Aedes aegypti LVP_AGWG","N/A","yellow protein precursor","A0A1S4FEX1,Q174P5"
"AAEL006832","AAEL006832-RB","Aedes aegypti LVP_AGWG","GPRFZ3","GPCR Frizzled/Smoothened Family","Q174Q4"
"AAEL006833","AAEL006833-RD","Aedes aegypti LVP_AGWG","N/A","succinyl-CoA synthetase small subunit, putative","Q1HR33"
"AAEL006833","AAEL006833-RE","Aedes aegypti LVP_AGWG","N/A","succinyl-CoA synthetase small subunit, putative","Q1HR33"
"AAEL006834","AAEL006834-RA","Aedes aegypti LVP_AGWG","N/A","glutamate semialdehyde dehydrogenase","Q174N2,Q2KQ99"
"AAEL006835","AAEL006835-RA","Aedes aegypti LVP_AGWG","N/A","transient receptor potential cation channel protein painless","A0A1S4FES5,Q174M6,Q174M7"
"AAEL006836","AAEL006836-RA","Aedes aegypti LVP_AGWG","N/A","dihydropteridine reductase","Q1HQQ6"
"AAEL006836","AAEL006836-RB","Aedes aegypti LVP_AGWG","N/A","dihydropteridine reductase","Q174N0"
"AAEL006838","AAEL006838-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174N8"
"AAEL006839","AAEL006839-RB","Aedes aegypti LVP_AGWG","N/A","ring finger protein","Q174M0,Q174M1"
"AAEL006841","AAEL006841-RA","Aedes aegypti LVP_AGWG","N/A","rage-1","A0A1S4FEQ4,Q174N7"
"AAEL006843","AAEL006843-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A0P6IVK1,A0A1S4FET4,Q174N5"
"AAEL006844","AAEL006844-RB","Aedes aegypti LVP_AGWG","GPRTYR","GPCR Octopamine/Tyramine Family","A0A1S4FER2,Q174N1"
"AAEL006845","AAEL006845-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174P0,Q174P1"
"AAEL006847","AAEL006847-RA","Aedes aegypti LVP_AGWG","N/A","Defective in cullin neddylation protein [Source:UniProtKB/TrEMBL;Acc:Q174N9]","Q174N9"
"AAEL006847","AAEL006847-RB","Aedes aegypti LVP_AGWG","N/A","Defective in cullin neddylation protein [Source:UniProtKB/TrEMBL;Acc:Q174N9]","N/A"
"AAEL006848","AAEL006848-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174N3"
"AAEL006854","AAEL006854-RA","Aedes aegypti LVP_AGWG","N/A","Niemann-Pick Type C-2, putative","Q174K0"
"AAEL006855","AAEL006855-RC","Aedes aegypti LVP_AGWG","N/A","UDP-galactose transporter","Q174K4"
"AAEL006855","AAEL006855-RD","Aedes aegypti LVP_AGWG","N/A","UDP-galactose transporter","Q174K4"
"AAEL006855","AAEL006855-RE","Aedes aegypti LVP_AGWG","N/A","UDP-galactose transporter","Q174K4"
"AAEL006855","AAEL006855-RF","Aedes aegypti LVP_AGWG","N/A","UDP-galactose transporter","Q174K4"
"AAEL006856","AAEL006856-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174K2"
"AAEL006858","AAEL006858-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FEU9,Q174L0"
"AAEL006859","AAEL006859-RA","Aedes aegypti LVP_AGWG","N/A","Myb-interacting protein, putative","A0A1S4FES6,Q174J5"
"AAEL006860","AAEL006860-RA","Aedes aegypti LVP_AGWG","RpS28","40S ribosomal protein S28 [Source:UniProtKB/TrEMBL;Acc:Q1HR28]","Q1HR28"
"AAEL006862","AAEL006862-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174K5"
"AAEL006862","AAEL006862-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174K5"
"AAEL006862","AAEL006862-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174K5"
"AAEL006863","AAEL006863-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FEV4,Q174K6"
"AAEL006864","AAEL006864-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FET1,Q174K9"
"AAEL006864","AAEL006864-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A0P6JRM5,A0A1S4FEY5"
"AAEL006865","AAEL006865-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FF11,Q174K8"
"AAEL006867","AAEL006867-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174K1"
"AAEL006867","AAEL006867-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174K1"
"AAEL006870","AAEL006870-RA","Aedes aegypti LVP_AGWG","N/A","sorting nexin","Q174K7"
"AAEL006870","AAEL006870-RB","Aedes aegypti LVP_AGWG","N/A","sorting nexin","Q174K7"
"AAEL006870","AAEL006870-RC","Aedes aegypti LVP_AGWG","N/A","sorting nexin","Q174K7"
"AAEL006870","AAEL006870-RD","Aedes aegypti LVP_AGWG","N/A","sorting nexin","Q174K7"
"AAEL006870","AAEL006870-RE","Aedes aegypti LVP_AGWG","N/A","sorting nexin","Q174K7"
"AAEL006870","AAEL006870-RF","Aedes aegypti LVP_AGWG","N/A","sorting nexin","Q174K7"
"AAEL006870","AAEL006870-RG","Aedes aegypti LVP_AGWG","N/A","sorting nexin","Q174K7"
"AAEL006871","AAEL006871-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174L1"
"AAEL006872","AAEL006872-RA","Aedes aegypti LVP_AGWG","N/A","calponin/transgelin","Q174L5"
"AAEL006876","AAEL006876-RA","Aedes aegypti LVP_AGWG","N/A","igf2 mRNA binding protein, putative","Q174K3"
"AAEL006876","AAEL006876-RB","Aedes aegypti LVP_AGWG","N/A","igf2 mRNA binding protein, putative","A0A0P6IX28"
"AAEL006876","AAEL006876-RC","Aedes aegypti LVP_AGWG","N/A","igf2 mRNA binding protein, putative","N/A"
"AAEL006876","AAEL006876-RD","Aedes aegypti LVP_AGWG","N/A","igf2 mRNA binding protein, putative","N/A"
"AAEL006876","AAEL006876-RE","Aedes aegypti LVP_AGWG","N/A","igf2 mRNA binding protein, putative","N/A"
"AAEL006879","AAEL006879-RB","Aedes aegypti LVP_AGWG","N/A","folate carrier protein","Q174H6,Q174H7"
"AAEL006879","AAEL006879-RC","Aedes aegypti LVP_AGWG","N/A","folate carrier protein","N/A"
"AAEL006880","AAEL006880-RC","Aedes aegypti LVP_AGWG","N/A","Rab32 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FEX4]","A0A1S4FEX4,J9HYU4"
"AAEL006880","AAEL006880-RD","Aedes aegypti LVP_AGWG","N/A","Rab32 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FEX4]","Q174H5"
"AAEL006880","AAEL006880-RE","Aedes aegypti LVP_AGWG","N/A","Rab32 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FEX4]","N/A"
"AAEL006880","AAEL006880-RF","Aedes aegypti LVP_AGWG","N/A","Rab32 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FEX4]","N/A"
"AAEL006880","AAEL006880-RG","Aedes aegypti LVP_AGWG","N/A","Rab32 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FEX4]","N/A"
"AAEL006881","AAEL006881-RA","Aedes aegypti LVP_AGWG","N/A","multiple C2 domain and transmembrane region protein, putative","A0A1S4FEV1"
"AAEL006881","AAEL006881-RB","Aedes aegypti LVP_AGWG","N/A","multiple C2 domain and transmembrane region protein, putative","A0A1S4FEW1"
"AAEL006881","AAEL006881-RC","Aedes aegypti LVP_AGWG","N/A","multiple C2 domain and transmembrane region protein, putative","N/A"
"AAEL006881","AAEL006881-RD","Aedes aegypti LVP_AGWG","N/A","multiple C2 domain and transmembrane region protein, putative","A0A0P6IW11,Q174I4,Q174I5"
"AAEL006881","AAEL006881-RE","Aedes aegypti LVP_AGWG","N/A","multiple C2 domain and transmembrane region protein, putative","N/A"
"AAEL006881","AAEL006881-RF","Aedes aegypti LVP_AGWG","N/A","multiple C2 domain and transmembrane region protein, putative","N/A"
"AAEL006882","AAEL006882-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174H9"
"AAEL006883","AAEL006883-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174I0"
"AAEL006884","AAEL006884-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174H3"
"AAEL006884","AAEL006884-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174H3"
"AAEL006885","AAEL006885-RA","Aedes aegypti LVP_AGWG","14-3-3zeta","14-3-3 protein zeta [Source:UniProtKB/Swiss-Prot;Acc:Q1HR36]","Q1HR36"
"AAEL006885","AAEL006885-RB","Aedes aegypti LVP_AGWG","14-3-3zeta","14-3-3 protein zeta [Source:UniProtKB/Swiss-Prot;Acc:Q1HR36]","Q1HR36"
"AAEL006885","AAEL006885-RC","Aedes aegypti LVP_AGWG","14-3-3zeta","14-3-3 protein zeta [Source:UniProtKB/Swiss-Prot;Acc:Q1HR36]","Q1HR36"
"AAEL006885","AAEL006885-RD","Aedes aegypti LVP_AGWG","14-3-3zeta","14-3-3 protein zeta [Source:UniProtKB/Swiss-Prot;Acc:Q1HR36]","Q1HR36"
"AAEL006885","AAEL006885-RE","Aedes aegypti LVP_AGWG","14-3-3zeta","14-3-3 protein zeta [Source:UniProtKB/Swiss-Prot;Acc:Q1HR36]","N/A"
"AAEL006885","AAEL006885-RF","Aedes aegypti LVP_AGWG","14-3-3zeta","14-3-3 protein zeta [Source:UniProtKB/Swiss-Prot;Acc:Q1HR36]","N/A"
"AAEL006885","AAEL006885-RG","Aedes aegypti LVP_AGWG","14-3-3zeta","14-3-3 protein zeta [Source:UniProtKB/Swiss-Prot;Acc:Q1HR36]","N/A"
"AAEL006886","AAEL006886-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174I1"
"AAEL006887","AAEL006887-RA","Aedes aegypti LVP_AGWG","N/A","mRNA turnover protein 4 mrt4","Q174I7"
"AAEL006888","AAEL006888-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FF10,Q174I6"
"AAEL006888","AAEL006888-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174I6"
"AAEL006890","AAEL006890-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174I3"
"AAEL006890","AAEL006890-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL006890","AAEL006890-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174I3,Q1HR04"
"AAEL006892","AAEL006892-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174J1"
"AAEL006895","AAEL006895-RB","Aedes aegypti LVP_AGWG","N/A","phosphofructokinase","Q174J0"
"AAEL006895","AAEL006895-RC","Aedes aegypti LVP_AGWG","N/A","phosphofructokinase","A0A1S4FF47,J9HFL3"
"AAEL006895","AAEL006895-RD","Aedes aegypti LVP_AGWG","N/A","phosphofructokinase","Q0IFA3"
"AAEL006899","AAEL006899-RA","Aedes aegypti LVP_AGWG","N/A","DNA-J/hsp40","Q174G8"
"AAEL006899","AAEL006899-RB","Aedes aegypti LVP_AGWG","N/A","DNA-J/hsp40","Q174G8"
"AAEL006899","AAEL006899-RC","Aedes aegypti LVP_AGWG","N/A","DNA-J/hsp40","A0A1S4F522,Q174G8,Q17F35"
"AAEL006899","AAEL006899-RD","Aedes aegypti LVP_AGWG","N/A","DNA-J/hsp40","Q174G8"
"AAEL006899","AAEL006899-RE","Aedes aegypti LVP_AGWG","N/A","DNA-J/hsp40","Q174G8"
"AAEL006899","AAEL006899-RF","Aedes aegypti LVP_AGWG","N/A","DNA-J/hsp40","Q174G8"
"AAEL006899","AAEL006899-RG","Aedes aegypti LVP_AGWG","N/A","DNA-J/hsp40","Q174G8"
"AAEL006900","AAEL006900-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174G1"
"AAEL006902","AAEL006902-RA","Aedes aegypti LVP_AGWG","N/A","serine-type endopeptidase,","A0A1S4FEZ4,Q174G7"
"AAEL006903","AAEL006903-RA","Aedes aegypti LVP_AGWG","N/A","trypsin","A0A1S4FEX2,Q174G2"
"AAEL006904","AAEL006904-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174G0"
"AAEL006904","AAEL006904-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL006904","AAEL006904-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL006904","AAEL006904-RD","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL006905","AAEL006905-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FF58"
"AAEL006905","AAEL006905-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FF58"
"AAEL006905","AAEL006905-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FF58"
"AAEL006905","AAEL006905-RD","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FF58,Q16XE1,Q174H0"
"AAEL006906","AAEL006906-RB","Aedes aegypti LVP_AGWG","N/A","NBP2b protein, putative","N/A"
"AAEL006907","AAEL006907-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16FK6,Q174G5"
"AAEL006908","AAEL006908-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16TB2"
"AAEL006909","AAEL006909-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174G6"
"AAEL006910","AAEL006910-RA","Aedes aegypti LVP_AGWG","N/A","Ubiquitination factor E4 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FF65]","A0A1S4FF65,Q174F4"
"AAEL006912","AAEL006912-RC","Aedes aegypti LVP_AGWG","N/A","acetyl-coa acetyltransferase 2,","Q174F7"
"AAEL006912","AAEL006912-RD","Aedes aegypti LVP_AGWG","N/A","acetyl-coa acetyltransferase 2,","Q174F7"
"AAEL006915","AAEL006915-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174F2"
"AAEL006915","AAEL006915-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q174F3"
"AAEL006917","AAEL006917-RA","Aedes aegypti LVP_AGWG","N/A","MG-160, putative","A0A1S4FF42,Q174F8"
"AAEL006917","AAEL006917-RB","Aedes aegypti LVP_AGWG","N/A","MG-160, putative","N/A"
"AAEL006918","AAEL006918-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FF73,Q174E8"
"AAEL006918","AAEL006918-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FEX9,Q174E7,Q1HR15"
"AAEL006918","AAEL006918-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL006919","AAEL006919-RA","Aedes aegypti LVP_AGWG","N/A","serine-type endopeptidase,","Q174E3"
"AAEL006920","AAEL006920-RA","Aedes aegypti LVP_AGWG","LRIM20","leucine-rich immune protein (Coil-less)","A0A1S4FEZ2,Q174E5"
"AAEL006921","AAEL006921-RA","Aedes aegypti LVP_AGWG","N/A","calmodulin","Q174F0"
"AAEL006921","AAEL006921-RB","Aedes aegypti LVP_AGWG","N/A","calmodulin","N/A"
"AAEL006921","AAEL006921-RC","Aedes aegypti LVP_AGWG","N/A","calmodulin","Q174F0"
"AAEL006921","AAEL006921-RD","Aedes aegypti LVP_AGWG","N/A","calmodulin","Q174F0"
"AAEL006921","AAEL006921-RE","Aedes aegypti LVP_AGWG","N/A","calmodulin","Q174F0"
"AAEL006921","AAEL006921-RF","Aedes aegypti LVP_AGWG","N/A","calmodulin","Q174F0"
"AAEL006921","AAEL006921-RG","Aedes aegypti LVP_AGWG","N/A","calmodulin","Q174F0"
"AAEL006922","AAEL006922-RA","Aedes aegypti LVP_AGWG","N/A","calponin/transgelin","Q1HR19"
"AAEL006923","AAEL006923-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FF18,Q174E9"
"AAEL006924","AAEL006924-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FEZ7,Q174E6"
