"species","enrichment_fdr","n_genes","pathway_genes","fold_enrichment","pathway","url","genes","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","ensembl_id"
"Aedes aegypti",0.00020086,159,2767,1.39791701,"GO:0031224 intrinsic component of membrane","http://amigo.geneontology.org/amigo/term/GO:0031224","Q16KC4 Q17Q14 A0A1S4EVA2 A0A0P6IW15 Q0IGG1 A0A1S4EVW1 Q17P94 A0A1S4EWB0 Q17NJ1 Q17NM9 Q17NC4 Q17N19 A0A1S4EYT1 Q17KI5 Q17K92 A0A1S4F022 Q17IU2 Q16N73 Q17IA0 A0A1S4F2H1 Q17HA9 A0A1S4F315 A0A1S4F361 Q17GQ2 Q17GF2 A0A1S4F5I3 Q17CP4 Q17BD1 A0A1S4F9K8 Q17AX2 Q17AJ3 A0A1S4FA68 A0A1S4FAE9 A0A1S4FAZ9 A0A1S4FBA9 Q0IFC5 Q178A4 A0A1S4FCX3 Q176Y4 Q176W7 Q176S8 A0A1S4FD34 A0A0P6IYT0 Q176D2 Q0IF62 Q175U9 Q174T7 Q174T9 Q173U8 A0A1S4FFU4 Q173B0 Q1HRN7 A0A0N8ES65 A0A1S4FH10 A0A0P6IUU0 Q170D7 A0A1S4F5X0 A0A1S4FJ63 A0A1S4FJ60 A0A1S4EYD6 Q16XM5 A0A1S4FKX5 A0A411JKH4 Q16WU5 A0A1S4FLH5 A0A1S4FLP7 Q16WF1 Q16V79 A0A1S4FNS8 A0A1S4FPJ9 J9EAN8 Q16FD7 A0A1S4FR12 Q16SI7 Q16S36 Q16RY8 Q16RP8 A0A1S4FRX2 Q16RK1 A0A1S4G3G5 A0A1S4FSU8 A0A1S4FST0 A0A1S4FU22 Q16PH9 Q16NS2 Q16NF2 Q1HQG4 A0A0N8ES29 A0A1S4FVM5 A0A0N8ES45 A0A1S4FWE5 Q16LW6 Q16LS8 A0A0P6J0T1 Q16KJ5 A0A1S4FX89 A0A411JKA7 Q16K45 A0A1S4FYE1 A0A1S4FYY2 J9HG16 A0A1S4G0B0 Q16HN0 Q16GZ8 A0A1S4G0Z6 A0A1S4G219 Q16GJ5 Q17GM1 A0A1S4G2H8 A0A1S4FU68 Q16LQ3 J9HS29 J9HSS4 A0A2C9GG62 A0A1S4G638 J9EB97 A0A1S4G6Y0 A0A1S4G7G9 Q16MP8 A0A0P6IZR0 A0A0P6J4J0 A0A1S4G7U1 A0A0P6J5D2 Q17G69 A0A1S4FER6 Q17A91 Q0IG88 Q16PD9 Q16ND4 Q16P14 A0A1S4FXX4 A0A0P6K0Q3 A0A1S4EYV5 A0A1S4FH62 A0A1S4FMM9 Q176Q6 Q1HR57 Q171K9 Q16LX7 Q17FC6 Q17DL2 A0A1S4FQK8 Q16TV9 A0A1S4F358 Q17GP4 A0A0P6IW43 Q16Q60 A0A1S4EZP1 Q16XQ1 Q16GL8 A0A0P6IZM4 Q16GJ0 A0A0P6K0P2 Q17GE3","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes aegypti",0.00020086,158,2754,1.39568231,"GO:0016021 integral component of membrane","http://amigo.geneontology.org/amigo/term/GO:0016021","Q16KC4 Q17Q14 A0A1S4EVA2 A0A0P6IW15 Q0IGG1 A0A1S4EVW1 Q17P94 A0A1S4EWB0 Q17NJ1 Q17NM9 Q17NC4 Q17N19 A0A1S4EYT1 Q17KI5 Q17K92 A0A1S4F022 Q17IU2 Q16N73 Q17IA0 A0A1S4F2H1 Q17HA9 A0A1S4F315 A0A1S4F361 Q17GQ2 Q17GF2 A0A1S4F5I3 Q17CP4 Q17BD1 A0A1S4F9K8 Q17AX2 Q17AJ3 A0A1S4FA68 A0A1S4FAE9 A0A1S4FAZ9 A0A1S4FBA9 Q0IFC5 Q178A4 A0A1S4FCX3 Q176Y4 Q176W7 Q176S8 A0A1S4FD34 A0A0P6IYT0 Q176D2 Q0IF62 Q175U9 Q174T7 Q174T9 Q173U8 A0A1S4FFU4 Q173B0 Q1HRN7 A0A0N8ES65 A0A1S4FH10 A0A0P6IUU0 Q170D7 A0A1S4F5X0 A0A1S4FJ63 A0A1S4FJ60 A0A1S4EYD6 Q16XM5 A0A1S4FKX5 A0A411JKH4 Q16WU5 A0A1S4FLH5 A0A1S4FLP7 Q16WF1 Q16V79 A0A1S4FNS8 A0A1S4FPJ9 J9EAN8 Q16FD7 A0A1S4FR12 Q16SI7 Q16S36 Q16RY8 Q16RP8 A0A1S4FRX2 Q16RK1 A0A1S4G3G5 A0A1S4FSU8 A0A1S4FST0 A0A1S4FU22 Q16PH9 Q16NS2 Q16NF2 Q1HQG4 A0A0N8ES29 A0A1S4FVM5 A0A0N8ES45 A0A1S4FWE5 Q16LW6 Q16LS8 A0A0P6J0T1 Q16KJ5 A0A1S4FX89 A0A411JKA7 Q16K45 A0A1S4FYY2 J9HG16 A0A1S4G0B0 Q16HN0 Q16GZ8 A0A1S4G0Z6 A0A1S4G219 Q16GJ5 Q17GM1 A0A1S4G2H8 A0A1S4FU68 Q16LQ3 J9HS29 J9HSS4 A0A2C9GG62 A0A1S4G638 J9EB97 A0A1S4G6Y0 A0A1S4G7G9 Q16MP8 A0A0P6IZR0 A0A0P6J4J0 A0A1S4G7U1 A0A0P6J5D2 Q17G69 A0A1S4FER6 Q17A91 Q0IG88 Q16PD9 Q16ND4 Q16P14 A0A1S4FXX4 A0A0P6K0Q3 A0A1S4EYV5 A0A1S4FH62 A0A1S4FMM9 Q176Q6 Q1HR57 Q171K9 Q16LX7 Q17FC6 Q17DL2 A0A1S4FQK8 Q16TV9 A0A1S4F358 Q17GP4 A0A0P6IW43 Q16Q60 A0A1S4EZP1 Q16XQ1 Q16GL8 A0A0P6IZM4 Q16GJ0 A0A0P6K0P2 Q17GE3","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes aegypti",0.03292654,6,19,7.68229665,"GO:0005253 anion channel activity","http://amigo.geneontology.org/amigo/term/GO:0005253","A0A1S4FJ60 Q16RK1 Q16P14 Q1HR57","GO Molecular Function",NA,"shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes aegypti",0.01294351,6,25,5.83854545,"Path:aag04215 Apoptosis-multiple species","http://www.genome.jp/kegg-bin/show_pathway?aag04215","Q1HRI9 Q17MT6 A0A1S4FDA2 A0A1S4FJZ7 A0A1S4FKB3 A0FGS9","KEGG","immune","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes aegypti",0.0045863,10,53,4.59005146,"Path:aag04391 Hippo signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04391","A0A1S4G6E5 Q17DL2 A0A1S4F958 A0A1S4FAT3 A0A1S4FJZ7 A0A1S4FKB3 Q16WX3 Q0IE98 Q17G69 Q16HF3","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes aegypti",0.01294351,12,91,3.20799201,"Path:aag04013 MAPK signaling pathway-fly","http://www.genome.jp/kegg-bin/show_pathway?aag04013","A0A0P6JS10 A0A1S4F874 A0A1S4FJQ9 A0A1S4FJZ7 A0A1S4FKB3 Q16XW4 A0A0P6K0X9 Q17H88 Q16L96 Q0IE98 Q17EH0 Q17GI1","KEGG","other","shinygo","ensembl_metazoa",7159,"Aedes aegypti LVP_AGWG genes AaegL5","aalvpagwg_eg_gene"
"Aedes albopictus",3.36e-11,39,302,3.86425536,"GO:0051641 cellular localization","http://amigo.geneontology.org/amigo/term/GO:0051641","RP20_CCG000108 CCG000856.1 RP20_CCG001881 RP20_CCG002028 RP20_CCG002258 CCG002937.1 CCG003235.1 CCG003534.1 RP20_CCG003859 CCG004387.1 RP20_CCG004523 CCG005953.1 CCG006243.1 RP20_CCG007686 CCG007727.1 CCG008116.1 RP20_CCG008844 RP20_CCG008942 RP20_CCG010796 RP20_CCG011217 CCG012416.1 CCG013130.1 CCG013237.1 RP20_CCG015087 CCG015800.2 CCG019267.1 CCG019486.1 RP20_CCG020159 CCG020475.1 RP20_CCG021883 RP20_CCG022348 CCG023467.1 CCG023595.1 CCG023668.1 RP20_CCG025574 RP20_CCG025748 CCG026170.1 RP20_CCG026517 CCG027460.1","GO Biological Process",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",1.11e-10,37,287,3.85769583,"GO:1901135 carbohydrate derivative metabolic proc.","http://amigo.geneontology.org/amigo/term/GO:1901135","CCG000016.1 CCG000070.1 RP20_CCG000121 CCG000431.1 CCG001475.1 CCG002759.1 CCG003220.2 CCG003622.1 RP20_CCG006419 CCG006713.1 RP20_CCG007284.3 CCG007410.1 CCG007533.1 CCG007772.1 RP20_CCG008228 RP20_CCG008931 CCG009032.1 RP20_CCG009685 CCG012164.1 RP20_CCG013131 RP20_CCG014730 RP20_CCG014760 CCG015467.1 RP20_CCG015997 RP20_CCG016415 RP20_CCG017381 CCG018786.1 RP20_CCG020662 RP20_CCG021296 RP20_CCG021297 RP20_CCG022027 RP20_CCG022363 CCG025472.1 CCG025494.1 CCG025948.4 RP20_CCG026429.2 RP20_CCG027131","GO Biological Process",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",4.97e-10,35,274,3.82230762,"GO:0051649 establishment of localization in cell","http://amigo.geneontology.org/amigo/term/GO:0051649","RP20_CCG000108 CCG000856.1 RP20_CCG001881 RP20_CCG002028 RP20_CCG002258 CCG002937.1 CCG003235.1 CCG004387.1 RP20_CCG004523 CCG005953.1 CCG006243.1 RP20_CCG007686 CCG007727.1 CCG008116.1 RP20_CCG008844 RP20_CCG008942 RP20_CCG010796 CCG012416.1 CCG013130.1 CCG013237.1 RP20_CCG015087 CCG015800.2 CCG019267.1 CCG019486.1 RP20_CCG020159 CCG020475.1 RP20_CCG021883 RP20_CCG022348 CCG023467.1 CCG023595.1 RP20_CCG025574 RP20_CCG025748 CCG026170.1 RP20_CCG026517 CCG027460.1","GO Biological Process",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",6.26e-20,84,758,3.31602835,"GO:0036211 protein modification proc.","http://amigo.geneontology.org/amigo/term/GO:0036211","CCG000856.1 RP20_CCG001575 CCG001602.1 RP20_CCG002156.2 CCG002347.1 CCG002974.1 RP20_CCG003693 RP20_CCG004430 CCG004698.1 RP20_CCG004782 RP20_CCG004947 CCG005153.1 RP20_CCG005310.2 RP20_CCG005441 RP20_CCG005741 RP20_CCG006265 CCG006713.1 RP20_CCG007284.3 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008040 CCG008411.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG008969.2 CCG009032.1 CCG009527.1 RP20_CCG009687.2 RP20_CCG009697 CCG009895.1 CCG011691.1 CCG011885.1 CCG011982.1 RP20_CCG012046 CCG013028.1 RP20_CCG013105 RP20_CCG013131 RP20_CCG013219 RP20_CCG013914 CCG014048.1 CCG014222.1 RP20_CCG014760 RP20_CCG014779 CCG015279.1 CCG015467.1 CCG015473.1 RP20_CCG015580 RP20_CCG016309 CCG017164.1 RP20_CCG017381 RP20_CCG017400 RP20_CCG017417.2 RP20_CCG017609.3 RP20_CCG018341 RP20_CCG018432 CCG018786.1 RP20_CCG018905 RP20_CCG019012 RP20_CCG019170 CCG019823.1 CCG020002.2 CCG020210.1 RP20_CCG020230.3 RP20_CCG020334 RP20_CCG020338 CCG020921.1 RP20_CCG021446 CCG021809.1 RP20_CCG022363 CCG022476.1 RP20_CCG022742.2 CCG023182.1 CCG023286.2 RP20_CCG023646 CCG024423.1 RP20_CCG024803 CCG025472.1 RP20_CCG026317 RP20_CCG026429.2 RP20_CCG027131 CCG027539.1 CCG027634.1 RP20_CCG028009","GO Biological Process",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",6.26e-20,84,758,3.31602835,"GO:0006464 cellular protein modification proc.","http://amigo.geneontology.org/amigo/term/GO:0006464","CCG000856.1 RP20_CCG001575 CCG001602.1 RP20_CCG002156.2 CCG002347.1 CCG002974.1 RP20_CCG003693 RP20_CCG004430 CCG004698.1 RP20_CCG004782 RP20_CCG004947 CCG005153.1 RP20_CCG005310.2 RP20_CCG005441 RP20_CCG005741 RP20_CCG006265 CCG006713.1 RP20_CCG007284.3 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008040 CCG008411.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG008969.2 CCG009032.1 CCG009527.1 RP20_CCG009687.2 RP20_CCG009697 CCG009895.1 CCG011691.1 CCG011885.1 CCG011982.1 RP20_CCG012046 CCG013028.1 RP20_CCG013105 RP20_CCG013131 RP20_CCG013219 RP20_CCG013914 CCG014048.1 CCG014222.1 RP20_CCG014760 RP20_CCG014779 CCG015279.1 CCG015467.1 CCG015473.1 RP20_CCG015580 RP20_CCG016309 CCG017164.1 RP20_CCG017381 RP20_CCG017400 RP20_CCG017417.2 RP20_CCG017609.3 RP20_CCG018341 RP20_CCG018432 CCG018786.1 RP20_CCG018905 RP20_CCG019012 RP20_CCG019170 CCG019823.1 CCG020002.2 CCG020210.1 RP20_CCG020230.3 RP20_CCG020334 RP20_CCG020338 CCG020921.1 RP20_CCG021446 CCG021809.1 RP20_CCG022363 CCG022476.1 RP20_CCG022742.2 CCG023182.1 CCG023286.2 RP20_CCG023646 CCG024423.1 RP20_CCG024803 CCG025472.1 RP20_CCG026317 RP20_CCG026429.2 RP20_CCG027131 CCG027539.1 CCG027634.1 RP20_CCG028009","GO Biological Process",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",3.28e-10,43,390,3.29922552,"GO:0071702 organic substance transport","http://amigo.geneontology.org/amigo/term/GO:0071702","RP20_CCG000108 RP20_CCG000432 RP20_CCG000855 CCG000856.1 RP20_CCG002258 CCG002937.1 CCG003235.1 CCG003534.1 CCG004387.1 CCG004603.1 CCG005028.1 CCG005953.1 CCG006243.1 CCG006730.1 CCG007727.1 RP20_CCG009367 RP20_CCG009481 RP20_CCG010796 RP20_CCG011217 RP20_CCG011377 CCG011829.1 CCG012416.1 CCG012694.1 CCG013237.1 RP20_CCG015087 CCG015800.2 RP20_CCG016202 CCG016755.1 CCG019267.1 CCG019486.1 RP20_CCG020159 CCG020475.1 RP20_CCG021443.2 RP20_CCG021883 RP20_CCG022348 CCG022794.1 CCG023595.1 CCG023668.1 RP20_CCG025574 RP20_CCG025748 CCG026170.1 RP20_CCG026517 CCG027460.1","GO Biological Process",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",1.11e-18,87,847,3.07357628,"GO:0043412 macromolecule modification","http://amigo.geneontology.org/amigo/term/GO:0043412","CCG000856.1 RP20_CCG001575 CCG001602.1 RP20_CCG002156.2 CCG002347.1 CCG002974.1 RP20_CCG003693 CCG003755.1 RP20_CCG004430 CCG004698.1 RP20_CCG004782 RP20_CCG004947 CCG005153.1 CCG005247.1 RP20_CCG005310.2 RP20_CCG005441 RP20_CCG005741 RP20_CCG006265 CCG006713.1 RP20_CCG007284.3 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008040 CCG008411.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG008969.2 CCG009032.1 CCG009527.1 RP20_CCG009687.2 RP20_CCG009697 CCG009895.1 CCG011691.1 CCG011885.1 CCG011982.1 RP20_CCG012046 CCG013028.1 RP20_CCG013105 RP20_CCG013131 RP20_CCG013219 RP20_CCG013914 CCG014048.1 CCG014222.1 RP20_CCG014760 RP20_CCG014779 CCG015279.1 CCG015467.1 CCG015473.1 RP20_CCG015580 RP20_CCG016309 CCG017164.1 RP20_CCG017381 RP20_CCG017400 RP20_CCG017417.2 RP20_CCG017609.3 RP20_CCG018341 RP20_CCG018432 CCG018786.1 RP20_CCG018905 RP20_CCG019012 RP20_CCG019170 CCG019823.1 CCG020002.2 CCG020210.1 RP20_CCG020230.3 RP20_CCG020334 RP20_CCG020338 CCG020921.1 RP20_CCG021446 CCG021612.1 CCG021809.1 RP20_CCG022363 CCG022476.1 RP20_CCG022742.2 CCG023182.1 CCG023286.2 RP20_CCG023646 CCG024423.1 RP20_CCG024803 CCG025472.1 RP20_CCG026317 RP20_CCG026429.2 RP20_CCG027131 CCG027539.1 CCG027634.1 RP20_CCG028009","GO Biological Process",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",3.21e-10,60,679,2.64417156,"GO:0006793 phosphorus metabolic proc.","http://amigo.geneontology.org/amigo/term/GO:0006793","CCG000016.1 CCG000070.1 CCG000431.1 CCG001992.1 RP20_CCG002156.2 CCG002759.1 CCG003220.2 RP20_CCG003693 RP20_CCG004430 CCG004698.1 RP20_CCG004782 RP20_CCG005310.2 RP20_CCG005741 RP20_CCG006419 CCG007410.1 CCG007520.1 CCG007533.1 RP20_CCG007686 CCG007772.1 RP20_CCG008040 RP20_CCG008228 CCG008411.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG008879 RP20_CCG008931 CCG009527.1 RP20_CCG009685 RP20_CCG009687.2 RP20_CCG009697 RP20_CCG009815 CCG009895.1 CCG010259.1 CCG011691.1 CCG011885.1 RP20_CCG012046 RP20_CCG013105 RP20_CCG013131 RP20_CCG014730 CCG015473.1 RP20_CCG015866 CCG017164.1 RP20_CCG017400 RP20_CCG017417.2 RP20_CCG018341 RP20_CCG020334 RP20_CCG020338 RP20_CCG020662 RP20_CCG021296 RP20_CCG021297 CCG021809.1 RP20_CCG022027 RP20_CCG022352 CCG022476.1 RP20_CCG023115 CCG025015.2 CCG025494.1 CCG027011.1 CCG027539.1 CCG027634.1","GO Biological Process",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",1.38e-18,109,1250,2.60930375,"GO:0044267 cellular protein metabolic proc.","http://amigo.geneontology.org/amigo/term/GO:0044267","CCG000856.1 CCG000915.1 RP20_CCG001575 CCG001602.1 CCG002018.1 CCG002064.1 RP20_CCG002156.2 CCG002347.1 CCG002974.1 RP20_CCG003693 RP20_CCG004030 CCG004134.1 CCG004361.1 RP20_CCG004430 CCG004698.1 RP20_CCG004782 RP20_CCG004947 CCG005153.1 RP20_CCG005310.2 RP20_CCG005441 RP20_CCG005741 RP20_CCG006265 CCG006713.1 CCG007120.1 RP20_CCG007284.3 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008040 CCG008411.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG008969.2 CCG009032.1 CCG009527.1 RP20_CCG009687.2 RP20_CCG009697 CCG009705.1 CCG009895.1 RP20_CCG010133 RP20_CCG011177 CCG011691.1 CCG011885.1 CCG011982.1 RP20_CCG012046 CCG012805.1 CCG013028.1 RP20_CCG013105 RP20_CCG013131 RP20_CCG013219 RP20_CCG013914 CCG014048.1 CCG014222.1 RP20_CCG014760 RP20_CCG014779 CCG015279.1 CCG015467.1 CCG015473.1 RP20_CCG015580 RP20_CCG015866 CCG016238.1 RP20_CCG016309 CCG017164.1 RP20_CCG017381 RP20_CCG017400 RP20_CCG017417.2 RP20_CCG017609.3 RP20_CCG018341 RP20_CCG018432 CCG018786.1 RP20_CCG018905 RP20_CCG019012 RP20_CCG019170 RP20_CCG019400 RP20_CCG019423 CCG019823.1 CCG020002.2 CCG020210.1 RP20_CCG020230.3 RP20_CCG020334 RP20_CCG020338 CCG020474.1 CCG020921.1 RP20_CCG021446 RP20_CCG021651 CCG021809.1 RP20_CCG022363 CCG022476.1 RP20_CCG022742.2 CCG023182.1 CCG023286.2 RP20_CCG023524 RP20_CCG023543 RP20_CCG023646 CCG024423.1 RP20_CCG024803 RP20_CCG024828.2 CCG025472.1 CCG025888.1 RP20_CCG026096 RP20_CCG026254 RP20_CCG026317 RP20_CCG026429.2 CCG027011.1 RP20_CCG027131 CCG027539.1 CCG027634.1 CCG027817.1 RP20_CCG028009","GO Biological Process",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",1.49e-12,92,1181,2.33102045,"GO:0006810 transport","http://amigo.geneontology.org/amigo/term/GO:0006810","RP20_CCG000108 RP20_CCG000432 RP20_CCG000855 CCG000856.1 RP20_CCG001881 RP20_CCG002028 RP20_CCG002033 RP20_CCG002258 RP20_CCG002728.2 CCG002937.1 CCG002974.1 CCG003235.1 CCG003534.1 CCG004387.1 RP20_CCG004523 CCG004603.1 CCG005028.1 RP20_CCG005245 CCG005903.1 CCG005953.1 RP20_CCG005999 CCG006243.1 CCG006730.1 CCG007252.1 CCG007334.1 RP20_CCG007686 RP20_CCG007691 CCG007727.1 CCG008116.1 RP20_CCG008334 RP20_CCG008844 RP20_CCG008942 RP20_CCG009367 RP20_CCG009481 CCG010225.1 RP20_CCG010430 RP20_CCG010796 RP20_CCG011217 RP20_CCG011377 CCG011399.1 RP20_CCG011742 RP20_CCG011744 CCG011829.1 RP20_CCG012061 CCG012416.1 CCG012694.1 RP20_CCG012705 CCG012967.3 CCG013130.1 CCG013237.1 CCG014058.1 RP20_CCG014062 RP20_CCG014088 CCG014561.1 CCG014949.1 RP20_CCG015087 RP20_CCG015143 CCG015800.2 RP20_CCG015917 RP20_CCG016202 CCG016755.1 RP20_CCG016956 CCG017552.1 RP20_CCG018285 CCG018351.1 CCG019267.1 CCG019486.1 RP20_CCG019889 RP20_CCG020159 CCG020475.1 CCG020491.1 RP20_CCG021043 RP20_CCG021285 RP20_CCG021443.2 RP20_CCG021883 RP20_CCG022348 CCG022794.1 RP20_CCG022819 CCG023467.1 RP20_CCG023544 CCG023595.1 CCG023668.1 CCG024578.1 CCG025212.1 RP20_CCG025574 RP20_CCG025748 CCG026052.1 CCG026170.1 RP20_CCG026517 RP20_CCG027185 CCG027460.1 RP20_CCG027638","GO Biological Process",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",2.48e-12,92,1193,2.30757347,"GO:0051234 establishment of localization","http://amigo.geneontology.org/amigo/term/GO:0051234","RP20_CCG000108 RP20_CCG000432 RP20_CCG000855 CCG000856.1 RP20_CCG001881 RP20_CCG002028 RP20_CCG002033 RP20_CCG002258 RP20_CCG002728.2 CCG002937.1 CCG002974.1 CCG003235.1 CCG003534.1 CCG004387.1 RP20_CCG004523 CCG004603.1 CCG005028.1 RP20_CCG005245 CCG005903.1 CCG005953.1 RP20_CCG005999 CCG006243.1 CCG006730.1 CCG007252.1 CCG007334.1 RP20_CCG007686 RP20_CCG007691 CCG007727.1 CCG008116.1 RP20_CCG008334 RP20_CCG008844 RP20_CCG008942 RP20_CCG009367 RP20_CCG009481 CCG010225.1 RP20_CCG010430 RP20_CCG010796 RP20_CCG011217 RP20_CCG011377 CCG011399.1 RP20_CCG011742 RP20_CCG011744 CCG011829.1 RP20_CCG012061 CCG012416.1 CCG012694.1 RP20_CCG012705 CCG012967.3 CCG013130.1 CCG013237.1 CCG014058.1 RP20_CCG014062 RP20_CCG014088 CCG014561.1 CCG014949.1 RP20_CCG015087 RP20_CCG015143 CCG015800.2 RP20_CCG015917 RP20_CCG016202 CCG016755.1 RP20_CCG016956 CCG017552.1 RP20_CCG018285 CCG018351.1 CCG019267.1 CCG019486.1 RP20_CCG019889 RP20_CCG020159 CCG020475.1 CCG020491.1 RP20_CCG021043 RP20_CCG021285 RP20_CCG021443.2 RP20_CCG021883 RP20_CCG022348 CCG022794.1 RP20_CCG022819 CCG023467.1 RP20_CCG023544 CCG023595.1 CCG023668.1 CCG024578.1 CCG025212.1 RP20_CCG025574 RP20_CCG025748 CCG026052.1 CCG026170.1 RP20_CCG026517 RP20_CCG027185 CCG027460.1 RP20_CCG027638","GO Biological Process",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",5.64e-12,95,1272,2.2348308,"GO:0051179 localization","http://amigo.geneontology.org/amigo/term/GO:0051179","RP20_CCG000108 RP20_CCG000432 RP20_CCG000855 CCG000856.1 RP20_CCG001881 RP20_CCG002028 RP20_CCG002033 RP20_CCG002258 RP20_CCG002728.2 CCG002937.1 CCG002974.1 CCG003235.1 CCG003534.1 RP20_CCG003859 CCG004387.1 RP20_CCG004523 CCG004603.1 CCG005028.1 RP20_CCG005245 CCG005903.1 CCG005953.1 RP20_CCG005999 CCG006243.1 CCG006730.1 CCG007252.1 CCG007334.1 RP20_CCG007686 RP20_CCG007691 CCG007727.1 CCG008116.1 RP20_CCG008334 RP20_CCG008844 RP20_CCG008942 RP20_CCG009367 RP20_CCG009481 CCG010225.1 RP20_CCG010430 RP20_CCG010796 RP20_CCG011217 RP20_CCG011377 CCG011399.1 RP20_CCG011742 RP20_CCG011744 CCG011829.1 RP20_CCG012061 CCG012416.1 CCG012694.1 RP20_CCG012705 CCG012967.3 CCG013130.1 CCG013237.1 CCG014058.1 RP20_CCG014062 RP20_CCG014088 CCG014561.1 CCG014949.1 RP20_CCG015087 RP20_CCG015143 CCG015800.2 RP20_CCG015917 RP20_CCG016202 CCG016755.1 RP20_CCG016956 CCG017552.1 RP20_CCG018285 CCG018351.1 CCG019010.1 CCG019267.1 CCG019486.1 RP20_CCG019889 RP20_CCG020159 CCG020475.1 CCG020491.1 RP20_CCG021043 RP20_CCG021285 RP20_CCG021374 RP20_CCG021443.2 RP20_CCG021883 RP20_CCG022348 CCG022794.1 RP20_CCG022819 CCG023467.1 RP20_CCG023544 CCG023595.1 CCG023668.1 CCG024578.1 CCG025212.1 RP20_CCG025574 RP20_CCG025748 CCG026052.1 CCG026170.1 RP20_CCG026517 RP20_CCG027185 CCG027460.1 RP20_CCG027638","GO Biological Process",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
