"uniprot_id","species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","interpro_description_ips","signature_description_ips","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"Q16VT5","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL009437","AAEL009437-PA.","CCR4-NOT transcription complex subunit 4","Has E3 ubiquitin ligase activity, promoting ubiquitination and degradation of target proteins. Involved in activation of the JAK/STAT pathway. Catalyzes ubiquitination of methylated RBM15. Plays a role in quality control of translation of mitochondrial outer membrane-localized mRNA. As part of the PINK1-regulated signaling, upon mitochondria damage, ubiquitinates ABCE1 and thereby recruits autophagy receptors to the mitochondrial outer membrane to initiate mitophagy","protein ubiquitination","RNA binding; ubiquitin-protein transferase activity; zinc ion binding","Zinc ion binding","CNOT4","RRM_1,zf-RING_4","RNA recognition motif domain","RNA recognition motif","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16W25","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL009364","AAEL009364-PA; Belongs to the protein kinase superfamily.","Cyclin-dependent kinase 12",NA,"positive regulation of transcription elongation by RNA polymerase II","ATP binding; cyclin binding; RNA polymerase II CTD heptapeptide repeat kinase activity","Serine/Threonine protein kinases, catalytic domain","CDK12","Pkinase","Protein kinase domain","Protein kinase domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16W86","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL009300","AAEL009300-PA.","Novel acetylcholine receptor chaperone",NA,"chaperone-mediated protein complex assembly; positive regulation of protein localization to cell surface",NA,"DoxX-like family","TMEM35","DoxX_2","DoxX family","DoxX-like family","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16WA7","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL009304","AAEL009304-PA; Belongs to the syntaxin family.",NA,NA,"exocytosis; intracellular protein transport; neurotransmitter transport; vesicle docking; vesicle fusion","SNAP receptor activity; SNARE binding","Syntaxin","STX1A","SNARE,Syntaxin","Syntaxin, N-terminal domain","Syntaxin","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16WI5","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL009212","AAEL009212-PC.",NA,"Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo","axon midline choice point recognition; dendrite morphogenesis; gonad development; larval lymph gland hemopoiesis; larval somatic muscle development; nurse cell apoptotic process; R3/R4 cell fate commitment; R7 cell development; regulation of transcription by RNA polymerase II","zinc ion binding","Broad-Complex, Tramtrack and Bric a brac",NA,"BTB,zf-C2H2,zf-H2C2_5","Zinc finger C2H2-type","Zinc finger, C2H2 type","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16WN0","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL009171","AAEL009171-PA.",NA,NA,"response to unfolded protein","DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II transcription regulatory region sequence-specific DNA binding","basic region leucin zipper","CREBRF",NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16XQ1","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL008816","Vesicular monoamine transporter, putative.",NA,NA,"aminergic neurotransmitter loading into synaptic vesicle","serotonin:sodium:chloride symporter activity","vesicular monoamine","SLC18A1","MFS_1","Major facilitator superfamily","Major Facilitator Superfamily","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16YV5","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL008421","AAEL008421-PA.",NA,NA,"adherens junction organization; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules; cell migration; cell morphogenesis; cell-cell adhesion mediated by cadherin; cell-cell junction assembly; homophilic cell adhesion via plasma membrane adhesion molecules","beta-catenin binding; cadherin binding; calcium ion binding","Cadherin repeats.",NA,"Cadherin","Cadherin-like","Cadherin domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q16ZQ0","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL008122","AAEL008122-PA.",NA,NA,NA,NA,"Ribosomal protein L7Ae/L30e/S12e/Gadd45 family","SECISBP2L","Ribosomal_L7Ae",NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q171F2","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL007664","Nicotinic acetylcholine receptor subunit.",NA,"After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane",NA,"acetylcholine-gated monoatomic cation-selective channel activity; transmembrane signaling receptor activity","Nicotinic acetylcholine receptor subunit","CHRNA7","Neur_chan_LBD,Neur_chan_memb","Neurotransmitter-gated ion-channel ligand-binding domain","Neurotransmitter-gated ion-channel ligand binding domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q171F9","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL007659","AAEL007659-PA.","CTCK domain-containing protein",NA,"animal organ morphogenesis; sequestering of BMP from receptor via BMP binding","BMP binding; receptor ligand activity","C-terminal cystine knot-like domain (CTCK)","NBL1","DAN","DAN","DAN domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q173I2","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL007144","AAEL007144-PA.","Kelch-like protein diablo","Probable substrate-specific adapter of an E3 ubiquitin-protein ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of target proteins. May have a role in synapse differentiation and growth","protein ubiquitination",NA,"BTB And C-terminal Kelch","KLHL10","BACK,BTB,Kelch_1","BTB/POZ domain","BTB/POZ domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q174F6","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL006911","Microtubule-associated protein.",NA,NA,"microtubule cytoskeleton organization",NA,"MAP7 (E-MAP-115) family","ens","MAP7","Microtubule-associated protein 7 family","MAP7 (E-MAP-115) family","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q174S1","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL006783","Histone-lysine N-methyltransferase, H3 lysine-79 specific.","Histone-lysine N-methyltransferase, H3 lysine-79 specific","Histone methyltransferase that specifically trimethylates histone H3 to form H3K79me3. This methylation is required for telomere silencing and for the pachytene checkpoint during the meiotic cell cycle by allowing the recruitment of RAD9 to double strand breaks. Nucleosomes are preferred as substrate compared to free histone","DNA damage checkpoint signaling; DNA repair; methylation","histone H3K79 trimethyltransferase activity","Histone-lysine N-methyltransferase, H3 lysine-79 specific","DOT1L","DOT1","Histone-lysine N-methyltransferase DOT1 domain","Histone methylation protein DOT1","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q175E6","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL006664","AAEL006664-PA.","CCR4-NOT transcription complex subunit 4","Has E3 ubiquitin ligase activity, promoting ubiquitination and degradation of target proteins. Involved in activation of the JAK/STAT pathway. Catalyzes ubiquitination of methylated RBM15. Plays a role in quality control of translation of mitochondrial outer membrane-localized mRNA. As part of the PINK1-regulated signaling, upon mitochondria damage, ubiquitinates ABCE1 and thereby recruits autophagy receptors to the mitochondrial outer membrane to initiate mitophagy","protein ubiquitination","RNA binding; ubiquitin-protein transferase activity; zinc ion binding","Zinc ion binding","CNOT4","RRM_1,zf-RING_4","RNA recognition motif domain","RNA recognition motif","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q175Q0","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL006596","AAEL006596-PA.",NA,NA,NA,NA,"Senescence-associated protein","SPG20","Inp1,Senescence",NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q175T7","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL006555","AAEL006555-PA.",NA,NA,"nervous system development; regulation of alternative mRNA splicing, via spliceosome","mRNA binding","nucleotide binding","RBFOX2","Fox-1_C,RRM_1",NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q176D4","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL006439","Dual specificity protein phosphatase; Dual specificity phosphatase able to dephosphorylate phosphotyrosine, phosphoserine and phosphothreonine residues, with a preference for phosphotyrosine as a substrate. Belongs to the protein-tyrosine phosphatase family. Non- receptor class dual specificity subfamily.","Dual specificity protein phosphatase","Dual specificity phosphatase able to dephosphorylate phosphotyrosine, phosphoserine and phosphothreonine residues, with a preference for phosphotyrosine as a substrate","negative regulation of MAPK cascade","MAP kinase phosphatase activity; protein serine/threonine phosphatase activity; protein tyrosine phosphatase activity; protein tyrosine/serine/threonine phosphatase activity","Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily","DUSP3","DSPc","Dual specificity phosphatase, catalytic domain","Dual specificity phosphatase, catalytic domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q176R3","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"fru","FRU non-sex-specific P1 isoform.",NA,NA,"animal organ development; cell development; developmental process involved in reproduction; regulation of transcription by RNA polymerase II","DNA binding; zinc ion binding","Metal ion binding","fru","BTB,zf-BED","Zinc finger, BED-type","BED zinc finger","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q177Z0","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL005985","Autophagy-related protein 13; Belongs to the ATG13 family. Metazoan subfamily.","Autophagy-related protein 13",NA,"mitophagy; piecemeal microautophagy of the nucleus; protein localization to phagophore assembly site",NA,"Autophagy-related protein 13","ATG13","ATG13","Autophagy-related protein 13, N-terminal","Autophagy-related protein 13","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q179N7","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL005581","Transporter; Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family.","Transporter",NA,"amino acid transport","metal ion binding; serotonin binding; serotonin:sodium:chloride symporter activity","Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family",NA,"SNF","Sodium:neurotransmitter symporter","Sodium:neurotransmitter symporter family","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17AN7","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL005246","AAEL005246-PA.",NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; sequence-specific double-stranded DNA binding","Sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated","LBX1","Homeobox",NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17AN8","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL005247","AAEL005247-PA.",NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; sequence-specific double-stranded DNA binding","Homeodomain","LBX1","Homeobox","Homeodomain","Homeodomain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17B94","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL005014","AAEL005014-PA; Belongs to the transient receptor (TC 1.A.4) family.",NA,NA,"regulation of cytosolic calcium ion concentration","inositol 1,4,5 trisphosphate binding; store-operated calcium channel activity","Transient receptor potential","TRPC1","Ank,Ank_2,Ion_trans,TRP_2","Ankyrin repeat","Ankyrin repeats (3 copies)","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17BB1","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL005033","AAEL005033-PA.",NA,NA,"positive regulation of transcription by RNA polymerase II","zinc ion binding",NA,NA,NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17BL6","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL004918","AAEL004918-PA.","B box-type domain-containing protein",NA,NA,"mRNA 3'-UTR binding; zinc ion binding","B-Box-type zinc finger","brat","NHL,zf-B_box,zf-C3HC4,zf-RING_UBOX","NHL repeat","NHL repeat","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17C29","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL004715","AAEL004715-PA.","Anti-proliferative protein domain-containing protein",NA,"negative regulation of cell population proliferation",NA,"BTG family","BTG1","BTG","Anti-proliferative protein","BTG family","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17C40","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL004720","Dedicator of cytokinesis protein 9; Belongs to the DOCK family.",NA,NA,"small GTPase-mediated signal transduction","guanyl-nucleotide exchange factor activity","Dedicator of cytokinesis protein 9","DOCK9","DHR-2,DOCK-C2,DUF3398,PH","DOCKER, Lobe A","DHR-2, Lobe A","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17C42","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL004731","AAEL004731-PA.",NA,NA,"small GTPase-mediated signal transduction","guanyl-nucleotide exchange factor activity","Dedicator of cytokinesis protein 9","DOCK9","DHR-2,DOCK-C2,DUF3398,PH","Pleckstrin homology domain","PH domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17CH0","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL004542","AAEL004542-PA.",NA,NA,"ceramide metabolic process","ceramide kinase activity","Ceramide kinase","CERK","DAGK_cat","Diacylglycerol kinase, catalytic domain","Diacylglycerol kinase catalytic domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17CU7","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL004420","AAEL004420-PB.",NA,NA,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",NA,"GTP binding","SMG9","Smg8_Smg9",NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17CY1","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL004391","AAEL004391-PA.","Nuclear protein MDM1","Microtubule-binding protein that negatively regulates centriole duplication. Binds to and stabilizes microtubules","negative regulation of centriole replication","microtubule binding","Nuclear protein MDM1",NA,"MDM1","Nuclear protein MDM1","Nuclear protein MDM1","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17DB8","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL004259","RNA-binding protein lin-28.",NA,NA,"pre-miRNA processing","mRNA binding; zinc ion binding","Cold shock protein domain","LIN28A","CSD,zf-CCHC","Lin-28A-like, second zinc knuckle","Lin-28A-like, second zinc knuckle","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17E14","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003989","AAEL003989-PA.","Guanine nucleotide-binding protein G(s) subunit alpha","Guanine nucleotide-binding proteins (G proteins) function as transducers in numerous signaling pathways controlled by G protein-coupled receptors (GPCRs)","adenylate cyclase-activating dopamine receptor signaling pathway; sensory perception of chemical stimulus","G protein-coupled receptor binding; G-protein beta/gamma-subunit complex binding; GTP binding; GTPase activity; metal ion binding","Guanine nucleotide-binding protein G(s) subunit alpha","GNAL","G-alpha","Guanine nucleotide binding protein (G-protein), alpha subunit","G-protein alpha subunit","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17E15","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003979","Deadenylation factor EDEN-BP, putative.",NA,NA,NA,"mRNA binding","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","CELF3","RRM_1","RNA recognition motif domain","RNA recognition motif","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17E51","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003978","AAEL003978-PA.","Escargot/snail protein homolog",NA,NA,"zinc ion binding","C2H2-type zinc finger",NA,"zf-C2H2,zf-C2H2_6","Zinc finger C2H2-type","Zinc finger, C2H2 type","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17E87","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003901","AAEL003901-PA.",NA,NA,NA,"zinc ion binding","Ubiquitin homologues","ZFAND4","ubiquitin,zf-AN1","Ubiquitin-like domain","Ubiquitin family","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17EP7","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003731","Nuclear body associated kinase, putative.","non-specific serine/threonine protein kinase",NA,NA,"ATP binding; protein serine/threonine kinase activity; protein tyrosine kinase activity","Nuclear body associated kinase","HIPK1","Pkinase","Protein kinase domain","Protein kinase domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17ET2","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003688","AAEL003688-PA.",NA,NA,NA,NA,"DUF4210","FAM214A","Chromosome_seg,DUF4210","Atos-like, conserved domain","Domain of unknown function (DUF4210)","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17F60","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003560","POU domain protein.","POU domain protein",NA,"brain development; cell development; generation of neurons; positive regulation of transcription by RNA polymerase II","DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding","POU domain",NA,"Homeobox,Pou","POU-specific domain","Pou domain - N-terminal to homeobox domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17FE8","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003407","AAEL003407-PA.",NA,NA,NA,"mRNA 3'-UTR binding","RNA recognition motif",NA,"RRM_1","RNA recognition motif domain","RNA recognition motif","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17FE9","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003414","AAEL003414-PA.",NA,NA,NA,NA,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",NA,"RRM_1",NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17FH2","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003420","AAEL003420-PA.",NA,NA,NA,NA,"Uncharacterised conserved protein (DUF2369)","NDNF","DUF2369","Neuron-derived neurotrophic factor, first Fn(III) domain","Neuron-derived neurotrophic factor, first Fn(III) domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17FK6","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003375","AAEL003375-PA.",NA,NA,"cell division; negative regulation of BMP signaling pathway",NA,"Senescence-associated protein","SPG20","Inp1,Senescence","Senescence/spartin-associated, C-terminal","Senescence domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17FK7","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003381","AAEL003381-PA.",NA,NA,NA,NA,"Senescence-associated protein","SPG20","Inp1,Senescence",NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17FQ2","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003357","AAEL003357-PA.",NA,NA,"endocytic recycling; endocytosis","guanyl-nucleotide exchange factor activity; phosphatidylinositol phosphate binding","dDENN domain","DENND1A","DENN,dDENN,uDENN","uDENN domain","uDENN domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17FY6","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003252","AAEL003252-PA.",NA,NA,NA,NA,NA,"PLEKHA5","PH","Pleckstrin homology domain-containing family A member 4-7, TBCA domain","PH domain-containing proteins, TBCA domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17G33","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003208","Tubby, putative; Belongs to the TUB family.",NA,NA,NA,NA,"Belongs to the TUB family","TULP4","ANAPC4_WD40,SOCS_box,Tub","Tubby, C-terminal","Tub family","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17GF1","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003092","AAEL003092-PA.",NA,NA,"cell-matrix adhesion","serine-type endopeptidase inhibitor activity","Antistasin family",NA,"Antistasin,Kunitz_BPTI,Lustrin_cystein,Thyroglobulin_1,WAP","Lustrin, cysteine-rich repeated","Lustrin, cysteine-rich repeated domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17GH6","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL003014","AAEL003014-PA.",NA,NA,"regulation of transcription by RNA polymerase II","DNA-binding transcription factor activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding; zinc ion binding","c-clamp","SLC2A4RG",NA,NA,NA,"GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17GN3","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL002928","AAEL002928-PA.",NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II transcription regulatory region sequence-specific DNA binding; zinc ion binding","zinc finger",NA,"zf-C2H2","Zinc finger C2H2-type","Zinc finger, C2H2 type","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17GU4","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL002896","AAEL002896-PA.",NA,NA,NA,"N-methyltransferase activity; protein methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; zinc ion binding","SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain",NA,"Mito_carr,zf-C2H2","SET domain","PR domain zinc finger protein 2, PR domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17ID1","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL002369","AAEL002369-PA.",NA,NA,"regulation of DNA-templated transcription",NA,"ENT","C11orf30","ENT","ENT domain","ENT domain","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17JX3","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL001901","AAEL001901-PA.","small monomeric GTPase",NA,NA,"GTP binding; GTPase activity","Ras family",NA,"Ras","Small GTPase","Ras family","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17KB4","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL001738","AAEL001738-PA.","small monomeric GTPase",NA,NA,"GTP binding; GTPase activity","Ras family",NA,"Ras","Small GTPase","Ras family","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17KU9","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL001571","AAEL001571-PA.",NA,NA,NA,"calcium channel regulator activity; GTP binding; GTPase activity","Signal recognition particle receptor beta subunit","REM1","Ras","Small GTPase","Ras family","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
"Q17L17","Aedes aegypti","GO:0065007","Biological regulation",99,5986,0.19,0.47,0.00014,"AAEL001503","Sodium/hydrogen exchanger; Belongs to the monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family.","Sodium/hydrogen exchanger",NA,"regulation of intracellular pH; sodium ion import across plasma membrane","potassium:proton antiporter activity; sodium:proton antiporter activity","Belongs to the monovalent cation proton antiporter 1 (CPA1) transporter (TC 2.A.36) family","SLC9A1","NEXCaM_BD,Na_H_Exchanger","Cation/H+ exchanger, transmembrane domain","Sodium/hydrogen exchanger, transmembrane","GO Biological Process",NA,"stringdb","STRINGv12.0",7159,"yellow fever mosquito","STRING.7159.Aedes"
